"#","Germplasm","Species","Bulked_Fruit_Firmness","Dataset"
"33","Gil Peck","Prunus avium","222.7","Sweet_cherry_CRS_phenotyping_2012"
"34","Glacier","Prunus avium","150.4","Sweet_cherry_CRS_phenotyping_2012"
"35","Glacier","Prunus avium","157.6","Sweet_cherry_CRS_phenotyping_2011"
"36","Kiona","Prunus avium","232.3","Sweet_cherry_CRS_phenotyping_2011"
"37","Kiona","Prunus avium","234.1","Sweet_cherry_CRS_phenotyping_2012"
"38","NY 54","Prunus avium","214.4","Sweet_cherry_CRS_phenotyping_2011"
"39","NY 54","Prunus avium","241.8","Sweet_cherry_CRS_phenotyping_2012"
"40","PMR-1","Prunus avium","171.5","Sweet_cherry_CRS_phenotyping_2012"
"41","PMR-1","Prunus avium","251.3","Sweet_cherry_CRS_phenotyping_2011"
"42","Schmidt","Prunus avium","296.3","Sweet_cherry_CRS_phenotyping_2012"
"43","Schmidt","Prunus avium","309.9","Sweet_cherry_CRS_phenotyping_2011"
"44","Selah","Prunus avium","167.9","Sweet_cherry_CRS_phenotyping_2012"
"45","Tieton","Prunus avium","203.1","Sweet_cherry_CRS_phenotyping_2012"
"46","Tieton","Prunus avium","210.1","Sweet_cherry_CRS_phenotyping_2011"
"47","Vic","Prunus avium","200.1","Sweet_cherry_CRS_phenotyping_2012"
"48","Vic","Prunus avium","241.1","Sweet_cherry_CRS_phenotyping_2011"
"49","Windsor","Prunus avium","239.6","Sweet_cherry_CRS_phenotyping_2012"
"50","Windsor","Prunus avium","256.6","Sweet_cherry_CRS_phenotyping_2011"
"51","Kordia","Prunus avium","227.3","Sweet_cherry_CRS_phenotyping_2012"
"52","FR1T068","Prunus avium","235.4","Sweet_cherry_CRS_phenotyping_2012"
"53","FR1T068","Prunus avium","296.9","Sweet_cherry_CRS_phenotyping_2011"
"54","FR12T078","Prunus avium","243.8","Sweet_cherry_CRS_phenotyping_2011"
"55","FR12T078","Prunus avium","278.4","Sweet_cherry_CRS_phenotyping_2012"
"56","FR8T012","Prunus avium","213.5","Sweet_cherry_CRS_phenotyping_2012"
"57","FR8T012","Prunus avium","285.8","Sweet_cherry_CRS_phenotyping_2011"
"58","FR12T081","Prunus avium","171.6","Sweet_cherry_CRS_phenotyping_2012"
"59","FR28T002","Prunus avium","159.5","Sweet_cherry_CRS_phenotyping_2012"
"60","FR1T036","Prunus avium","303.3","Sweet_cherry_CRS_phenotyping_2012"
"61","FR1T036","Prunus avium","337.9","Sweet_cherry_CRS_phenotyping_2011"
"62","FR1T074","Prunus avium","261.6","Sweet_cherry_CRS_phenotyping_2012"
"63","FR1T074","Prunus avium","338.5","Sweet_cherry_CRS_phenotyping_2011"
"64","FR2T063","Prunus avium","274.7","Sweet_cherry_CRS_phenotyping_2012"
"65","FR2T030","Prunus avium","287.4","Sweet_cherry_CRS_phenotyping_2012"
"66","FR2T030","Prunus avium","292.8","Sweet_cherry_CRS_phenotyping_2011"
"67","FR14T012","Prunus avium","291.9","Sweet_cherry_CRS_phenotyping_2012"
"68","FR3T070","Prunus avium","246.7","Sweet_cherry_CRS_phenotyping_2012"
"69","FR1T035","Prunus avium","345.9","Sweet_cherry_CRS_phenotyping_2012"
"70","FR1T035","Prunus avium","376.2","Sweet_cherry_CRS_phenotyping_2011"
"71","FR1T066","Prunus avium","244.9","Sweet_cherry_CRS_phenotyping_2012"
"72","FR1T066","Prunus avium","328.1","Sweet_cherry_CRS_phenotyping_2011"
"73","FR1T069","Prunus avium","277.2","Sweet_cherry_CRS_phenotyping_2012"
"74","FR2T058","Prunus avium","211.2","Sweet_cherry_CRS_phenotyping_2012"
"75","FR2T058","Prunus avium","263.9","Sweet_cherry_CRS_phenotyping_2011"
"76","FR14T100","Prunus avium","331.1","Sweet_cherry_CRS_phenotyping_2012"
"77","FR14T100","Prunus avium","408","Sweet_cherry_CRS_phenotyping_2011"
"78","FR20T045","Prunus avium","231.4","Sweet_cherry_CRS_phenotyping_2012"
"79","FR21T040","Prunus avium","259","Sweet_cherry_CRS_phenotyping_2012"
"80","FR21T040","Prunus avium","405.3","Sweet_cherry_CRS_phenotyping_2011"
"81","FR31T016","Prunus avium","285.1","Sweet_cherry_CRS_phenotyping_2012"
"82","FR23T097","Prunus avium","157.5","Sweet_cherry_CRS_phenotyping_2012"
"83","FR27T018","Prunus avium","143.9","Sweet_cherry_CRS_phenotyping_2012"
"84","FR27T018","Prunus avium","167.7","Sweet_cherry_CRS_phenotyping_2011"
"85","FR28T001","Prunus avium","139.1","Sweet_cherry_CRS_phenotyping_2012"
"86","FR28T100","Prunus avium","202.8","Sweet_cherry_CRS_phenotyping_2012"
"87","FR28T100","Prunus avium","221.9","Sweet_cherry_CRS_phenotyping_2011"
"88","FR28T101","Prunus avium","235.5","Sweet_cherry_CRS_phenotyping_2012"
"89","FR28T101","Prunus avium","246.5","Sweet_cherry_CRS_phenotyping_2011"
"90","FR28T102","Prunus avium","181.2","Sweet_cherry_CRS_phenotyping_2012"
"91","FR28T104","Prunus avium","200.1","Sweet_cherry_CRS_phenotyping_2011"
"92","FR28T104","Prunus avium","214.5","Sweet_cherry_CRS_phenotyping_2012"
"93","FR28T105","Prunus avium","200.9","Sweet_cherry_CRS_phenotyping_2011"
"94","FR28T105","Prunus avium","201.3","Sweet_cherry_CRS_phenotyping_2012"
"95","FR28T106","Prunus avium","193.6","Sweet_cherry_CRS_phenotyping_2012"
"96","FR28T106","Prunus avium","245.9","Sweet_cherry_CRS_phenotyping_2011"
"97","FR28T107","Prunus avium","161.3","Sweet_cherry_CRS_phenotyping_2012"
"98","FR28T107","Prunus avium","196","Sweet_cherry_CRS_phenotyping_2011"
"99","FR28T108","Prunus avium","207.7","Sweet_cherry_CRS_phenotyping_2011"
"100","FR28T108","Prunus avium","238.4","Sweet_cherry_CRS_phenotyping_2012"
"101","FR29T074","Prunus avium","162.8","Sweet_cherry_CRS_phenotyping_2012"
"102","FR29T075","Prunus avium","192.3","Sweet_cherry_CRS_phenotyping_2012"
"103","FR29T075","Prunus avium","235.6","Sweet_cherry_CRS_phenotyping_2011"
"104","FR29T076","Prunus avium","113","Sweet_cherry_CRS_phenotyping_2012"
"105","FR29T076","Prunus avium","191.3","Sweet_cherry_CRS_phenotyping_2011"
"106","FR29T077","Prunus avium","168.8","Sweet_cherry_CRS_phenotyping_2011"
"107","FR29T077","Prunus avium","209.9","Sweet_cherry_CRS_phenotyping_2012"
"108","FR10T098","Prunus avium","130.8","Sweet_cherry_CRS_phenotyping_2012"
"109","FR10T099","Prunus avium","210.5","Sweet_cherry_CRS_phenotyping_2012"
"110","FR10T101","Prunus avium","243.4","Sweet_cherry_CRS_phenotyping_2012"
"111","FR10T101","Prunus avium","255.1","Sweet_cherry_CRS_phenotyping_2011"
"112","FR11T015","Prunus avium","220.9","Sweet_cherry_CRS_phenotyping_2012"
"113","FR11T015","Prunus avium","309.7","Sweet_cherry_CRS_phenotyping_2011"
"114","FR11T016","Prunus avium","218.4","Sweet_cherry_CRS_phenotyping_2012"
"115","FR11T016","Prunus avium","309","Sweet_cherry_CRS_phenotyping_2011"
"116","FR11T017","Prunus avium","239.8","Sweet_cherry_CRS_phenotyping_2012"
"117","FR11T017","Prunus avium","271.5","Sweet_cherry_CRS_phenotyping_2011"
"118","FR11T018","Prunus avium","246","Sweet_cherry_CRS_phenotyping_2012"
"119","FR11T019","Prunus avium","198.7","Sweet_cherry_CRS_phenotyping_2012"
"120","FR11T025","Prunus avium","356.8","Sweet_cherry_CRS_phenotyping_2012"
"121","FR11T025","Prunus avium","397.9","Sweet_cherry_CRS_phenotyping_2011"
"122","FR11T026","Prunus avium","238.2","Sweet_cherry_CRS_phenotyping_2012"
"123","FR11T027","Prunus avium","245.3","Sweet_cherry_CRS_phenotyping_2012"
"124","FR11T027","Prunus avium","280.4","Sweet_cherry_CRS_phenotyping_2011"
"125","FR11T028","Prunus avium","269.6","Sweet_cherry_CRS_phenotyping_2012"
"126","FR11T029","Prunus avium","311.8","Sweet_cherry_CRS_phenotyping_2012"
"127","FR11T029","Prunus avium","333.5","Sweet_cherry_CRS_phenotyping_2011"
"128","FR11T030","Prunus avium","233.4","Sweet_cherry_CRS_phenotyping_2012"
"129","FR11T031","Prunus avium","191.3","Sweet_cherry_CRS_phenotyping_2012"
"130","FR11T031","Prunus avium","281","Sweet_cherry_CRS_phenotyping_2011"
"131","FR11T032","Prunus avium","254.1","Sweet_cherry_CRS_phenotyping_2012"
"132","FR11T032","Prunus avium","268","Sweet_cherry_CRS_phenotyping_2011"
"133","FR12T001","Prunus avium","335.9","Sweet_cherry_CRS_phenotyping_2012"
"134","FR12T003","Prunus avium","244","Sweet_cherry_CRS_phenotyping_2012"
"135","FR12T004","Prunus avium","280.6","Sweet_cherry_CRS_phenotyping_2012"
"136","FR12T006","Prunus avium","114.5","Sweet_cherry_CRS_phenotyping_2012"
"137","FR12T006","Prunus avium","125.8","Sweet_cherry_CRS_phenotyping_2011"
"138","FR12T009","Prunus avium","253.1","Sweet_cherry_CRS_phenotyping_2011"
"139","FR12T009","Prunus avium","261.9","Sweet_cherry_CRS_phenotyping_2012"
"140","FR12T011","Prunus avium","292.1","Sweet_cherry_CRS_phenotyping_2012"
"141","FR12T012","Prunus avium","68.6","Sweet_cherry_CRS_phenotyping_2012"
"142","FR12T056","Prunus avium","320.2","Sweet_cherry_CRS_phenotyping_2012"
"143","FR12T057","Prunus avium","216","Sweet_cherry_CRS_phenotyping_2012"
"144","FR12T058","Prunus avium","218.5","Sweet_cherry_CRS_phenotyping_2011"
"145","FR12T058","Prunus avium","220.5","Sweet_cherry_CRS_phenotyping_2012"
"146","FR12T063","Prunus avium","201.4","Sweet_cherry_CRS_phenotyping_2012"
"147","FR12T066","Prunus avium","285","Sweet_cherry_CRS_phenotyping_2012"
"148","FR12T067","Prunus avium","249.3","Sweet_cherry_CRS_phenotyping_2012"
"149","FR12T068","Prunus avium","187.9","Sweet_cherry_CRS_phenotyping_2011"
"150","FR12T068","Prunus avium","193.7","Sweet_cherry_CRS_phenotyping_2012"
"151","FR12T069","Prunus avium","318.3","Sweet_cherry_CRS_phenotyping_2012"
"152","FR12T071","Prunus avium","186.1","Sweet_cherry_CRS_phenotyping_2012"
"153","FR12T071","Prunus avium","235","Sweet_cherry_CRS_phenotyping_2011"
"154","FR12T072","Prunus avium","171.6","Sweet_cherry_CRS_phenotyping_2012"
"155","FR12T073","Prunus avium","323.2","Sweet_cherry_CRS_phenotyping_2012"
"156","FR12T074","Prunus avium","230.8","Sweet_cherry_CRS_phenotyping_2012"
"157","FR12T076","Prunus avium","184","Sweet_cherry_CRS_phenotyping_2012"
"158","FR12T077","Prunus avium","248.6","Sweet_cherry_CRS_phenotyping_2012"
"159","FR12T080","Prunus avium","210.4","Sweet_cherry_CRS_phenotyping_2012"
"160","FR12T080","Prunus avium","211","Sweet_cherry_CRS_phenotyping_2011"
"161","FR12T091","Prunus avium","168.4","Sweet_cherry_CRS_phenotyping_2011"
"162","FR12T091","Prunus avium","178.4","Sweet_cherry_CRS_phenotyping_2012"
"163","FR12T093","Prunus avium","138.8","Sweet_cherry_CRS_phenotyping_2011"
"164","FR12T093","Prunus avium","141.4","Sweet_cherry_CRS_phenotyping_2012"
"165","FR12T094","Prunus avium","308.2","Sweet_cherry_CRS_phenotyping_2012"
"166","FR13T058","Prunus avium","143.1","Sweet_cherry_CRS_phenotyping_2011"
"167","FR13T061","Prunus avium","247.8","Sweet_cherry_CRS_phenotyping_2011"
"168","FR13T061","Prunus avium","306.9","Sweet_cherry_CRS_phenotyping_2012"
"169","FR14T056","Prunus avium","280.1","Sweet_cherry_CRS_phenotyping_2012"
"170","FR14T056","Prunus avium","325.9","Sweet_cherry_CRS_phenotyping_2011"
"171","FR14T057","Prunus avium","272.6","Sweet_cherry_CRS_phenotyping_2012"
"172","FR14T057","Prunus avium","282.1","Sweet_cherry_CRS_phenotyping_2011"
"173","FR14T060","Prunus avium","302.5","Sweet_cherry_CRS_phenotyping_2011"
"174","FR14T075","Prunus avium","283.3","Sweet_cherry_CRS_phenotyping_2012"
"175","FR14T075","Prunus avium","415.8","Sweet_cherry_CRS_phenotyping_2011"
"176","FR14T076","Prunus avium","277.6","Sweet_cherry_CRS_phenotyping_2012"
"177","FR14T076","Prunus avium","484.8","Sweet_cherry_CRS_phenotyping_2011"
"178","FR14T078","Prunus avium","177.7","Sweet_cherry_CRS_phenotyping_2012"
"179","FR14T078","Prunus avium","271.1","Sweet_cherry_CRS_phenotyping_2011"
"180","FR14T079","Prunus avium","247.3","Sweet_cherry_CRS_phenotyping_2012"
"181","FR14T079","Prunus avium","327","Sweet_cherry_CRS_phenotyping_2011"
"182","FR14T080","Prunus avium","287.5","Sweet_cherry_CRS_phenotyping_2012"
"183","FR14T080","Prunus avium","293.3","Sweet_cherry_CRS_phenotyping_2011"
"184","FR14T081","Prunus avium","168.3","Sweet_cherry_CRS_phenotyping_2011"
"185","FR14T081","Prunus avium","205.7","Sweet_cherry_CRS_phenotyping_2012"
"186","FR14T082","Prunus avium","210.7","Sweet_cherry_CRS_phenotyping_2012"
"187","FR14T082","Prunus avium","245.7","Sweet_cherry_CRS_phenotyping_2011"
"188","FR14T084","Prunus avium","301.1","Sweet_cherry_CRS_phenotyping_2012"
"189","FR14T084","Prunus avium","362.2","Sweet_cherry_CRS_phenotyping_2011"
"190","FR14T086","Prunus avium","206.5","Sweet_cherry_CRS_phenotyping_2012"
"191","FR14T086","Prunus avium","317.2","Sweet_cherry_CRS_phenotyping_2011"
"192","FR16T001","Prunus avium","304.3","Sweet_cherry_CRS_phenotyping_2012"
"193","FR16T024","Prunus avium","270.9","Sweet_cherry_CRS_phenotyping_2012"
"194","FR16T024","Prunus avium","348.3","Sweet_cherry_CRS_phenotyping_2011"
"195","FR16T040","Prunus avium","307.1","Sweet_cherry_CRS_phenotyping_2012"
"196","FR16T041","Prunus avium","213.6","Sweet_cherry_CRS_phenotyping_2012"
"197","FR17T006","Prunus avium","255.6","Sweet_cherry_CRS_phenotyping_2011"
"198","FR17T006","Prunus avium","276.7","Sweet_cherry_CRS_phenotyping_2012"
"199","FR17T051","Prunus avium","148.1","Sweet_cherry_CRS_phenotyping_2011"
"200","FR17T062","Prunus avium","196.9","Sweet_cherry_CRS_phenotyping_2012"
"201","FR18T017","Prunus avium","274.3","Sweet_cherry_CRS_phenotyping_2011"
"202","FR18T017","Prunus avium","284.1","Sweet_cherry_CRS_phenotyping_2012"
"203","FR18T018","Prunus avium","271.8","Sweet_cherry_CRS_phenotyping_2012"
"204","FR18T018","Prunus avium","285.2","Sweet_cherry_CRS_phenotyping_2011"
"205","FR18T019","Prunus avium","232.9","Sweet_cherry_CRS_phenotyping_2011"
"206","FR18T019","Prunus avium","287.3","Sweet_cherry_CRS_phenotyping_2012"
"207","FR18T020","Prunus avium","243","Sweet_cherry_CRS_phenotyping_2012"
"208","FR18T042","Prunus avium","203.8","Sweet_cherry_CRS_phenotyping_2012"
"209","FR18T043","Prunus avium","212.8","Sweet_cherry_CRS_phenotyping_2011"
"210","FR18T043","Prunus avium","252.7","Sweet_cherry_CRS_phenotyping_2012"
"211","FR18T044","Prunus avium","274.3","Sweet_cherry_CRS_phenotyping_2012"
"212","FR18T044","Prunus avium","308.5","Sweet_cherry_CRS_phenotyping_2011"
"213","FR18T045","Prunus avium","399","Sweet_cherry_CRS_phenotyping_2012"
"214","FR18T048","Prunus avium","266.8","Sweet_cherry_CRS_phenotyping_2011"
"215","FR18T048","Prunus avium","275.6","Sweet_cherry_CRS_phenotyping_2012"
"216","FR18T052","Prunus avium","295.3","Sweet_cherry_CRS_phenotyping_2012"
"217","FR18T071","Prunus avium","202.1","Sweet_cherry_CRS_phenotyping_2012"
"218","FR18T071","Prunus avium","291.7","Sweet_cherry_CRS_phenotyping_2011"
"219","FR1T027","Prunus avium","179.6","Sweet_cherry_CRS_phenotyping_2012"
"220","FR1T027","Prunus avium","221","Sweet_cherry_CRS_phenotyping_2011"
"221","FR1T028","Prunus avium","204","Sweet_cherry_CRS_phenotyping_2012"
"222","FR1T028","Prunus avium","231.9","Sweet_cherry_CRS_phenotyping_2011"
"223","FR1T029","Prunus avium","286.6","Sweet_cherry_CRS_phenotyping_2012"
"224","FR1T029","Prunus avium","304.1","Sweet_cherry_CRS_phenotyping_2011"
"225","FR1T030","Prunus avium","296.4","Sweet_cherry_CRS_phenotyping_2012"
"226","FR1T030","Prunus avium","497.3","Sweet_cherry_CRS_phenotyping_2011"
"227","FR1T031","Prunus avium","232.4","Sweet_cherry_CRS_phenotyping_2012"
"228","FR1T031","Prunus avium","299.5","Sweet_cherry_CRS_phenotyping_2011"
"229","FR1T032","Prunus avium","158.1","Sweet_cherry_CRS_phenotyping_2012"
"230","FR1T032","Prunus avium","206.6","Sweet_cherry_CRS_phenotyping_2011"
"231","FR1T033","Prunus avium","200.5","Sweet_cherry_CRS_phenotyping_2012"
"232","FR1T033","Prunus avium","284.7","Sweet_cherry_CRS_phenotyping_2011"
"233","FR1T037","Prunus avium","199","Sweet_cherry_CRS_phenotyping_2012"
"234","FR1T037","Prunus avium","244.9","Sweet_cherry_CRS_phenotyping_2011"
"235","FR1T038","Prunus avium","280.6","Sweet_cherry_CRS_phenotyping_2012"
"236","FR1T039","Prunus avium","200.3","Sweet_cherry_CRS_phenotyping_2012"
"237","FR1T039","Prunus avium","278.5","Sweet_cherry_CRS_phenotyping_2011"
"238","FR1T040","Prunus avium","174.8","Sweet_cherry_CRS_phenotyping_2011"
"239","FR1T040","Prunus avium","241.3","Sweet_cherry_CRS_phenotyping_2012"
"240","FR1T041","Prunus avium","384.9","Sweet_cherry_CRS_phenotyping_2012"
"241","FR1T041","Prunus avium","421.5","Sweet_cherry_CRS_phenotyping_2011"
"242","FR1T042","Prunus avium","266.9","Sweet_cherry_CRS_phenotyping_2012"
"243","FR1T054","Prunus avium","341.2","Sweet_cherry_CRS_phenotyping_2012"
"244","FR1T056","Prunus avium","209.5","Sweet_cherry_CRS_phenotyping_2012"
"245","FR1T056","Prunus avium","265.9","Sweet_cherry_CRS_phenotyping_2011"
"246","FR1T065","Prunus avium","178","Sweet_cherry_CRS_phenotyping_2012"
"247","FR1T065","Prunus avium","207.7","Sweet_cherry_CRS_phenotyping_2011"
"248","FR1T073","Prunus avium","226.7","Sweet_cherry_CRS_phenotyping_2012"
"249","FR1T073","Prunus avium","258.1","Sweet_cherry_CRS_phenotyping_2011"
"250","FR21T037","Prunus avium","223.6","Sweet_cherry_CRS_phenotyping_2012"
"251","FR21T063","Prunus avium","263.6","Sweet_cherry_CRS_phenotyping_2012"
"252","FR22T001","Prunus avium","259","Sweet_cherry_CRS_phenotyping_2012"
"253","FR22T002","Prunus avium","205.8","Sweet_cherry_CRS_phenotyping_2012"
"254","FR22T002","Prunus avium","298.9","Sweet_cherry_CRS_phenotyping_2011"
"255","FR22T003","Prunus avium","254.7","Sweet_cherry_CRS_phenotyping_2012"
"256","FR22T004","Prunus avium","258.2","Sweet_cherry_CRS_phenotyping_2012"
"257","FR22T004","Prunus avium","310.8","Sweet_cherry_CRS_phenotyping_2011"
"258","FR22T006","Prunus avium","264.3","Sweet_cherry_CRS_phenotyping_2012"
"259","FR22T007","Prunus avium","324.6","Sweet_cherry_CRS_phenotyping_2012"
"260","FR23T065","Prunus avium","155.5","Sweet_cherry_CRS_phenotyping_2012"
"261","FR23T067","Prunus avium","207.6","Sweet_cherry_CRS_phenotyping_2012"
"262","FR23T068","Prunus avium","173.5","Sweet_cherry_CRS_phenotyping_2012"
"263","FR23T069","Prunus avium","154.9","Sweet_cherry_CRS_phenotyping_2012"
"264","FR23T072","Prunus avium","168.9","Sweet_cherry_CRS_phenotyping_2012"
"265","FR23T089","Prunus avium","189.6","Sweet_cherry_CRS_phenotyping_2012"
"266","FR23T090","Prunus avium","163.4","Sweet_cherry_CRS_phenotyping_2012"
"267","FR23T090","Prunus avium","254.6","Sweet_cherry_CRS_phenotyping_2011"
"268","FR23T091","Prunus avium","182.6","Sweet_cherry_CRS_phenotyping_2012"
"269","FR23T095","Prunus avium","248.4","Sweet_cherry_CRS_phenotyping_2012"
"270","FR23T113","Prunus avium","186","Sweet_cherry_CRS_phenotyping_2012"
"271","FR23T116","Prunus avium","232.6","Sweet_cherry_CRS_phenotyping_2012"
"272","FR23T119","Prunus avium","133.9","Sweet_cherry_CRS_phenotyping_2011"
"273","FR23T120","Prunus avium","129.8","Sweet_cherry_CRS_phenotyping_2011"
"274","FR23T120","Prunus avium","154.8","Sweet_cherry_CRS_phenotyping_2012"
"275","FR23T127","Prunus avium","303.6","Sweet_cherry_CRS_phenotyping_2012"
"276","FR23T128","Prunus avium","308.3","Sweet_cherry_CRS_phenotyping_2012"
"277","FR23T129","Prunus avium","242.5","Sweet_cherry_CRS_phenotyping_2012"
"278","FR23T129","Prunus avium","468","Sweet_cherry_CRS_phenotyping_2011"
"279","FR23T130","Prunus avium","239","Sweet_cherry_CRS_phenotyping_2012"
"280","FR23T130","Prunus avium","395.3","Sweet_cherry_CRS_phenotyping_2011"
"281","FR23T131","Prunus avium","341.3","Sweet_cherry_CRS_phenotyping_2011"
"282","FR23T131","Prunus avium","346.1","Sweet_cherry_CRS_phenotyping_2012"
"283","FR24T069","Prunus avium","181.5","Sweet_cherry_CRS_phenotyping_2012"
"284","FR24T072","Prunus avium","148.3","Sweet_cherry_CRS_phenotyping_2012"
"285","FR24T077","Prunus avium","279.3","Sweet_cherry_CRS_phenotyping_2011"
"286","FR25T081","Prunus avium","266.6","Sweet_cherry_CRS_phenotyping_2012"
"287","FR25T081","Prunus avium","269.7","Sweet_cherry_CRS_phenotyping_2011"
"288","FR25T084","Prunus avium","419","Sweet_cherry_CRS_phenotyping_2012"
"289","FR25T086","Prunus avium","258.3","Sweet_cherry_CRS_phenotyping_2012"
"290","FR25T090","Prunus avium","208.1","Sweet_cherry_CRS_phenotyping_2012"
"291","FR25T090","Prunus avium","338.2","Sweet_cherry_CRS_phenotyping_2011"
"292","FR26T030","Prunus avium","145.8","Sweet_cherry_CRS_phenotyping_2012"
"293","FR26T031","Prunus avium","311","Sweet_cherry_CRS_phenotyping_2012"
"294","FR26T033","Prunus avium","183.5","Sweet_cherry_CRS_phenotyping_2011"
"295","FR26T033","Prunus avium","215.9","Sweet_cherry_CRS_phenotyping_2012"
"296","FR26T034","Prunus avium","362.4","Sweet_cherry_CRS_phenotyping_2012"
"297","FR26T034","Prunus avium","376.5","Sweet_cherry_CRS_phenotyping_2011"
"298","FR26T036","Prunus avium","165","Sweet_cherry_CRS_phenotyping_2011"
"299","FR26T036","Prunus avium","186.6","Sweet_cherry_CRS_phenotyping_2012"
"300","FR26T037","Prunus avium","225.1","Sweet_cherry_CRS_phenotyping_2012"
"301","FR26T037","Prunus avium","263.6","Sweet_cherry_CRS_phenotyping_2011"
"302","FR26T038","Prunus avium","197.3","Sweet_cherry_CRS_phenotyping_2012"
"303","FR26T038","Prunus avium","240.7","Sweet_cherry_CRS_phenotyping_2011"
"304","FR26T040","Prunus avium","207.3","Sweet_cherry_CRS_phenotyping_2012"
"305","FR27T001","Prunus avium","135.3","Sweet_cherry_CRS_phenotyping_2012"
"306","FR27T006","Prunus avium","113.6","Sweet_cherry_CRS_phenotyping_2012"
"307","FR27T007","Prunus avium","145.5","Sweet_cherry_CRS_phenotyping_2012"
"308","FR27T008","Prunus avium","134","Sweet_cherry_CRS_phenotyping_2012"
"309","FR27T010","Prunus avium","143.5","Sweet_cherry_CRS_phenotyping_2012"
"310","FR27T012","Prunus avium","167.3","Sweet_cherry_CRS_phenotyping_2012"
"311","FR27T012","Prunus avium","200.7","Sweet_cherry_CRS_phenotyping_2011"
"312","FR27T013","Prunus avium","167.7","Sweet_cherry_CRS_phenotyping_2012"
"313","FR27T013","Prunus avium","189.6","Sweet_cherry_CRS_phenotyping_2011"
"314","FR27T014","Prunus avium","175.4","Sweet_cherry_CRS_phenotyping_2011"
"315","FR27T014","Prunus avium","205.4","Sweet_cherry_CRS_phenotyping_2012"
"316","FR27T015","Prunus avium","122.5","Sweet_cherry_CRS_phenotyping_2011"
"317","FR27T015","Prunus avium","198.4","Sweet_cherry_CRS_phenotyping_2012"
"318","FR27T017","Prunus avium","77.1","Sweet_cherry_CRS_phenotyping_2012"
"319","FR27T050","Prunus avium","311.9","Sweet_cherry_CRS_phenotyping_2012"
"320","FR27T051","Prunus avium","205.3","Sweet_cherry_CRS_phenotyping_2012"
"321","FR27T052","Prunus avium","280.2","Sweet_cherry_CRS_phenotyping_2012"
"322","FR27T052","Prunus avium","284.2","Sweet_cherry_CRS_phenotyping_2011"
"323","FR27T053","Prunus avium","149.3","Sweet_cherry_CRS_phenotyping_2012"
"324","FR27T053","Prunus avium","156","Sweet_cherry_CRS_phenotyping_2011"
"325","FR27T054","Prunus avium","118.3","Sweet_cherry_CRS_phenotyping_2011"
"326","FR27T054","Prunus avium","159.9","Sweet_cherry_CRS_phenotyping_2012"
