"#","Germplasm","Species","TA","Dataset"
"105","FR29T077","Prunus avium","1.03","Sweet_cherry_CRS_phenotyping_2012"
"106","FR10T099","Prunus avium","0.73","Sweet_cherry_CRS_phenotyping_2012"
"107","FR10T099","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"108","FR10T101","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"109","FR10T101","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"110","FR11T015","Prunus avium","0.74","Sweet_cherry_CRS_phenotyping_2012"
"111","FR11T015","Prunus avium","0.85","Sweet_cherry_CRS_phenotyping_2011"
"112","FR11T015","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"113","FR11T016","Prunus avium","1.04","Sweet_cherry_CRS_phenotyping_2012"
"114","FR11T017","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"115","FR11T017","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2011"
"116","FR11T018","Prunus avium","0.8","Sweet_cherry_CRS_phenotyping_2010"
"117","FR11T018","Prunus avium","0.97","Sweet_cherry_CRS_phenotyping_2012"
"118","FR11T019","Prunus avium","0.89","Sweet_cherry_CRS_phenotyping_2012"
"119","FR11T019","Prunus avium","0.91","Sweet_cherry_CRS_phenotyping_2011"
"120","FR11T025","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2011"
"121","FR11T025","Prunus avium","0.82","Sweet_cherry_CRS_phenotyping_2012"
"122","FR11T025","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2010"
"123","FR11T026","Prunus avium","1.07","Sweet_cherry_CRS_phenotyping_2012"
"124","FR11T027","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2010"
"125","FR11T027","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2012"
"126","FR11T027","Prunus avium","0.84","Sweet_cherry_CRS_phenotyping_2011"
"127","FR11T028","Prunus avium","0.51","Sweet_cherry_CRS_phenotyping_2011"
"128","FR11T028","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"129","FR11T028","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2010"
"130","FR11T029","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"131","FR11T029","Prunus avium","0.65","Sweet_cherry_CRS_phenotyping_2012"
"132","FR11T030","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"133","FR11T030","Prunus avium","1.11","Sweet_cherry_CRS_phenotyping_2012"
"134","FR11T031","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"135","FR11T031","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"136","FR11T031","Prunus avium","1.02","Sweet_cherry_CRS_phenotyping_2012"
"137","FR11T032","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"138","FR11T032","Prunus avium","0.61","Sweet_cherry_CRS_phenotyping_2010"
"139","FR11T032","Prunus avium","0.69","Sweet_cherry_CRS_phenotyping_2012"
"140","FR12T001","Prunus avium","1.18","Sweet_cherry_CRS_phenotyping_2012"
"141","FR12T004","Prunus avium","1.15","Sweet_cherry_CRS_phenotyping_2012"
"142","FR12T006","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"143","FR12T009","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2012"
"144","FR12T009","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2011"
"145","FR12T011","Prunus avium","0.79","Sweet_cherry_CRS_phenotyping_2012"
"146","FR12T056","Prunus avium","0.79","Sweet_cherry_CRS_phenotyping_2011"
"147","FR12T056","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2012"
"148","FR12T057","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"149","FR12T058","Prunus avium","0.32","Sweet_cherry_CRS_phenotyping_2011"
"150","FR12T058","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2012"
"151","FR12T063","Prunus avium","0.33","Sweet_cherry_CRS_phenotyping_2012"
"152","FR12T063","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2011"
"153","FR12T066","Prunus avium","0.48","Sweet_cherry_CRS_phenotyping_2012"
"154","FR12T067","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2011"
"155","FR12T067","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2012"
"156","FR12T068","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2012"
"157","FR12T069","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2012"
"158","FR12T071","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2012"
"159","FR12T071","Prunus avium","0.51","Sweet_cherry_CRS_phenotyping_2011"
"160","FR12T073","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2012"
"161","FR12T076","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2012"
"162","FR12T077","Prunus avium","0.73","Sweet_cherry_CRS_phenotyping_2012"
"163","FR12T077","Prunus avium","0.79","Sweet_cherry_CRS_phenotyping_2010"
"164","FR12T080","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2012"
"165","FR12T091","Prunus avium","0.65","Sweet_cherry_CRS_phenotyping_2011"
"166","FR12T093","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2011"
"167","FR12T093","Prunus avium","0.67","Sweet_cherry_CRS_phenotyping_2012"
"168","FR12T094","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2012"
"169","FR13T061","Prunus avium","0.79","Sweet_cherry_CRS_phenotyping_2012"
"170","FR14T056","Prunus avium","0.93","Sweet_cherry_CRS_phenotyping_2011"
"171","FR14T056","Prunus avium","1.11","Sweet_cherry_CRS_phenotyping_2012"
"172","FR14T057","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"173","FR14T060","Prunus avium","0.61","Sweet_cherry_CRS_phenotyping_2011"
"174","FR14T060","Prunus avium","0.85","Sweet_cherry_CRS_phenotyping_2012"
"175","FR14T075","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2012"
"176","FR14T075","Prunus avium","0.67","Sweet_cherry_CRS_phenotyping_2011"
"177","FR14T076","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2012"
"178","FR14T078","Prunus avium","0.85","Sweet_cherry_CRS_phenotyping_2012"
"179","FR14T079","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2012"
"180","FR14T080","Prunus avium","0.83","Sweet_cherry_CRS_phenotyping_2012"
"181","FR14T081","Prunus avium","0.86","Sweet_cherry_CRS_phenotyping_2011"
"182","FR14T081","Prunus avium","0.97","Sweet_cherry_CRS_phenotyping_2012"
"183","FR14T082","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"184","FR14T082","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2011"
"185","FR14T084","Prunus avium","0.59","Sweet_cherry_CRS_phenotyping_2011"
"186","FR14T084","Prunus avium","0.91","Sweet_cherry_CRS_phenotyping_2012"
"187","FR14T086","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2011"
"188","FR14T086","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"189","FR16T001","Prunus avium","0.93","Sweet_cherry_CRS_phenotyping_2012"
"190","FR16T024","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2011"
"191","FR16T024","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"192","FR16T041","Prunus avium","0.59","Sweet_cherry_CRS_phenotyping_2012"
"193","FR17T006","Prunus avium","0.57","Sweet_cherry_CRS_phenotyping_2011"
"194","FR17T006","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"195","FR18T017","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"196","FR18T018","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2012"
"197","FR18T018","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2011"
"198","FR18T019","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"199","FR18T020","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2012"
"200","FR18T042","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2012"
"201","FR18T043","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2011"
"202","FR18T043","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2012"
"203","FR18T044","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"204","FR18T044","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"205","FR18T045","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2012"
"206","FR18T048","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"207","FR1T027","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"208","FR1T028","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2012"
"209","FR1T029","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2011"
"210","FR1T029","Prunus avium","0.84","Sweet_cherry_CRS_phenotyping_2012"
"211","FR1T029","Prunus avium","0.87","Sweet_cherry_CRS_phenotyping_2010"
"212","FR1T030","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2010"
"213","FR1T030","Prunus avium","0.67","Sweet_cherry_CRS_phenotyping_2011"
"214","FR1T030","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2012"
"215","FR1T031","Prunus avium","0.69","Sweet_cherry_CRS_phenotyping_2011"
"216","FR1T031","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2010"
"217","FR1T031","Prunus avium","0.82","Sweet_cherry_CRS_phenotyping_2012"
"218","FR1T032","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2011"
"219","FR1T032","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2010"
"220","FR1T032","Prunus avium","0.8","Sweet_cherry_CRS_phenotyping_2012"
"221","FR1T033","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2010"
"222","FR1T033","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2012"
"223","FR1T033","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2011"
"224","FR1T037","Prunus avium","0.95","Sweet_cherry_CRS_phenotyping_2010"
"225","FR1T037","Prunus avium","0.99","Sweet_cherry_CRS_phenotyping_2011"
"226","FR1T037","Prunus avium","1.05","Sweet_cherry_CRS_phenotyping_2012"
"227","FR1T038","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2011"
"228","FR1T038","Prunus avium","0.92","Sweet_cherry_CRS_phenotyping_2010"
"229","FR1T038","Prunus avium","1.14","Sweet_cherry_CRS_phenotyping_2012"
"230","FR1T039","Prunus avium","1.11","Sweet_cherry_CRS_phenotyping_2012"
"231","FR1T040","Prunus avium","0.69","Sweet_cherry_CRS_phenotyping_2011"
"232","FR1T040","Prunus avium","0.92","Sweet_cherry_CRS_phenotyping_2012"
"233","FR1T041","Prunus avium","0.99","Sweet_cherry_CRS_phenotyping_2011"
"234","FR1T041","Prunus avium","1.17","Sweet_cherry_CRS_phenotyping_2012"
"235","FR1T042","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2011"
"236","FR1T042","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2012"
"237","FR1T042","Prunus avium","0.87","Sweet_cherry_CRS_phenotyping_2010"
"238","FR1T054","Prunus avium","0.77","Sweet_cherry_CRS_phenotyping_2011"
"239","FR1T054","Prunus avium","0.8","Sweet_cherry_CRS_phenotyping_2012"
"240","FR1T054","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"241","FR1T056","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"242","FR1T056","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2010"
"243","FR1T056","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"244","FR1T065","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2012"
"245","FR1T065","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2010"
"246","FR1T073","Prunus avium","0.93","Sweet_cherry_CRS_phenotyping_2012"
"247","FR1T073","Prunus avium","0.95","Sweet_cherry_CRS_phenotyping_2011"
"248","FR1T073","Prunus avium","0.98","Sweet_cherry_CRS_phenotyping_2010"
"249","FR21T037","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"250","FR21T063","Prunus avium","0.57","Sweet_cherry_CRS_phenotyping_2012"
"251","FR22T001","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"252","FR22T002","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2012"
"253","FR22T003","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2012"
"254","FR22T004","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2012"
"255","FR22T006","Prunus avium","1.21","Sweet_cherry_CRS_phenotyping_2012"
"256","FR22T007","Prunus avium","0.92","Sweet_cherry_CRS_phenotyping_2012"
"257","FR23T065","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2012"
"258","FR23T067","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"259","FR23T068","Prunus avium","0.73","Sweet_cherry_CRS_phenotyping_2012"
"260","FR23T069","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"261","FR23T072","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2012"
"262","FR23T089","Prunus avium","0.65","Sweet_cherry_CRS_phenotyping_2012"
"263","FR23T090","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2012"
"264","FR23T091","Prunus avium","0.91","Sweet_cherry_CRS_phenotyping_2012"
"265","FR23T095","Prunus avium","0.94","Sweet_cherry_CRS_phenotyping_2012"
"266","FR23T113","Prunus avium","0.47","Sweet_cherry_CRS_phenotyping_2012"
"267","FR23T127","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"268","FR23T128","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2012"
"269","FR23T129","Prunus avium","0.93","Sweet_cherry_CRS_phenotyping_2012"
"270","FR23T129","Prunus avium","0.94","Sweet_cherry_CRS_phenotyping_2011"
"271","FR23T130","Prunus avium","0.83","Sweet_cherry_CRS_phenotyping_2012"
"272","FR23T131","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2012"
"273","FR23T131","Prunus avium","0.77","Sweet_cherry_CRS_phenotyping_2011"
"274","FR26T031","Prunus avium","0.85","Sweet_cherry_CRS_phenotyping_2012"
"275","FR26T033","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2012"
"276","FR26T034","Prunus avium","0.65","Sweet_cherry_CRS_phenotyping_2011"
"277","FR26T034","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"278","FR26T036","Prunus avium","0.36","Sweet_cherry_CRS_phenotyping_2012"
"279","FR26T037","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2012"
"280","FR26T038","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2011"
"281","FR26T038","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"282","FR27T008","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2012"
"283","FR27T012","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2012"
"284","FR27T013","Prunus avium","0.89","Sweet_cherry_CRS_phenotyping_2012"
"285","FR27T014","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"286","FR27T015","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2012"
"287","FR27T051","Prunus avium","0.83","Sweet_cherry_CRS_phenotyping_2012"
"288","FR27T052","Prunus avium","0.43","Sweet_cherry_CRS_phenotyping_2011"
"289","FR27T052","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"290","FR27T053","Prunus avium","0.85","Sweet_cherry_CRS_phenotyping_2011"
"291","FR27T053","Prunus avium","0.92","Sweet_cherry_CRS_phenotyping_2012"
"292","FR27T054","Prunus avium","0.82","Sweet_cherry_CRS_phenotyping_2012"
"293","FR27T094","Prunus avium","0.69","Sweet_cherry_CRS_phenotyping_2012"
"294","FR27T096","Prunus avium","0.82","Sweet_cherry_CRS_phenotyping_2012"
"295","FR27T097","Prunus avium","0.79","Sweet_cherry_CRS_phenotyping_2012"
"296","FR27T099","Prunus avium","0.73","Sweet_cherry_CRS_phenotyping_2011"
"297","FR27T102","Prunus avium","1.02","Sweet_cherry_CRS_phenotyping_2012"
"298","FR29T073","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"299","FR29T117","Prunus avium","0.91","Sweet_cherry_CRS_phenotyping_2012"
"300","FR29T118","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2012"
"301","FR29T120","Prunus avium","0.94","Sweet_cherry_CRS_phenotyping_2012"
"302","FR29T122","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2012"
"303","FR29T124","Prunus avium","0.96","Sweet_cherry_CRS_phenotyping_2012"
"304","FR29T126","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"305","FR2T035","Prunus avium","0.84","Sweet_cherry_CRS_phenotyping_2012"
"306","FR2T035","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"307","FR2T035","Prunus avium","1.09","Sweet_cherry_CRS_phenotyping_2010"
"308","FR2T037","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2010"
"309","FR2T037","Prunus avium","1.07","Sweet_cherry_CRS_phenotyping_2012"
"310","FR2T038","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"311","FR2T038","Prunus avium","0.59","Sweet_cherry_CRS_phenotyping_2010"
"312","FR2T038","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"313","FR2T040","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"314","FR2T040","Prunus avium","1.13","Sweet_cherry_CRS_phenotyping_2012"
"315","FR2T045","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"316","FR2T045","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2010"
"317","FR2T046","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2010"
"318","FR2T046","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2011"
"319","FR2T046","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"320","FR2T048","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2012"
"321","FR2T048","Prunus avium","0.83","Sweet_cherry_CRS_phenotyping_2011"
"322","FR2T049","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2010"
"323","FR2T049","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"324","FR2T050","Prunus avium","0.49","Sweet_cherry_CRS_phenotyping_2012"
"325","FR2T050","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2010"
