"#","Germplasm","Species","Fruit_Wt","Dataset"
"39","Cowiche","Prunus avium","15.11","Sweet_cherry_CRS_phenotyping_2010"
"40","Cowiche","Prunus avium","15.4","Sweet_cherry_CRS_phenotyping_2011"
"41","Cowiche","Prunus avium","16.35","Sweet_cherry_CRS_phenotyping_2012"
"42","Gil Peck","Prunus avium","9.22","Sweet_cherry_CRS_phenotyping_2012"
"43","Glacier","Prunus avium","14.58","Sweet_cherry_CRS_phenotyping_2012"
"44","Glacier","Prunus avium","15.37","Sweet_cherry_CRS_phenotyping_2011"
"45","Glacier","Prunus avium","15.47","Sweet_cherry_CRS_phenotyping_2010"
"46","Kiona","Prunus avium","11.54","Sweet_cherry_CRS_phenotyping_2010"
"47","Kiona","Prunus avium","12.89","Sweet_cherry_CRS_phenotyping_2012"
"48","Kiona","Prunus avium","13.43","Sweet_cherry_CRS_phenotyping_2011"
"49","NY 54","Prunus avium","1.71","Sweet_cherry_CRS_phenotyping_2011"
"50","NY 54","Prunus avium","1.74","Sweet_cherry_CRS_phenotyping_2012"
"51","PMR-1","Prunus avium","11.55","Sweet_cherry_CRS_phenotyping_2011"
"52","PMR-1","Prunus avium","11.8","Sweet_cherry_CRS_phenotyping_2010"
"53","PMR-1","Prunus avium","12.26","Sweet_cherry_CRS_phenotyping_2012"
"54","Schmidt","Prunus avium","5.25","Sweet_cherry_CRS_phenotyping_2011"
"55","Schmidt","Prunus avium","8.45","Sweet_cherry_CRS_phenotyping_2012"
"56","Selah","Prunus avium","11.72","Sweet_cherry_CRS_phenotyping_2012"
"57","Selah","Prunus avium","15.67","Sweet_cherry_CRS_phenotyping_2011"
"58","Tieton","Prunus avium","14","Sweet_cherry_CRS_phenotyping_2012"
"59","Tieton","Prunus avium","14.58","Sweet_cherry_CRS_phenotyping_2011"
"60","Tieton","Prunus avium","15.6","Sweet_cherry_CRS_phenotyping_2010"
"61","Vic","Prunus avium","7.15","Sweet_cherry_CRS_phenotyping_2011"
"62","Vic","Prunus avium","9.37","Sweet_cherry_CRS_phenotyping_2012"
"63","Windsor","Prunus avium","6.1","Sweet_cherry_CRS_phenotyping_2011"
"64","Windsor","Prunus avium","7.46","Sweet_cherry_CRS_phenotyping_2012"
"65","Olympus","Prunus avium","12.25","Sweet_cherry_CRS_phenotyping_2010"
"66","Kordia","Prunus avium","11.53","Sweet_cherry_CRS_phenotyping_2011"
"67","Kordia","Prunus avium","13.58","Sweet_cherry_CRS_phenotyping_2012"
"68","FR1T068","Prunus avium","12.78","Sweet_cherry_CRS_phenotyping_2012"
"69","FR1T068","Prunus avium","13.13","Sweet_cherry_CRS_phenotyping_2010"
"70","FR1T068","Prunus avium","14.53","Sweet_cherry_CRS_phenotyping_2011"
"71","FR12T078","Prunus avium","12.2","Sweet_cherry_CRS_phenotyping_2011"
"72","FR12T078","Prunus avium","12.58","Sweet_cherry_CRS_phenotyping_2012"
"73","FR8T012","Prunus avium","9.08","Sweet_cherry_CRS_phenotyping_2012"
"74","FR8T012","Prunus avium","9.75","Sweet_cherry_CRS_phenotyping_2011"
"75","FR12T081","Prunus avium","11.82","Sweet_cherry_CRS_phenotyping_2011"
"76","FR12T081","Prunus avium","12.5","Sweet_cherry_CRS_phenotyping_2012"
"77","FR28T002","Prunus avium","5.45","Sweet_cherry_CRS_phenotyping_2012"
"78","FR1T036","Prunus avium","11.36","Sweet_cherry_CRS_phenotyping_2011"
"79","FR1T036","Prunus avium","12.46","Sweet_cherry_CRS_phenotyping_2010"
"80","FR1T036","Prunus avium","13.44","Sweet_cherry_CRS_phenotyping_2012"
"81","FR1T074","Prunus avium","13.91","Sweet_cherry_CRS_phenotyping_2012"
"82","FR1T074","Prunus avium","14.4","Sweet_cherry_CRS_phenotyping_2011"
"83","FR1T074","Prunus avium","14.73","Sweet_cherry_CRS_phenotyping_2010"
"84","FR2T063","Prunus avium","14.06","Sweet_cherry_CRS_phenotyping_2012"
"85","FR2T030","Prunus avium","11","Sweet_cherry_CRS_phenotyping_2011"
"86","FR2T030","Prunus avium","11.01","Sweet_cherry_CRS_phenotyping_2010"
"87","FR2T030","Prunus avium","11.4","Sweet_cherry_CRS_phenotyping_2012"
"88","FR3T070","Prunus avium","9.61","Sweet_cherry_CRS_phenotyping_2010"
"89","FR3T070","Prunus avium","10.36","Sweet_cherry_CRS_phenotyping_2012"
"90","FR3T070","Prunus avium","10.46","Sweet_cherry_CRS_phenotyping_2011"
"91","FR1T035","Prunus avium","7.56","Sweet_cherry_CRS_phenotyping_2012"
"92","FR1T035","Prunus avium","10.2","Sweet_cherry_CRS_phenotyping_2010"
"93","FR1T035","Prunus avium","10.5","Sweet_cherry_CRS_phenotyping_2011"
"94","FR1T066","Prunus avium","7.73","Sweet_cherry_CRS_phenotyping_2011"
"95","FR1T066","Prunus avium","7.99","Sweet_cherry_CRS_phenotyping_2010"
"96","FR1T066","Prunus avium","9.98","Sweet_cherry_CRS_phenotyping_2012"
"97","FR1T069","Prunus avium","10.51","Sweet_cherry_CRS_phenotyping_2012"
"98","FR1T069","Prunus avium","11.62","Sweet_cherry_CRS_phenotyping_2011"
"99","FR1T069","Prunus avium","11.68","Sweet_cherry_CRS_phenotyping_2010"
"100","FR2T058","Prunus avium","6.68","Sweet_cherry_CRS_phenotyping_2012"
"101","FR2T058","Prunus avium","7.55","Sweet_cherry_CRS_phenotyping_2011"
"102","FR2T058","Prunus avium","7.8","Sweet_cherry_CRS_phenotyping_2010"
"103","FR14T100","Prunus avium","9.37","Sweet_cherry_CRS_phenotyping_2012"
"104","FR14T100","Prunus avium","11.58","Sweet_cherry_CRS_phenotyping_2011"
"105","FR20T045","Prunus avium","14.51","Sweet_cherry_CRS_phenotyping_2012"
"106","FR21T040","Prunus avium","9.73","Sweet_cherry_CRS_phenotyping_2012"
"107","FR21T040","Prunus avium","10.1","Sweet_cherry_CRS_phenotyping_2011"
"108","FR31T016","Prunus avium","7.51","Sweet_cherry_CRS_phenotyping_2012"
"109","FR23T097","Prunus avium","3.05","Sweet_cherry_CRS_phenotyping_2012"
"110","FR27T018","Prunus avium","3.67","Sweet_cherry_CRS_phenotyping_2011"
"111","FR27T018","Prunus avium","4.75","Sweet_cherry_CRS_phenotyping_2012"
"112","FR28T001","Prunus avium","4.58","Sweet_cherry_CRS_phenotyping_2012"
"113","FR28T100","Prunus avium","2.38","Sweet_cherry_CRS_phenotyping_2011"
"114","FR28T100","Prunus avium","4.5","Sweet_cherry_CRS_phenotyping_2012"
"115","FR28T101","Prunus avium","2.78","Sweet_cherry_CRS_phenotyping_2011"
"116","FR28T101","Prunus avium","3.42","Sweet_cherry_CRS_phenotyping_2012"
"117","FR28T102","Prunus avium","2.95","Sweet_cherry_CRS_phenotyping_2012"
"118","FR28T104","Prunus avium","2.03","Sweet_cherry_CRS_phenotyping_2012"
"119","FR28T104","Prunus avium","2.07","Sweet_cherry_CRS_phenotyping_2011"
"120","FR28T105","Prunus avium","2.66","Sweet_cherry_CRS_phenotyping_2011"
"121","FR28T105","Prunus avium","3.88","Sweet_cherry_CRS_phenotyping_2012"
"122","FR28T106","Prunus avium","3.05","Sweet_cherry_CRS_phenotyping_2011"
"123","FR28T106","Prunus avium","4.02","Sweet_cherry_CRS_phenotyping_2012"
"124","FR28T107","Prunus avium","2.9","Sweet_cherry_CRS_phenotyping_2011"
"125","FR28T107","Prunus avium","4.06","Sweet_cherry_CRS_phenotyping_2012"
"126","FR28T108","Prunus avium","4.48","Sweet_cherry_CRS_phenotyping_2011"
"127","FR28T108","Prunus avium","5.56","Sweet_cherry_CRS_phenotyping_2012"
"128","FR29T074","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2012"
"129","FR29T075","Prunus avium","2.9","Sweet_cherry_CRS_phenotyping_2011"
"130","FR29T075","Prunus avium","4.42","Sweet_cherry_CRS_phenotyping_2012"
"131","FR29T076","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"132","FR29T076","Prunus avium","4.66","Sweet_cherry_CRS_phenotyping_2011"
"133","FR29T077","Prunus avium","5.3","Sweet_cherry_CRS_phenotyping_2011"
"134","FR29T077","Prunus avium","6.2","Sweet_cherry_CRS_phenotyping_2012"
"135","FR10T098","Prunus avium","3.85","Sweet_cherry_CRS_phenotyping_2012"
"136","FR10T099","Prunus avium","7.4","Sweet_cherry_CRS_phenotyping_2012"
"137","FR10T099","Prunus avium","9.37","Sweet_cherry_CRS_phenotyping_2011"
"138","FR10T101","Prunus avium","8.9","Sweet_cherry_CRS_phenotyping_2011"
"139","FR10T101","Prunus avium","10.23","Sweet_cherry_CRS_phenotyping_2012"
"140","FR11T015","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2012"
"141","FR11T015","Prunus avium","10.55","Sweet_cherry_CRS_phenotyping_2011"
"142","FR11T015","Prunus avium","10.59","Sweet_cherry_CRS_phenotyping_2010"
"143","FR11T016","Prunus avium","11.12","Sweet_cherry_CRS_phenotyping_2012"
"144","FR11T016","Prunus avium","12.54","Sweet_cherry_CRS_phenotyping_2011"
"145","FR11T017","Prunus avium","11.4","Sweet_cherry_CRS_phenotyping_2010"
"146","FR11T017","Prunus avium","11.5","Sweet_cherry_CRS_phenotyping_2011"
"147","FR11T017","Prunus avium","12.13","Sweet_cherry_CRS_phenotyping_2012"
"148","FR11T018","Prunus avium","8.57","Sweet_cherry_CRS_phenotyping_2010"
"149","FR11T018","Prunus avium","9.41","Sweet_cherry_CRS_phenotyping_2012"
"150","FR11T019","Prunus avium","8.47","Sweet_cherry_CRS_phenotyping_2011"
"151","FR11T019","Prunus avium","9.66","Sweet_cherry_CRS_phenotyping_2012"
"152","FR11T025","Prunus avium","8.05","Sweet_cherry_CRS_phenotyping_2010"
"153","FR11T025","Prunus avium","8.35","Sweet_cherry_CRS_phenotyping_2011"
"154","FR11T025","Prunus avium","11.26","Sweet_cherry_CRS_phenotyping_2012"
"155","FR11T026","Prunus avium","9.82","Sweet_cherry_CRS_phenotyping_2012"
"156","FR11T027","Prunus avium","10.8","Sweet_cherry_CRS_phenotyping_2012"
"157","FR11T027","Prunus avium","11","Sweet_cherry_CRS_phenotyping_2010"
"158","FR11T027","Prunus avium","11","Sweet_cherry_CRS_phenotyping_2011"
"159","FR11T028","Prunus avium","10.15","Sweet_cherry_CRS_phenotyping_2012"
"160","FR11T028","Prunus avium","11","Sweet_cherry_CRS_phenotyping_2011"
"161","FR11T028","Prunus avium","11.22","Sweet_cherry_CRS_phenotyping_2010"
"162","FR11T029","Prunus avium","9.48","Sweet_cherry_CRS_phenotyping_2012"
"163","FR11T029","Prunus avium","10.42","Sweet_cherry_CRS_phenotyping_2010"
"164","FR11T029","Prunus avium","10.94","Sweet_cherry_CRS_phenotyping_2011"
"165","FR11T030","Prunus avium","8.78","Sweet_cherry_CRS_phenotyping_2012"
"166","FR11T030","Prunus avium","10.31","Sweet_cherry_CRS_phenotyping_2010"
"167","FR11T031","Prunus avium","10.46","Sweet_cherry_CRS_phenotyping_2012"
"168","FR11T031","Prunus avium","11.1","Sweet_cherry_CRS_phenotyping_2011"
"169","FR11T031","Prunus avium","11.92","Sweet_cherry_CRS_phenotyping_2010"
"170","FR11T032","Prunus avium","11.55","Sweet_cherry_CRS_phenotyping_2010"
"171","FR11T032","Prunus avium","12.1","Sweet_cherry_CRS_phenotyping_2011"
"172","FR11T032","Prunus avium","13.48","Sweet_cherry_CRS_phenotyping_2012"
"173","FR12T001","Prunus avium","9.48","Sweet_cherry_CRS_phenotyping_2011"
"174","FR12T001","Prunus avium","11.42","Sweet_cherry_CRS_phenotyping_2012"
"175","FR12T004","Prunus avium","9.53","Sweet_cherry_CRS_phenotyping_2011"
"176","FR12T004","Prunus avium","9.69","Sweet_cherry_CRS_phenotyping_2012"
"177","FR12T006","Prunus avium","7.48","Sweet_cherry_CRS_phenotyping_2012"
"178","FR12T006","Prunus avium","8.64","Sweet_cherry_CRS_phenotyping_2011"
"179","FR12T009","Prunus avium","9.72","Sweet_cherry_CRS_phenotyping_2011"
"180","FR12T009","Prunus avium","10.37","Sweet_cherry_CRS_phenotyping_2012"
"181","FR12T011","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2012"
"182","FR12T011","Prunus avium","10.35","Sweet_cherry_CRS_phenotyping_2010"
"183","FR12T012","Prunus avium","10.35","Sweet_cherry_CRS_phenotyping_2011"
"184","FR12T056","Prunus avium","9.61","Sweet_cherry_CRS_phenotyping_2011"
"185","FR12T056","Prunus avium","10.14","Sweet_cherry_CRS_phenotyping_2012"
"186","FR12T057","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2012"
"187","FR12T058","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2011"
"188","FR12T058","Prunus avium","10.37","Sweet_cherry_CRS_phenotyping_2012"
"189","FR12T063","Prunus avium","11.18","Sweet_cherry_CRS_phenotyping_2012"
"190","FR12T063","Prunus avium","11.44","Sweet_cherry_CRS_phenotyping_2011"
"191","FR12T066","Prunus avium","9.53","Sweet_cherry_CRS_phenotyping_2011"
"192","FR12T066","Prunus avium","9.58","Sweet_cherry_CRS_phenotyping_2012"
"193","FR12T067","Prunus avium","9.26","Sweet_cherry_CRS_phenotyping_2011"
"194","FR12T067","Prunus avium","10.47","Sweet_cherry_CRS_phenotyping_2012"
"195","FR12T068","Prunus avium","9.38","Sweet_cherry_CRS_phenotyping_2011"
"196","FR12T068","Prunus avium","9.68","Sweet_cherry_CRS_phenotyping_2012"
"197","FR12T069","Prunus avium","9.76","Sweet_cherry_CRS_phenotyping_2012"
"198","FR12T071","Prunus avium","9.78","Sweet_cherry_CRS_phenotyping_2011"
"199","FR12T071","Prunus avium","9.98","Sweet_cherry_CRS_phenotyping_2012"
"200","FR12T072","Prunus avium","5.73","Sweet_cherry_CRS_phenotyping_2012"
"201","FR12T072","Prunus avium","10.02","Sweet_cherry_CRS_phenotyping_2011"
"202","FR12T073","Prunus avium","7.7","Sweet_cherry_CRS_phenotyping_2012"
"203","FR12T073","Prunus avium","9.71","Sweet_cherry_CRS_phenotyping_2011"
"204","FR12T074","Prunus avium","7.07","Sweet_cherry_CRS_phenotyping_2012"
"205","FR12T076","Prunus avium","8.57","Sweet_cherry_CRS_phenotyping_2011"
"206","FR12T076","Prunus avium","9.76","Sweet_cherry_CRS_phenotyping_2012"
"207","FR12T077","Prunus avium","10.52","Sweet_cherry_CRS_phenotyping_2011"
"208","FR12T077","Prunus avium","11.42","Sweet_cherry_CRS_phenotyping_2012"
"209","FR12T077","Prunus avium","11.66","Sweet_cherry_CRS_phenotyping_2010"
"210","FR12T080","Prunus avium","9.7","Sweet_cherry_CRS_phenotyping_2011"
"211","FR12T080","Prunus avium","11.84","Sweet_cherry_CRS_phenotyping_2012"
"212","FR12T091","Prunus avium","10.17","Sweet_cherry_CRS_phenotyping_2012"
"213","FR12T091","Prunus avium","13.14","Sweet_cherry_CRS_phenotyping_2011"
"214","FR12T093","Prunus avium","10.5","Sweet_cherry_CRS_phenotyping_2012"
"215","FR12T093","Prunus avium","11.13","Sweet_cherry_CRS_phenotyping_2011"
"216","FR12T094","Prunus avium","9.18","Sweet_cherry_CRS_phenotyping_2012"
"217","FR13T058","Prunus avium","8.96","Sweet_cherry_CRS_phenotyping_2011"
"218","FR13T058","Prunus avium","9.82","Sweet_cherry_CRS_phenotyping_2012"
"219","FR13T061","Prunus avium","8.25","Sweet_cherry_CRS_phenotyping_2011"
"220","FR13T061","Prunus avium","9.77","Sweet_cherry_CRS_phenotyping_2012"
"221","FR14T056","Prunus avium","11.43","Sweet_cherry_CRS_phenotyping_2011"
"222","FR14T056","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2012"
"223","FR14T057","Prunus avium","10","Sweet_cherry_CRS_phenotyping_2012"
"224","FR14T057","Prunus avium","10.63","Sweet_cherry_CRS_phenotyping_2011"
"225","FR14T060","Prunus avium","10.53","Sweet_cherry_CRS_phenotyping_2011"
"226","FR14T060","Prunus avium","10.78","Sweet_cherry_CRS_phenotyping_2012"
"227","FR14T075","Prunus avium","8.1","Sweet_cherry_CRS_phenotyping_2012"
"228","FR14T075","Prunus avium","10.33","Sweet_cherry_CRS_phenotyping_2011"
"229","FR14T076","Prunus avium","8.4","Sweet_cherry_CRS_phenotyping_2012"
"230","FR14T076","Prunus avium","13.43","Sweet_cherry_CRS_phenotyping_2011"
"231","FR14T078","Prunus avium","10.5","Sweet_cherry_CRS_phenotyping_2011"
"232","FR14T078","Prunus avium","10.88","Sweet_cherry_CRS_phenotyping_2012"
"233","FR14T079","Prunus avium","8.2","Sweet_cherry_CRS_phenotyping_2012"
"234","FR14T079","Prunus avium","10.6","Sweet_cherry_CRS_phenotyping_2011"
"235","FR14T080","Prunus avium","9.52","Sweet_cherry_CRS_phenotyping_2012"
"236","FR14T080","Prunus avium","11.75","Sweet_cherry_CRS_phenotyping_2011"
"237","FR14T081","Prunus avium","10.9","Sweet_cherry_CRS_phenotyping_2011"
"238","FR14T081","Prunus avium","11.1","Sweet_cherry_CRS_phenotyping_2012"
"239","FR14T082","Prunus avium","9.47","Sweet_cherry_CRS_phenotyping_2011"
"240","FR14T082","Prunus avium","11.7","Sweet_cherry_CRS_phenotyping_2012"
"241","FR14T084","Prunus avium","9.75","Sweet_cherry_CRS_phenotyping_2012"
"242","FR14T084","Prunus avium","11.46","Sweet_cherry_CRS_phenotyping_2011"
"243","FR14T086","Prunus avium","8.83","Sweet_cherry_CRS_phenotyping_2012"
"244","FR14T086","Prunus avium","10.2","Sweet_cherry_CRS_phenotyping_2011"
"245","FR16T001","Prunus avium","7.2","Sweet_cherry_CRS_phenotyping_2012"
"246","FR16T024","Prunus avium","9.65","Sweet_cherry_CRS_phenotyping_2012"
"247","FR16T024","Prunus avium","11.57","Sweet_cherry_CRS_phenotyping_2011"
"248","FR16T041","Prunus avium","11.76","Sweet_cherry_CRS_phenotyping_2012"
"249","FR17T006","Prunus avium","10","Sweet_cherry_CRS_phenotyping_2012"
"250","FR17T006","Prunus avium","10.88","Sweet_cherry_CRS_phenotyping_2011"
"251","FR17T051","Prunus avium","11.1","Sweet_cherry_CRS_phenotyping_2011"
"252","FR17T062","Prunus avium","13.33","Sweet_cherry_CRS_phenotyping_2012"
"253","FR18T017","Prunus avium","7.78","Sweet_cherry_CRS_phenotyping_2012"
"254","FR18T017","Prunus avium","10.24","Sweet_cherry_CRS_phenotyping_2011"
"255","FR18T018","Prunus avium","7.83","Sweet_cherry_CRS_phenotyping_2012"
"256","FR18T018","Prunus avium","10.1","Sweet_cherry_CRS_phenotyping_2011"
"257","FR18T019","Prunus avium","9.65","Sweet_cherry_CRS_phenotyping_2011"
"258","FR18T019","Prunus avium","11.29","Sweet_cherry_CRS_phenotyping_2012"
"259","FR18T020","Prunus avium","14.25","Sweet_cherry_CRS_phenotyping_2012"
"260","FR18T041","Prunus avium","10.23","Sweet_cherry_CRS_phenotyping_2011"
"261","FR18T042","Prunus avium","11.43","Sweet_cherry_CRS_phenotyping_2012"
"262","FR18T043","Prunus avium","9.36","Sweet_cherry_CRS_phenotyping_2011"
"263","FR18T043","Prunus avium","12.12","Sweet_cherry_CRS_phenotyping_2012"
"264","FR18T044","Prunus avium","10.5","Sweet_cherry_CRS_phenotyping_2011"
"265","FR18T044","Prunus avium","10.69","Sweet_cherry_CRS_phenotyping_2012"
"266","FR18T045","Prunus avium","6.2","Sweet_cherry_CRS_phenotyping_2012"
"267","FR18T048","Prunus avium","9.58","Sweet_cherry_CRS_phenotyping_2011"
"268","FR18T048","Prunus avium","9.66","Sweet_cherry_CRS_phenotyping_2012"
"269","FR18T052","Prunus avium","8.41","Sweet_cherry_CRS_phenotyping_2012"
"270","FR18T071","Prunus avium","10.31","Sweet_cherry_CRS_phenotyping_2011"
"271","FR1T027","Prunus avium","12.3","Sweet_cherry_CRS_phenotyping_2011"
"272","FR1T027","Prunus avium","12.64","Sweet_cherry_CRS_phenotyping_2012"
"273","FR1T028","Prunus avium","12.09","Sweet_cherry_CRS_phenotyping_2011"
"274","FR1T028","Prunus avium","13.62","Sweet_cherry_CRS_phenotyping_2012"
"275","FR1T029","Prunus avium","11.3","Sweet_cherry_CRS_phenotyping_2011"
"276","FR1T029","Prunus avium","11.67","Sweet_cherry_CRS_phenotyping_2010"
"277","FR1T029","Prunus avium","12.07","Sweet_cherry_CRS_phenotyping_2012"
"278","FR1T030","Prunus avium","8.34","Sweet_cherry_CRS_phenotyping_2012"
"279","FR1T030","Prunus avium","11.24","Sweet_cherry_CRS_phenotyping_2010"
"280","FR1T030","Prunus avium","11.7","Sweet_cherry_CRS_phenotyping_2011"
"281","FR1T031","Prunus avium","8.9","Sweet_cherry_CRS_phenotyping_2012"
"282","FR1T031","Prunus avium","10.85","Sweet_cherry_CRS_phenotyping_2010"
"283","FR1T031","Prunus avium","10.96","Sweet_cherry_CRS_phenotyping_2011"
"284","FR1T032","Prunus avium","10.86","Sweet_cherry_CRS_phenotyping_2012"
"285","FR1T032","Prunus avium","12.35","Sweet_cherry_CRS_phenotyping_2011"
"286","FR1T032","Prunus avium","13.12","Sweet_cherry_CRS_phenotyping_2010"
"287","FR1T033","Prunus avium","9.94","Sweet_cherry_CRS_phenotyping_2012"
"288","FR1T033","Prunus avium","10.3","Sweet_cherry_CRS_phenotyping_2011"
"289","FR1T033","Prunus avium","10.95","Sweet_cherry_CRS_phenotyping_2010"
"290","FR1T037","Prunus avium","10.71","Sweet_cherry_CRS_phenotyping_2010"
"291","FR1T037","Prunus avium","11.65","Sweet_cherry_CRS_phenotyping_2011"
"292","FR1T037","Prunus avium","12.08","Sweet_cherry_CRS_phenotyping_2012"
"293","FR1T038","Prunus avium","10.39","Sweet_cherry_CRS_phenotyping_2011"
"294","FR1T038","Prunus avium","10.4","Sweet_cherry_CRS_phenotyping_2012"
"295","FR1T038","Prunus avium","10.56","Sweet_cherry_CRS_phenotyping_2010"
"296","FR1T039","Prunus avium","11.31","Sweet_cherry_CRS_phenotyping_2010"
"297","FR1T039","Prunus avium","12.2","Sweet_cherry_CRS_phenotyping_2012"
"298","FR1T039","Prunus avium","12.93","Sweet_cherry_CRS_phenotyping_2011"
"299","FR1T040","Prunus avium","11.49","Sweet_cherry_CRS_phenotyping_2010"
"300","FR1T040","Prunus avium","11.9","Sweet_cherry_CRS_phenotyping_2012"
"301","FR1T040","Prunus avium","12.4","Sweet_cherry_CRS_phenotyping_2011"
"302","FR1T041","Prunus avium","8.84","Sweet_cherry_CRS_phenotyping_2012"
"303","FR1T041","Prunus avium","9.01","Sweet_cherry_CRS_phenotyping_2011"
"304","FR1T041","Prunus avium","10.23","Sweet_cherry_CRS_phenotyping_2010"
"305","FR1T042","Prunus avium","9.84","Sweet_cherry_CRS_phenotyping_2011"
"306","FR1T042","Prunus avium","10.89","Sweet_cherry_CRS_phenotyping_2010"
"307","FR1T042","Prunus avium","11.24","Sweet_cherry_CRS_phenotyping_2012"
"308","FR1T054","Prunus avium","10.3","Sweet_cherry_CRS_phenotyping_2010"
"309","FR1T054","Prunus avium","10.54","Sweet_cherry_CRS_phenotyping_2011"
"310","FR1T054","Prunus avium","11.1","Sweet_cherry_CRS_phenotyping_2012"
"311","FR1T056","Prunus avium","12.4","Sweet_cherry_CRS_phenotyping_2011"
"312","FR1T056","Prunus avium","12.71","Sweet_cherry_CRS_phenotyping_2010"
"313","FR1T056","Prunus avium","14.82","Sweet_cherry_CRS_phenotyping_2012"
"314","FR1T065","Prunus avium","13.3","Sweet_cherry_CRS_phenotyping_2011"
"315","FR1T065","Prunus avium","13.81","Sweet_cherry_CRS_phenotyping_2010"
"316","FR1T065","Prunus avium","14.48","Sweet_cherry_CRS_phenotyping_2012"
"317","FR1T073","Prunus avium","13.3","Sweet_cherry_CRS_phenotyping_2011"
"318","FR1T073","Prunus avium","13.7","Sweet_cherry_CRS_phenotyping_2010"
"319","FR1T073","Prunus avium","14.29","Sweet_cherry_CRS_phenotyping_2012"
"320","FR21T037","Prunus avium","9.52","Sweet_cherry_CRS_phenotyping_2012"
"321","FR21T063","Prunus avium","11.14","Sweet_cherry_CRS_phenotyping_2012"
"322","FR22T001","Prunus avium","13.46","Sweet_cherry_CRS_phenotyping_2012"
"323","FR22T002","Prunus avium","9.7","Sweet_cherry_CRS_phenotyping_2011"
"324","FR22T002","Prunus avium","9.96","Sweet_cherry_CRS_phenotyping_2012"
"325","FR22T003","Prunus avium","10.34","Sweet_cherry_CRS_phenotyping_2012"
"326","FR22T004","Prunus avium","9.17","Sweet_cherry_CRS_phenotyping_2011"
