"#","Germplasm","Species","Flesh_C","Dataset"
"151","FR11T019","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"152","FR11T025","Prunus avium","1.5","Sweet_cherry_CRS_phenotyping_2010"
"153","FR11T025","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2011"
"154","FR11T025","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"155","FR11T026","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"156","FR11T027","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2010"
"157","FR11T027","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"158","FR11T027","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"159","FR11T028","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"160","FR11T028","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"161","FR11T028","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"162","FR11T029","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"163","FR11T029","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"164","FR11T029","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"165","FR11T030","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"166","FR11T030","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"167","FR11T031","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"168","FR11T031","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"169","FR11T031","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"170","FR11T032","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"171","FR11T032","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"172","FR11T032","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2010"
"173","FR12T001","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"174","FR12T001","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"175","FR12T003","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"176","FR12T004","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2011"
"177","FR12T004","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"178","FR12T006","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"179","FR12T006","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"180","FR12T009","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"181","FR12T009","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"182","FR12T011","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"183","FR12T012","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"184","FR12T012","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"185","FR12T056","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"186","FR12T056","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"187","FR12T057","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"188","FR12T058","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"189","FR12T058","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"190","FR12T063","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"191","FR12T063","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"192","FR12T066","Prunus avium","3.5","Sweet_cherry_CRS_phenotyping_2011"
"193","FR12T066","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"194","FR12T067","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"195","FR12T067","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"196","FR12T068","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"197","FR12T068","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"198","FR12T069","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"199","FR12T071","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"200","FR12T071","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"201","FR12T072","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"202","FR12T072","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"203","FR12T073","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"204","FR12T073","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"205","FR12T074","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"206","FR12T076","Prunus avium","2.7","Sweet_cherry_CRS_phenotyping_2011"
"207","FR12T076","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"208","FR12T077","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"209","FR12T077","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"210","FR12T077","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"211","FR12T080","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"212","FR12T080","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"213","FR12T091","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"214","FR12T091","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"215","FR12T093","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"216","FR12T093","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"217","FR12T094","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"218","FR13T058","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"219","FR13T058","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"220","FR13T061","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2011"
"221","FR13T061","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"222","FR14T056","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2011"
"223","FR14T056","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"224","FR14T057","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"225","FR14T057","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2011"
"226","FR14T060","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"227","FR14T060","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"228","FR14T075","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"229","FR14T075","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"230","FR14T076","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"231","FR14T076","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"232","FR14T078","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"233","FR14T078","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"234","FR14T079","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"235","FR14T079","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"236","FR14T080","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"237","FR14T080","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"238","FR14T081","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"239","FR14T081","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"240","FR14T082","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"241","FR14T082","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"242","FR14T084","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"243","FR14T084","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"244","FR14T086","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"245","FR14T086","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"246","FR16T001","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"247","FR16T024","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"248","FR16T024","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"249","FR16T040","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"250","FR16T041","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"251","FR17T006","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"252","FR17T006","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"253","FR17T051","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"254","FR17T062","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"255","FR18T017","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"256","FR18T017","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"257","FR18T018","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"258","FR18T018","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"259","FR18T019","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"260","FR18T019","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"261","FR18T020","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"262","FR18T041","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"263","FR18T042","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"264","FR18T043","Prunus avium","2.3","Sweet_cherry_CRS_phenotyping_2011"
"265","FR18T043","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"266","FR18T044","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"267","FR18T044","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"268","FR18T045","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"269","FR18T048","Prunus avium","2.7","Sweet_cherry_CRS_phenotyping_2011"
"270","FR18T048","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"271","FR18T052","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"272","FR18T071","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"273","FR18T071","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"274","FR1T027","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"275","FR1T027","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"276","FR1T028","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"277","FR1T028","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"278","FR1T029","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"279","FR1T029","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"280","FR1T029","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2010"
"281","FR1T030","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"282","FR1T030","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"283","FR1T030","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"284","FR1T031","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"285","FR1T031","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"286","FR1T031","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"287","FR1T032","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"288","FR1T032","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"289","FR1T032","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"290","FR1T033","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"291","FR1T033","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"292","FR1T033","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"293","FR1T037","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"294","FR1T037","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"295","FR1T037","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"296","FR1T038","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"297","FR1T038","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"298","FR1T038","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"299","FR1T039","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"300","FR1T039","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"301","FR1T039","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"302","FR1T040","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"303","FR1T040","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"304","FR1T040","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"305","FR1T041","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"306","FR1T041","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"307","FR1T041","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2010"
"308","FR1T042","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"309","FR1T042","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"310","FR1T042","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2010"
"311","FR1T054","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"312","FR1T054","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"313","FR1T054","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"314","FR1T056","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"315","FR1T056","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"316","FR1T056","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"317","FR1T065","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"318","FR1T065","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"319","FR1T065","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2010"
"320","FR1T073","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"321","FR1T073","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2010"
"322","FR1T073","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"323","FR21T037","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"324","FR21T063","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"325","FR22T001","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"326","FR22T002","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"327","FR22T002","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"328","FR22T003","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"329","FR22T004","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"330","FR22T004","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"331","FR22T006","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"332","FR22T007","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"333","FR23T065","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"334","FR23T067","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"335","FR23T068","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"336","FR23T069","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"337","FR23T089","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"338","FR23T090","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"339","FR23T090","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
