"#","Germplasm","Species","Skin_C_mahogany","Dataset"
"95","FR28T105","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"96","FR28T107","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"97","FR28T107","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2011"
"98","FR28T108","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"99","FR28T108","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2011"
"100","FR29T075","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"101","FR29T075","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2012"
"102","FR29T076","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"103","FR29T076","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"104","FR29T077","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"105","FR29T077","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"106","FR10T098","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"107","FR10T099","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"108","FR10T099","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"109","FR10T101","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"110","FR10T101","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2012"
"111","FR11T015","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"112","FR11T015","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"113","FR11T015","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"114","FR11T018","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"115","FR11T018","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"116","FR11T025","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"117","FR11T025","Prunus avium","3.3","Sweet_cherry_CRS_phenotyping_2010"
"118","FR11T025","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"119","FR11T026","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"120","FR11T027","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2010"
"121","FR11T027","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"122","FR11T027","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"123","FR11T032","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"124","FR11T032","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"125","FR11T032","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2010"
"126","FR12T001","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"127","FR12T001","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"128","FR12T003","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"129","FR12T004","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2011"
"130","FR12T004","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"131","FR12T006","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"132","FR12T006","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2011"
"133","FR12T009","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2011"
"134","FR12T009","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"135","FR12T011","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"136","FR12T011","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"137","FR12T012","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"138","FR12T012","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"139","FR12T057","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2012"
"140","FR12T058","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"141","FR12T058","Prunus avium","4.7","Sweet_cherry_CRS_phenotyping_2011"
"142","FR12T063","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"143","FR12T063","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"144","FR12T066","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2011"
"145","FR12T066","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"146","FR12T067","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"147","FR12T067","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"148","FR12T069","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"149","FR12T071","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2011"
"150","FR12T071","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"151","FR12T072","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2011"
"152","FR12T072","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"153","FR12T073","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"154","FR12T073","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"155","FR12T074","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"156","FR12T076","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"157","FR12T076","Prunus avium","4.7","Sweet_cherry_CRS_phenotyping_2011"
"158","FR12T077","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"159","FR12T077","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2012"
"160","FR12T077","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2010"
"161","FR12T080","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"162","FR12T080","Prunus avium","5.3","Sweet_cherry_CRS_phenotyping_2011"
"163","FR12T091","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"164","FR12T091","Prunus avium","6.4","Sweet_cherry_CRS_phenotyping_2012"
"165","FR12T093","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"166","FR12T093","Prunus avium","6.8","Sweet_cherry_CRS_phenotyping_2012"
"167","FR12T094","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2012"
"168","FR13T058","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"169","FR13T058","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"170","FR13T061","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"171","FR13T061","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"172","FR14T056","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2011"
"173","FR14T056","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"174","FR14T057","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"175","FR14T057","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"176","FR14T060","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"177","FR14T060","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"178","FR14T075","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"179","FR14T075","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"180","FR14T076","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"181","FR14T076","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"182","FR14T078","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"183","FR14T078","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"184","FR14T079","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"185","FR14T079","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"186","FR14T081","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"187","FR14T081","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"188","FR14T082","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2011"
"189","FR14T082","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"190","FR14T084","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"191","FR14T084","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"192","FR14T086","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2011"
"193","FR14T086","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"194","FR16T001","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"195","FR16T024","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"196","FR16T024","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"197","FR16T040","Prunus avium","4.3","Sweet_cherry_CRS_phenotyping_2012"
"198","FR17T051","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"199","FR17T062","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"200","FR18T017","Prunus avium","5.3","Sweet_cherry_CRS_phenotyping_2011"
"201","FR18T017","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"202","FR18T018","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"203","FR18T018","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2011"
"204","FR18T019","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"205","FR18T019","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"206","FR18T020","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"207","FR18T041","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"208","FR18T042","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"209","FR18T043","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"210","FR18T043","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2012"
"211","FR18T044","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"212","FR18T044","Prunus avium","6.8","Sweet_cherry_CRS_phenotyping_2012"
"213","FR18T045","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"214","FR18T048","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"215","FR18T048","Prunus avium","5.3","Sweet_cherry_CRS_phenotyping_2011"
"216","FR18T052","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"217","FR1T029","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"218","FR1T029","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"219","FR1T029","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"220","FR1T030","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"221","FR1T030","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"222","FR1T030","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2012"
"223","FR1T031","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"224","FR1T031","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"225","FR1T031","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2010"
"226","FR1T032","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"227","FR1T032","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"228","FR1T032","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"229","FR1T033","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2010"
"230","FR1T033","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"231","FR1T033","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2012"
"232","FR1T037","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"233","FR1T037","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"234","FR1T037","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"235","FR1T038","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"236","FR1T038","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"237","FR1T038","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"238","FR1T041","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"239","FR1T041","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"240","FR1T041","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2010"
"241","FR1T042","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"242","FR1T042","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"243","FR1T042","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2010"
"244","FR1T056","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"245","FR1T056","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"246","FR1T056","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2010"
"247","FR1T065","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2012"
"248","FR1T065","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"249","FR1T065","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"250","FR1T073","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"251","FR1T073","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"252","FR1T073","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2010"
"253","FR21T063","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"254","FR22T004","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"255","FR22T004","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"256","FR22T006","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"257","FR22T007","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2012"
"258","FR23T067","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"259","FR23T068","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2012"
"260","FR23T072","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"261","FR23T090","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"262","FR23T090","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2011"
"263","FR23T091","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"264","FR23T095","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"265","FR23T116","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"266","FR23T119","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"267","FR23T120","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"268","FR23T120","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2011"
"269","FR23T127","Prunus avium","4.7","Sweet_cherry_CRS_phenotyping_2012"
"270","FR23T129","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"271","FR23T129","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"272","FR23T130","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2011"
"273","FR23T130","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2012"
"274","FR23T131","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"275","FR23T131","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2011"
"276","FR24T072","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"277","FR24T077","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2011"
"278","FR25T081","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"279","FR25T081","Prunus avium","4.7","Sweet_cherry_CRS_phenotyping_2012"
"280","FR25T084","Prunus avium","4.3","Sweet_cherry_CRS_phenotyping_2012"
"281","FR25T086","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"282","FR25T090","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"283","FR25T090","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"284","FR26T030","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"285","FR26T031","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"286","FR26T033","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"287","FR26T033","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"288","FR26T034","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"289","FR26T034","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"290","FR26T037","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"291","FR26T037","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"292","FR26T038","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"293","FR26T038","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"294","FR26T040","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"295","FR27T006","Prunus avium","6.5","Sweet_cherry_CRS_phenotyping_2012"
"296","FR27T007","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"297","FR27T010","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"298","FR27T050","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"299","FR27T050","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2012"
"300","FR27T051","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"301","FR27T054","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"302","FR27T054","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2011"
"303","FR27T094","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"304","FR27T094","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"305","FR27T096","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"306","FR27T096","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2011"
"307","FR27T097","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"308","FR27T097","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2011"
"309","FR28T099","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2012"
"310","FR29T073","Prunus avium","5.5","Sweet_cherry_CRS_phenotyping_2011"
"311","FR29T073","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"312","FR29T117","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"313","FR29T119","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"314","FR29T124","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"315","FR29T124","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"316","FR2T035","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"317","FR2T035","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"318","FR2T035","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2011"
"319","FR2T040","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"320","FR2T040","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"321","FR2T040","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2010"
"322","FR2T045","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"323","FR2T045","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"324","FR2T045","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2010"
"325","FR2T048","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"326","FR2T048","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2012"
"327","FR2T049","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"328","FR2T049","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2012"
"329","FR2T049","Prunus avium","6.2","Sweet_cherry_CRS_phenotyping_2010"
"330","FR2T050","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2011"
"331","FR2T050","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2012"
"332","FR2T050","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2010"
"333","FR2T054","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2010"
"334","FR2T054","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2011"
