Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
116480;Delsbo;61.7854;16.5505;88;Nej
116490;Delsbo A;61.8264;16.5385;70.667;Ja
156770;Dikanäs;65.2337;16.0018;484;Nej
156790;Dikanäs Skansnäs;65.3235;16.0353;525;Nej
81320;Dingle;58.5289;11.5724;20;Nej
91370;Djurskog;59.6072;11.9321;280;Nej
105640;Domnarvet;60.5;15.45;128;Nej
75120;Drageryd;57.2001;15.9666;77;Nej
123060;Dravagen A;62.0936;13.6086;566.642;Ja
96120;Dunker;59.1469;16.8536;35;Nej
132240;Duved;63.4;12.9333;385;Nej
116240;Dönje;61.395;16.4145;85;Nej
103050;Edebäck;60.0666;13.55;155;Nej
132590;Edevik;63.9801;12.8687;412;Nej
115230;Edsbyn;61.3784;15.8352;161;Nej
115220;Edsbyn A;61.3607;15.7144;183.648;Ja
107440;Eggegrund A;60.7298;17.5584;3.731;Ja
53710;Ekebo;55.95;13.1333;80;Nej
64330;Ekefors;56.5546;14.7571;145;Nej
66470;Ekerum;56.7849;16.5812;40;Nej
96140;Eklången;59.2358;16.7429;35;Nej
98630;Ekskogen;59.633;18.2298;4;Nej
97370;Enköping;59.65;17.12;24.6;Ja
82380;Erikstad;58.6336;12.4129;65;Nej
96230;Eskilstuna;59.3853;16.4594;8.928;Nej
96190;Eskilstuna A;59.3821;16.4526;12.577;Ja
181970;Esrange;67.8907;21.0832;320.617;Ja
63470;Exens flygplats;56.6778;13.7792;127;Nej
98640;Experimentalfältet;59.3664;18.0633;14;Nej
72120;Fagered;57.1978;12.8129;100;Nej
107330;Fagerviken;60.542;17.7478;5;Nej
86090;Falerum;58.1425;16.2102;80;Nej
62520;Falkenberg;56.8994;12.4798;5;Nej
83090;Falköping;58.1584;13.5397;205;Nej
52230;Falsterbo;55.3837;12.8167;1.541;Nej
52240;Falsterbo A;55.3837;12.8166;1.575;Ja
105370;Falun-Lugnet;60.6185;15.6574;161.395;Ja
98620;Farsta;59.3165;18.3664;6;Nej
162800;Farstugrunden Aut;65.33;22.75;1;Nej
95320;Fellingsbro-Finnåker;59.5345;15.5857;51;Nej
63650;Feringe;56.95;13.9304;160;Nej
94430;Filipstad;59.7166;14.1666;141;Nej
107140;Film A;60.2358;17.9043;33.381;Ja
107130;Films Kyrkby;60.2357;17.9072;39;Nej
125020;Finneby;62.0424;15.4655;259;Nej
85410;Finspång;58.7104;15.8215;41;Nej
122360;Fjällnäs;62.5772;12.2223;780;Nej
136491;Fjällsjö;63.7972;16.4056;215;Nej
74420;Flahult;57.6898;14.1455;224;Nej
104390;Flaten;60.651;14.4277;296;Nej
96040;Floda A;59.0558;16.3944;31.337;Ja
112510;Flötningen;61.8526;12.2689;670;Nej
106100;Folkärna;60.169;16.3125;68;Nej
137080;Forse;63.1461;17.0223;125.604;Ja
93580;Forshult;59.9445;13.5335;110;Nej
148050;Fredrika;64.0763;18.419;300;Nej
148040;Fredrika A;64.0744;18.3619;327.684;Ja
104090;Fredriksberg;60.1417;14.3909;304.749;Nej
126630;Fränsta;62.5;16.1833;110;Nej
126300;Fränsta 2;62.5165;16.2084;110;Nej
63530;Fröslida;56.8666;13.0666;70;Nej
134130;Frösön D;63.1947;14.4898;375;Nej
151550;Furuögrund;64.9112;21.2263;10;Nej
73390;Fägerhult;57.6468;13.2369;170;Nej
84390;Fägre;58.6493;14.1265;95;Nej
160750;Fällfors;65.1089;20.7652;195;Nej
160740;Fällfors;65.1317;20.7891;195;Nej
79580;Fårö;57.8987;19.1592;8;Nej
78550;Fårösund Ar A;57.9165;18.9533;12.756;Ja
134410;Föllinge A;63.6761;14.6048;361.8;Ja
134460;Föllinge-Vägskälet;63.7606;14.4323;475;Nej
94410;Gammalkroppa;59.6833;14.3166;200;Nej
82030;Garn;58.0492;12.1563;15;Nej
82110;Gendalen;58.1582;12.6448;87.63;Nej
63340;Genevad;56.5684;13.0338;20;Nej
155790;Gielas A;65.3269;15.0645;578.328;Ja
73170;Gislaved;57.2847;13.5324;165;Nej
135640;Gisselås;63.7;15.3666;320;Nej
76420;Gladhammar A;57.7068;16.4526;35.277;Ja
62550;Glommen;56.9303;12.3579;6;Nej
159770;Glommersträsk;65.2764;19.6839;394.387;Ja
85450;Godegård;58.7936;15.1694;130;Nej
89240;Gotska Sandön;58.3928;19.197;12;Nej
89230;Gotska Sandön A;58.3939;19.194;15.911;Ja
127600;Gran;62.0166;17.6333;20;Nej
103290;Granåbron;60.4403;13.8944;310;Nej
72070;Grimeton;57.1088;12.394;35;Nej
112170;Grundforsen;61.2797;12.8568;412;Nej
108300;Grundkallen;60.5;18.8666;23;Nej
105030;Grängesberg (fördelningsstation);60.0825;15.02;300;Nej
84610;Gränna;58.0333;14.4666;130;Nej
82200;Grästorp;58.3354;12.6767;55;Nej
105360;Gråda Kraftverk;60.6046;15.0146;155;Nej
95380;Grönbo;59.6396;15.418;85;Nej
99150;Grönskär;59.2792;19.0306;9;Nej
122610;Grövelsjön;62.0991;12.3153;815;Nej
145130;Gubbhögen A;64.2172;15.5529;310.221;Ja
84690;Gudhammar;58.9056;14.225;75;Nej
147570;Gunnarn;65.0074;17.7085;280;Nej
147560;Gunnarn A;65.0094;17.6993;275.491;Ja
76430;Gunnebo;57.7166;16.5333;18;Nej
87360;Gustaf Dalen A;58.5929;17.4704;25;Nej
98180;Gustavsberg;59.3226;18.3725;10;Nej
103090;Gustavsfors;60.1508;13.8062;189.492;Nej
103100;Gustavsfors A;60.1533;13.799;187.153;Ja
125490;Gustavsnäs D;62.8108;15.9333;300;Nej
172740;Gyljen;66.3792;22.7139;50;Nej
106170;Gysinge;60.2836;16.8857;63;Nej
94600;Gyttorp;59.4996;14.9637;115;Nej
144300;Gäddede;64.5037;14.1596;328;Nej
144310;Gäddede A;64.5044;14.2207;553.025;Ja
180760;Gällivare A;67.1407;20.6413;358.975;Ja
180740;Gällivare Flygplats;67.1358;20.8144;312;Nej
125501;Gällö;62.9167;15.2389;295;Nej
54650;Gärsnäs;55.55;14.1833;45;Nej
106670;Gästrike-Hammarby 1;60.5501;16.5833;70;Nej
106680;Gästrike-Hammarby 2;60.5502;16.5833;70;Nej
106690;Gästrike-Hammarby 3;60.5503;16.5833;70;Nej
106630;Gästrike-Hammarby 4;60.55;16.5833;70;Nej
107400;Gävle;60.6537;17.1693;16;Nej
107420;Gävle A;60.7161;17.1607;16.125;Ja
84520;Gårdsjö A;58.8768;14.3875;210.675;Ja
74350;Gödeberg;57.5666;14.6333;350;Nej
72630;Göteborg;57.6996;11.9673;30;Nej
71420;Göteborg A;57.7156;11.9924;3.038;Ja
72420;Göteborg-Landvetter Flygplats;57.6764;12.2919;154;Ja
74180;Hagshult;57.292;14.137;169.6;Ja
62260;Hallands Väderö A;56.4496;12.5453;9.172;Ja
135460;Hallhåxåsen A;63.7685;15.3279;375.391;Ja
135440;Hallviken;63.73;15.5;337;Nej
62400;Halmstad;56.6737;12.9242;24;Nej
62390;Halmstad;56.675;12.9247;25;Nej
62410;Halmstad flygplats;56.6833;12.8167;31;Ja
62420;Halmstad flygplats;56.6667;12.85;4;Nej
54310;Hammenhög;55.5049;14.1589;50;Nej
114410;Hamra A;61.6599;14.9918;453.588;Ja
62530;Hanarp V;56.8865;12.6739;50;Nej
64020;Hanö A;56.0135;14.8463;58.622;Ja
163950;Haparanda;65.8367;24.113;5;Nej
163960;Haparanda A;65.8237;24.1112;13.243;Ja
170670;Harads;66.0833;20.9666;35;Nej
161780;Haraholmen;65.2391;21.6317;4;Nej
108600;Harg;60.1829;18.3964;15;Nej
180710;Harrträsk;67.0333;20.7;410;Nej
87150;Harstena;58.2502;17.0095;5;Nej
87140;Harstena A;58.2506;17.0074;5;Ja
62080;Hasslarp;56.1333;12.8166;10;Nej
123250;Hede;62.4107;13.5184;430;Nej
74410;Hedenstorp;57.7653;14.1111;210;Nej
123340;Hedeviken;62.4104;13.6724;420;Ja
161650;Hednoret;65.8333;21.55;27;Nej
62030;Helsingborg;56.0431;12.6906;5;Nej
62040;Helsingborg A;56.0304;12.7628;43.07;Ja
155940;Hemavan;65.821;15.086;482.03;Nej
155970;Hemavan Flygplats;65.8077;15.0854;458;Ja
155960;Hemavan-Gierevarto A;65.7813;15.0623;793.504;Ja
138400;Hemling;63.6574;18.5318;190;Nej
138390;Hemling A;63.6503;18.5466;182.186;Ja
78140;Hemse;57.2437;18.3788;22.072;Nej
85210;Herrberga;58.3935;15.2184;90;Nej
78250;Herrvik;57.4208;18.9174;5;Nej
73230;Hestra D;57.4657;13.6271;225;Nej
52560;Hilleshög;55.925;12.8472;60;Nej
68550;Hoburg;56.9222;18.1471;38;Nej
68560;Hoburg A;56.9209;18.1506;34.118;Ja
86200;Holma;58.3339;16.8157;5;Nej
140360;Holmögadd A;63.5949;20.7565;6;Nej
140460;Holmön A;63.807;20.8645;6.535;Ja
75520;Horn A;57.8861;15.8623;89.822;Ja
146070;Hoting;64.1236;16.2149;240;Nej
146050;Hoting A;64.0875;16.2356;241.55;Ja
117440;Hudiksvall;61.7152;17.0829;12;Ja
75410;Hultsfred;57.4931;15.8528;109;Nej
125450;Hunge;62.754;15.0921;342;Nej
125440;Hunge A;62.7504;15.0845;343.238;Ja
98290;Husarö;59.5052;18.8417;10;Nej
74480;Huskvarna;57.7867;14.2837;94.291;Nej
88590;Huvudskär;58.9639;18.5708;5;Nej
89560;Huvudskär Ost A;58.9334;19.1833;4;Nej
149700;Hällnäs;64.3088;19.6293;245;Nej
149710;Hällnäs Skogsskola;64.3333;19.5;175;Nej
149160;Hällnäs-Lund;64.2684;19.6314;181;Nej
83190;Hällum A;58.3218;13.0379;70.071;Ja
128370;Härnö;62.6183;18.0618;10;Nej
127380;Härnösand;62.6364;17.9214;17.655;Ja
85180;Härsnäs;58.2884;15.2336;126.803;Ja
97610;Hässelby;59.3727;17.8197;25;Nej
75380;Hässleby;57.6295;15.5725;190;Nej
63080;Hässleholm;56.1367;13.7445;50;Nej
63160;Hästveda;56.28;13.9431;102.5;Ja
81630;Hållö;58.3333;11.2166;16;Nej
91520;Hångstad;59.8633;11.9746;130;Nej
62160;Höganäs;56.1917;12.6014;5;Nej
128560;Högbonden;62.8662;18.478;75;Nej
145340;Högland;64.5666;15.9166;401;Nej
133050;Höglekardalen;63.0785;13.7488;594.865;Nej
95020;Högsjö;59.0297;15.6858;69;Nej
83610;Högstena;58.2333;13.7166;211;Nej
91660;Högsäter;59.88;11.97;135;Nej
162970;Högsön;65.8849;22.3961;8;Nej
53630;Hököpinge;55.5;13.0166;17;Nej
117370;Hölick;61.6239;17.4401;5;Nej
102540;Höljes;60.9053;12.5876;236.488;Nej
53530;Hörby A;55.8624;13.6673;112.812;Ja
105230;Idkerberget;60.3758;15.231;260;Nej
112540;Idre Fjäll A;61.8886;12.8521;869.407;Nej
147270;Idvattnet;64.4542;17.0794;352;Nej
115460;Johannesberg;61.8578;15.2128;510;Nej
169880;Jokkmokk;66.6135;19.8316;240;Nej
170860;Jokkmokk Flygplats;66.491;20.142;275.4;Ja
62560;Jonstorp;56.931;12.5514;25;Nej
53250;Jordberga;55.4114;13.4001;40;Nej
143440;Jormlien;64.7291;13.9819;383.088;Nej
136420;Junsele;63.6845;16.9508;215;Nej
136410;Junsele A;63.6839;16.95;218.766;Ja
166810;Jäckvik;66.3874;16.9714;433.56;Ja
126480;Järkvissle;62.8166;16.6833;90;Nej
139260;Järnäsklubb A;63.4351;19.6731;5.928;Ja
133240;Järpströmmen;63.3903;13.3845;386.652;Nej
116430;Järvsö;61.7112;16.1654;148.945;Nej
74470;Jönköping;57.7666;14.1833;98;Nej
74460;Jönköping-Axamos Flygplats;57.7514;14.0733;226;Ja
74450;Jönköpings gamla flygplats;57.75;14.17;98;Nej
163940;Kalix;65.85;23.2;6;Nej
66430;Kalmar;56.727;16.2944;15;Nej
66420;Kalmar flygplats;56.6784;16.2922;6;Ja
168910;Karats;66.6932;18.8146;414;Nej
192830;Karesuando;68.4421;22.4502;330;Nej
192840;Karesuando A;68.4418;22.4435;329.68;Ja
84310;Karlsborg;58.514;14.507;94.5;Ja
76090;Karlshammar;57.15;16.45;8;Nej
64130;Karlshamn;56.182;14.8494;5;Ja
65090;Karlskrona-Söderstjerna;56.15;15.589;2.4;Ja
93250;Karlstad;59.384;13.4455;80;Nej
93230;Karlstad Aut;59.361;13.4728;46;Nej
93220;Karlstad Flygplats;59.4446;13.3374;107;Ja
64040;Karpalund;56.05;14.1;4;Nej
139200;Kasa D;63.3266;19.0532;30;Nej
188820;Katterjåkk;68.4207;18.167;513.911;Nej
188850;Katterjåkk A;68.4202;18.168;514.248;Ja
189780;Kattuvuoma;68.2833;19.9;355;Nej
106160;Kerstinbo A;60.2683;16.9738;55.695;Ja
85460;Kettstaka A;58.7162;15.0271;224.876;Ja
94190;Kilsbergen-Suttarboda A;59.2996;14.8956;218.353;Ja
75650;Kimramåla;57;15.847;146;Nej
73610;Kinnared;57.0333;13.1166;100;Nej
180960;Kiruna;67.85;20.2333;505;Nej
180940;Kiruna Flygplats;67.827;20.3387;459;Ja
155770;Kittelfjäll;65.25;15.5;560;Nej
83670;Klagstorp;58.3331;13.8804;130;Nej
154720;Klimpfjäll;65.062;14.7908;594;Nej
95530;Kloten;59.8707;15.2544;285;Nej
95540;Kloten A;59.8703;15.2522;283.21;Ja
150640;Klutmark;64.75;20.6333;80;Nej
124320;Klövsjö;62.5335;14.2028;549;Nej
124300;Klövsjöhöjden A;62.4952;14.1542;802.503;Ja
63320;Knäred;56.5216;13.3369;60;Nej
103570;Knås;60.9676;13.8985;280;Nej
82100;Koberg;58.1666;12.4166;78;Nej
63610;Kolleberga;56.0666;13.2666;50;Nej
86420;Kolmården-Strömsfors A;58.6892;16.3069;153.613;Ja
86650;Kolmårdssanatoriet;58.6664;16.3301;90;Nej
182720;Kompelusvaara;67.0919;22.2178;263;Nej
173960;Korpilombolo M;66.8542;23.0571;178;Nej
145280;Korsselbränna;64.4571;15.5423;178;Nej
133500;Korsvattnet A;63.8385;13.5009;716.605;Ja
65510;Kosta;56.841;15.471;230;Ja
137040;Kramfors-Gistgårdsön;63.0502;17.7658;5;Nej
106340;Kratte masugn;60.4528;16.3861;160;Nej
64030;Kristianstad;56.0221;14.17;-1.069;Ja
54550;Kristianstad Everöd;55.9245;14.0842;17;Nej
81150;Kristineberg;58.25;11.45;5;Nej
94180;Kristinehamn;59.3102;14.0994;46.71;Ja
148300;Kroksjö;64.5073;17.9934;500;Nej
82360;Kroppefjäll-Granan A;58.6065;12.1973;173.75;Ja
114330;Kräckelbäcken;61.55;14.2;670;Nej
136090;Krångede A;63.1512;16.1699;183.123;Ja
117430;Kuggören A;61.7027;17.5216;8.568;Ja
149610;Kulbäcksliden;64.2;19.5666;200;Nej
62190;Kullen;56.3012;12.454;72;Nej
85390;Kvarn;58.645;15.434;71.9;Nej
114270;Kvarnberg;61.4446;14.8744;434;Nej
95660;Kvarntorp;59.1164;15.2636;60;Nej
167980;Kvikkjokk-Årrenjarka;66.8876;18.0179;314;Nej
167990;Kvikkjokk-Årrenjarka A;66.8874;18.0198;314.692;Ja
83660;Kvänum;58.3165;13.1472;75;Nej
92630;Kyrkerud;59.3833;12.1166;110;Nej
72140;Källsjö;57.2322;12.7018;153.9;Ja
71510;Kärna;57.8421;11.8049;20.66;Ja
85650;Kärnskogen;58.85;15.2833;108;Nej
53480;Kävlinge;55.8;13.1;30;Nej
98400;Kårsta;59.6575;18.2718;20;Nej
104600;Kölaråsen;60.2663;14.3637;340;Nej
96310;Köping;59.5171;15.9909;10;Nej
53270;Köpinge;55.4575;13.9379;10;Nej
182930;Lainio;67.7604;22.3465;310;Nej
167730;Laisvallsby;66.1347;17.1748;460;Nej
171790;Lakaträsk A;66.2789;21.1285;185.031;Ja
87450;Landsort;58.7404;17.8655;12.653;Ja
87440;Landsort A;58.7429;17.8684;17.484;Ja
83210;Lanna;58.3472;13.127;74.87;Nej
74640;Lannaskede;57.3832;14.8638;210;Nej
192710;Lannavaara;68.0502;21.9814;630;Nej
171770;Lappträsket;66.2283;21.7881;60;Nej
171710;Lassbyn;66.0689;21.8228;30;Nej
180770;Latnivaara A;67.2551;20.2704;453.191;Ja
146380;Laxbäcken;64.6389;16.4142;345;Nej
104120;Lejen;60.2;14.4;340;Nej
105450;Leksand;60.7248;15.0143;172.638;Ja
91620;Lennartsfors;59.3;11.9333;125;Nej
65450;Lessebo;56.7486;15.2747;170;Nej
63670;Lidhult;56.8333;13.4473;170;Nej
83320;Lidköping;58.4666;13.1166;50;Nej
103600;Likenäs;60.6496;13.014;160;Nej
114510;Lillhärdal;61.8547;14.0921;440;Nej
161810;Lillpite;65.375;21.1653;15;Nej
95350;Lindesberg;59.5737;15.2365;70;Nej
85250;Linköping;58.4166;15.6333;64;Nej
85240;Linköping-Malmslätt;58.398;15.523;94;Ja
134180;Lit;63.3081;14.8517;270;Nej
126310;Ljungaverk;62.4861;16.0694;85;Nej
63500;Ljungby;56.8203;13.9469;145;Nej
63510;Ljungby A;56.8525;13.8794;148.485;Ja
63050;Ljungbyhed;56.0752;13.2318;43;Nej
81130;Ljungskile;58.2159;11.9321;70;Nej
126460;Ljungå;62.7594;16.3141;220;Nej
116500;Ljusdal;61.8333;16.1333;140;Nej
122330;Ljusnedal;62.5482;12.6021;585;Ja
123070;Lofsdalen;62.1132;13.2841;610;Nej
74530;Lommaryd;57.8887;14.7342;240;Nej
162870;Luleå-Bergnäset;65.5746;22.11;12.156;Nej
162860;Luleå-Kallax Flygplats;65.543;22.124;19.9;Ja
53430;Lund;55.6932;13.2251;26.451;Ja
53440;Lund LTH;55.7142;13.2152;73;Nej
53460;Lund geografiska institutionen;55.71;13.2;73;Nej
128390;Lungö A;62.6417;18.0899;14.325;Ja
83460;Lurö;58.7904;13.2534;55;Nej
148330;Lycksele A;64.5481;18.713;210.07;Ja
97240;Lyckås;59.4;17.6666;15;Nej
83130;Längjum;58.2212;13.0607;95;Nej
137110;Lännäs;63.1663;17.6543;30;Nej
188700;Låktatjåkko;68.375;18.458;1220;Nej
156730;Långvattnet;65.1049;16.6919;420;Nej
127140;Lörudden;62.2314;17.6623;2;Nej
151220;Lövånger;64.3636;21.3152;21;Nej
53220;Maglarp Aut;55.384;13.0595;17;Nej
85040;Malexander;58.0729;15.2352;195;Nej
85050;Malexander A;58.0716;15.233;197.27;Ja
180750;Malmberget;67.1668;20.6349;400.731;Nej
53360;Malmö;55.5782;13.0141;13;Nej
53370;Malmö 2;55.6048;12.9841;3;Nej
52350;Malmö A;55.5715;13.0708;19.757;Ja
53300;Malmö-Sturup Flygplats;55.5231;13.3787;72;Ja
103410;Malung;60.6717;13.7058;310;Nej
103420;Malung A;60.6765;13.7072;302.583;Ja
158750;Malå;65.1812;18.7421;308.635;Ja
158740;Malå-Brännan A;65.1512;18.5935;363.111;Ja
85520;Mariedamm;58.8504;15.1611;136;Nej
97170;Mariefred;59.2661;17.2342;10;Nej
65130;Marielund;56.2182;15.5331;25;Nej
83440;Mariestad;58.7132;13.821;48.245;Ja
63280;Markaryd;56.4577;13.6159;113.846;Nej
172920;Markusvinsa;66.7259;22.894;163.362;Nej
155720;Marsliden;65.0251;15.3668;550;Nej
86330;Marviken;58.5491;16.8157;10;Nej
96070;Mellösa;59.1014;16.5333;35;Nej
166910;Mierkenis A;66.6802;16.1053;613.982;Ja
166900;Mierkenis Aut;66.6798;16.1137;600;Nej
133630;Mo;63.3166;13.4833;330;Nej
104300;Mockfjärd;60.5074;14.9585;192;Nej
93360;Molkom;59.6166;13.75;93;Nej
73570;Molla;57.936;13.0668;190;Nej
104580;Mora A;60.9601;14.5041;195.417;Ja
77170;Mossen;57.2833;17.0042;10;Nej
85330;Motala Kraftverk;58.5471;15.0753;94;Nej
73560;Mullsjö;57.9166;13.8833;240;Nej
62130;Munka-Ljungby;56.2287;12.9834;20;Nej
144160;Munsvattnet;64.2734;14.451;520;Nej
183980;Muodoslompolo;67.9443;23.4441;240;Nej
170850;Murjek;66.4826;20.8813;260;Nej
160790;Myrheden;65.2984;20.2124;250;Nej
93190;Mässvik;59.2222;13.1139;60;Nej
78320;Mästerby;57.4725;18.2739;36.385;Ja
75240;Målilla;57.3964;15.8315;100;Nej
75250;Målilla A;57.3845;15.8009;95.667;Ja
81060;Måseskär;58.0944;11.3348;14;Nej
81050;Måseskär A;58.0937;11.3312;14.973;Ja
66320;Mörbylånga;56.5192;16.3918;2;Nej
133190;Mörsil;63.3183;13.6458;420.343;Nej
74630;Naglarp;57.4666;14.8833;250;Nej
191900;Naimakka;68.6763;21.5203;403;Nej
191910;Naimakka A;68.6762;21.5229;402.202;Ja
172680;Naisheden;66.5333;22.3666;95;Nej
170930;Nattavaara A;66.7516;20.9238;327.631;Ja
171920;Nattavaara by;66.7586;21.0537;350;Nej
83420;Naven A;58.6994;13.1084;53.314;Ja
71190;Nidingen A;57.3036;11.9049;3.785;Ja
179950;Nikkaluokta;67.8488;19.0233;470;Nej
179960;Nikkaluokta A;67.8527;19.0212;466.765;Ja
167600;Njuonjesbäck;66.9488;17.4796;380;Nej
114630;Noppikoski;61.5;14.85;340;Nej
95300;Nora;59.5164;15.047;91;Nej
134090;Norderön;63.1611;14.3661;320.608;Ja
81540;Nordkoster A;58.892;11.0038;33.362;Ja
139340;Nordmaling;63.5739;19.4875;4;Nej
128510;Nordvik;62.8485;18.0159;20;Nej
171780;Norriån;66.25;21.8;55;Nej
86360;Norrköping;58.606;16.2127;3;Nej
86350;Norrköping-Kungsängen;58.5842;16.2383;5;Nej
86340;Norrköping-SMHI;58.5828;16.147;40.334;Ja
86370;Norrköping-Sörby;58.6082;16.1212;27;Nej
157600;Norrsele;65.5657;17.4795;348;Nej
136270;Norrtannflo;63.3903;16.9792;140;Nej
98460;Norrtälje 2;59.7506;18.7091;25;Nej
98510;Norrtälje-Väsby;59.8524;18.7296;10;Nej
145260;Norråker;64.3308;15.7162;279;Nej
97160;Norsborg 2;59.2524;17.7989;15;Nej
149540;Norsjö;64.9093;19.4746;296;Nej
149560;Norsjö A;64.9253;19.3744;309.576;Ja
97180;Nyckelby;59.3;17.7166;25;Nej
62140;Nyhamnsläge;56.2451;12.5401;12.454;Nej
86660;Nyköping;58.7665;16.98;23;Nej
86480;Nyköpings Flygplats;58.7833;16.9166;42;Nej
87570;Nynäshamn;58.919;17.9318;10;Nej
74390;Nässjö;57.6431;14.6895;305;Nej
78040;Näsudden Aut;57.0735;18.2222;5;Nej
65080;Nättraby;56.2069;15.5417;20;Nej
74240;Nävelsjö;57.4042;14.891;215;Nej
137070;Offer;63.1492;17.7617;27;Nej
76530;Ogestad;57.8748;16.1689;81;Nej
64170;Olofström;56.2773;14.5177;65;Nej
134610;Ope;63.1966;14.7774;350;Nej
