"#","Germplasm","Species","Fruit_Wd2","Dataset"
"34","Chelan","Prunus avium","26.06","Sweet_cherry_CRS_phenotyping_2012"
"35","Chelan","Prunus avium","26.91","Sweet_cherry_CRS_phenotyping_2010"
"36","Chelan","Prunus avium","28.1","Sweet_cherry_CRS_phenotyping_2011"
"37","Chinook","Prunus avium","18.73","Sweet_cherry_CRS_phenotyping_2011"
"38","Chinook","Prunus avium","26.09","Sweet_cherry_CRS_phenotyping_2012"
"39","Cowiche","Prunus avium","28.52","Sweet_cherry_CRS_phenotyping_2011"
"40","Cowiche","Prunus avium","33.27","Sweet_cherry_CRS_phenotyping_2012"
"41","Cowiche","Prunus avium","33.42","Sweet_cherry_CRS_phenotyping_2010"
"42","Gil Peck","Prunus avium","25.64","Sweet_cherry_CRS_phenotyping_2012"
"43","Glacier","Prunus avium","28.89","Sweet_cherry_CRS_phenotyping_2011"
"44","Glacier","Prunus avium","30.75","Sweet_cherry_CRS_phenotyping_2012"
"45","Glacier","Prunus avium","32.39","Sweet_cherry_CRS_phenotyping_2010"
"46","Kiona","Prunus avium","25.13","Sweet_cherry_CRS_phenotyping_2010"
"47","Kiona","Prunus avium","28.26","Sweet_cherry_CRS_phenotyping_2011"
"48","Kiona","Prunus avium","30.3","Sweet_cherry_CRS_phenotyping_2012"
"49","NY 54","Prunus avium","13.13","Sweet_cherry_CRS_phenotyping_2011"
"50","NY 54","Prunus avium","14.37","Sweet_cherry_CRS_phenotyping_2012"
"51","PMR-1","Prunus avium","26.02","Sweet_cherry_CRS_phenotyping_2011"
"52","PMR-1","Prunus avium","28.95","Sweet_cherry_CRS_phenotyping_2010"
"53","PMR-1","Prunus avium","29.02","Sweet_cherry_CRS_phenotyping_2012"
"54","Schmidt","Prunus avium","21.27","Sweet_cherry_CRS_phenotyping_2011"
"55","Schmidt","Prunus avium","25.51","Sweet_cherry_CRS_phenotyping_2012"
"56","Selah","Prunus avium","27.88","Sweet_cherry_CRS_phenotyping_2012"
"57","Selah","Prunus avium","30.66","Sweet_cherry_CRS_phenotyping_2011"
"58","Tieton","Prunus avium","26.66","Sweet_cherry_CRS_phenotyping_2011"
"59","Tieton","Prunus avium","26.83","Sweet_cherry_CRS_phenotyping_2010"
"60","Tieton","Prunus avium","28.87","Sweet_cherry_CRS_phenotyping_2012"
"61","Vic","Prunus avium","21.84","Sweet_cherry_CRS_phenotyping_2011"
"62","Vic","Prunus avium","25.99","Sweet_cherry_CRS_phenotyping_2012"
"63","Windsor","Prunus avium","21.11","Sweet_cherry_CRS_phenotyping_2011"
"64","Windsor","Prunus avium","24.37","Sweet_cherry_CRS_phenotyping_2012"
"65","Olympus","Prunus avium","28.22","Sweet_cherry_CRS_phenotyping_2010"
"66","Kordia","Prunus avium","25.32","Sweet_cherry_CRS_phenotyping_2011"
"67","Kordia","Prunus avium","29.25","Sweet_cherry_CRS_phenotyping_2012"
"68","FR1T068","Prunus avium","27.26","Sweet_cherry_CRS_phenotyping_2010"
"69","FR1T068","Prunus avium","28.28","Sweet_cherry_CRS_phenotyping_2011"
"70","FR1T068","Prunus avium","29.14","Sweet_cherry_CRS_phenotyping_2012"
"71","FR12T078","Prunus avium","25.88","Sweet_cherry_CRS_phenotyping_2011"
"72","FR12T078","Prunus avium","29.28","Sweet_cherry_CRS_phenotyping_2012"
"73","FR8T012","Prunus avium","20.74","Sweet_cherry_CRS_phenotyping_2011"
"74","FR8T012","Prunus avium","25.9","Sweet_cherry_CRS_phenotyping_2012"
"75","FR12T081","Prunus avium","29.36","Sweet_cherry_CRS_phenotyping_2012"
"76","FR12T081","Prunus avium","29.43","Sweet_cherry_CRS_phenotyping_2011"
"77","FR28T002","Prunus avium","22.2","Sweet_cherry_CRS_phenotyping_2012"
"78","FR1T036","Prunus avium","25.36","Sweet_cherry_CRS_phenotyping_2011"
"79","FR1T036","Prunus avium","28.82","Sweet_cherry_CRS_phenotyping_2010"
"80","FR1T036","Prunus avium","30.34","Sweet_cherry_CRS_phenotyping_2012"
"81","FR1T074","Prunus avium","28.08","Sweet_cherry_CRS_phenotyping_2010"
"82","FR1T074","Prunus avium","28.21","Sweet_cherry_CRS_phenotyping_2011"
"83","FR1T074","Prunus avium","31.03","Sweet_cherry_CRS_phenotyping_2012"
"84","FR2T063","Prunus avium","31.01","Sweet_cherry_CRS_phenotyping_2012"
"85","FR2T030","Prunus avium","26.17","Sweet_cherry_CRS_phenotyping_2011"
"86","FR2T030","Prunus avium","28.97","Sweet_cherry_CRS_phenotyping_2012"
"87","FR2T030","Prunus avium","29.73","Sweet_cherry_CRS_phenotyping_2010"
"88","FR14T012","Prunus avium","25.18","Sweet_cherry_CRS_phenotyping_2012"
"89","FR3T070","Prunus avium","24.59","Sweet_cherry_CRS_phenotyping_2011"
"90","FR3T070","Prunus avium","25.43","Sweet_cherry_CRS_phenotyping_2010"
"91","FR3T070","Prunus avium","27.48","Sweet_cherry_CRS_phenotyping_2012"
"92","FR1T035","Prunus avium","21.47","Sweet_cherry_CRS_phenotyping_2011"
"93","FR1T035","Prunus avium","24.47","Sweet_cherry_CRS_phenotyping_2012"
"94","FR1T035","Prunus avium","25.51","Sweet_cherry_CRS_phenotyping_2010"
"95","FR1T066","Prunus avium","22.4","Sweet_cherry_CRS_phenotyping_2011"
"96","FR1T066","Prunus avium","24.07","Sweet_cherry_CRS_phenotyping_2010"
"97","FR1T066","Prunus avium","27.29","Sweet_cherry_CRS_phenotyping_2012"
"98","FR1T069","Prunus avium","25.81","Sweet_cherry_CRS_phenotyping_2011"
"99","FR1T069","Prunus avium","26.82","Sweet_cherry_CRS_phenotyping_2010"
"100","FR1T069","Prunus avium","28.18","Sweet_cherry_CRS_phenotyping_2012"
"101","FR2T058","Prunus avium","20.46","Sweet_cherry_CRS_phenotyping_2011"
"102","FR2T058","Prunus avium","22.6","Sweet_cherry_CRS_phenotyping_2012"
"103","FR2T058","Prunus avium","24.03","Sweet_cherry_CRS_phenotyping_2010"
"104","FR14T100","Prunus avium","21.99","Sweet_cherry_CRS_phenotyping_2011"
"105","FR14T100","Prunus avium","26.24","Sweet_cherry_CRS_phenotyping_2012"
"106","FR20T045","Prunus avium","31.42","Sweet_cherry_CRS_phenotyping_2012"
"107","FR21T040","Prunus avium","21.98","Sweet_cherry_CRS_phenotyping_2011"
"108","FR21T040","Prunus avium","26.57","Sweet_cherry_CRS_phenotyping_2012"
"109","FR31T016","Prunus avium","24.4","Sweet_cherry_CRS_phenotyping_2012"
"110","FR23T097","Prunus avium","17.79","Sweet_cherry_CRS_phenotyping_2012"
"111","FR27T018","Prunus avium","17.72","Sweet_cherry_CRS_phenotyping_2011"
"112","FR27T018","Prunus avium","18.67","Sweet_cherry_CRS_phenotyping_2012"
"113","FR28T001","Prunus avium","20.21","Sweet_cherry_CRS_phenotyping_2012"
"114","FR28T100","Prunus avium","13.52","Sweet_cherry_CRS_phenotyping_2011"
"115","FR28T100","Prunus avium","18.42","Sweet_cherry_CRS_phenotyping_2012"
"116","FR28T101","Prunus avium","16.42","Sweet_cherry_CRS_phenotyping_2011"
"117","FR28T101","Prunus avium","17.97","Sweet_cherry_CRS_phenotyping_2012"
"118","FR28T102","Prunus avium","17.9","Sweet_cherry_CRS_phenotyping_2012"
"119","FR28T104","Prunus avium","14.39","Sweet_cherry_CRS_phenotyping_2011"
"120","FR28T104","Prunus avium","18.18","Sweet_cherry_CRS_phenotyping_2012"
"121","FR28T105","Prunus avium","15.54","Sweet_cherry_CRS_phenotyping_2011"
"122","FR28T105","Prunus avium","18.79","Sweet_cherry_CRS_phenotyping_2012"
"123","FR28T106","Prunus avium","16.67","Sweet_cherry_CRS_phenotyping_2011"
"124","FR28T106","Prunus avium","17.01","Sweet_cherry_CRS_phenotyping_2012"
"125","FR28T107","Prunus avium","16.14","Sweet_cherry_CRS_phenotyping_2011"
"126","FR28T107","Prunus avium","19.71","Sweet_cherry_CRS_phenotyping_2012"
"127","FR28T108","Prunus avium","18.45","Sweet_cherry_CRS_phenotyping_2011"
"128","FR28T108","Prunus avium","22.22","Sweet_cherry_CRS_phenotyping_2012"
"129","FR29T074","Prunus avium","21.31","Sweet_cherry_CRS_phenotyping_2012"
"130","FR29T075","Prunus avium","15.6","Sweet_cherry_CRS_phenotyping_2011"
"131","FR29T075","Prunus avium","19.89","Sweet_cherry_CRS_phenotyping_2012"
"132","FR29T076","Prunus avium","19.08","Sweet_cherry_CRS_phenotyping_2011"
"133","FR29T076","Prunus avium","19.4","Sweet_cherry_CRS_phenotyping_2012"
"134","FR29T077","Prunus avium","19.97","Sweet_cherry_CRS_phenotyping_2011"
"135","FR29T077","Prunus avium","22.88","Sweet_cherry_CRS_phenotyping_2012"
"136","FR10T098","Prunus avium","17.54","Sweet_cherry_CRS_phenotyping_2012"
"137","FR10T099","Prunus avium","20.9","Sweet_cherry_CRS_phenotyping_2011"
"138","FR10T099","Prunus avium","22.54","Sweet_cherry_CRS_phenotyping_2012"
"139","FR10T101","Prunus avium","23.48","Sweet_cherry_CRS_phenotyping_2011"
"140","FR10T101","Prunus avium","28.47","Sweet_cherry_CRS_phenotyping_2012"
"141","FR11T015","Prunus avium","24.6","Sweet_cherry_CRS_phenotyping_2010"
"142","FR11T015","Prunus avium","25.77","Sweet_cherry_CRS_phenotyping_2011"
"143","FR11T015","Prunus avium","27.82","Sweet_cherry_CRS_phenotyping_2012"
"144","FR11T016","Prunus avium","26.16","Sweet_cherry_CRS_phenotyping_2011"
"145","FR11T016","Prunus avium","28.3","Sweet_cherry_CRS_phenotyping_2012"
"146","FR11T017","Prunus avium","26.29","Sweet_cherry_CRS_phenotyping_2011"
"147","FR11T017","Prunus avium","29.2","Sweet_cherry_CRS_phenotyping_2010"
"148","FR11T017","Prunus avium","29.96","Sweet_cherry_CRS_phenotyping_2012"
"149","FR11T018","Prunus avium","25.75","Sweet_cherry_CRS_phenotyping_2010"
"150","FR11T018","Prunus avium","27.77","Sweet_cherry_CRS_phenotyping_2012"
"151","FR11T019","Prunus avium","26.58","Sweet_cherry_CRS_phenotyping_2011"
"152","FR11T019","Prunus avium","27.45","Sweet_cherry_CRS_phenotyping_2012"
"153","FR11T025","Prunus avium","23.83","Sweet_cherry_CRS_phenotyping_2010"
"154","FR11T025","Prunus avium","26.37","Sweet_cherry_CRS_phenotyping_2011"
"155","FR11T025","Prunus avium","30.48","Sweet_cherry_CRS_phenotyping_2012"
"156","FR11T026","Prunus avium","27.69","Sweet_cherry_CRS_phenotyping_2012"
"157","FR11T027","Prunus avium","21.32","Sweet_cherry_CRS_phenotyping_2010"
"158","FR11T027","Prunus avium","22.32","Sweet_cherry_CRS_phenotyping_2011"
"159","FR11T027","Prunus avium","25.42","Sweet_cherry_CRS_phenotyping_2012"
"160","FR11T028","Prunus avium","27.17","Sweet_cherry_CRS_phenotyping_2010"
"161","FR11T028","Prunus avium","27.55","Sweet_cherry_CRS_phenotyping_2011"
"162","FR11T028","Prunus avium","27.87","Sweet_cherry_CRS_phenotyping_2012"
"163","FR11T029","Prunus avium","24.22","Sweet_cherry_CRS_phenotyping_2011"
"164","FR11T029","Prunus avium","24.98","Sweet_cherry_CRS_phenotyping_2010"
"165","FR11T029","Prunus avium","26.02","Sweet_cherry_CRS_phenotyping_2012"
"166","FR11T030","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2010"
"167","FR11T030","Prunus avium","26.05","Sweet_cherry_CRS_phenotyping_2012"
"168","FR11T031","Prunus avium","26.71","Sweet_cherry_CRS_phenotyping_2011"
"169","FR11T031","Prunus avium","28.39","Sweet_cherry_CRS_phenotyping_2012"
"170","FR11T031","Prunus avium","29.2","Sweet_cherry_CRS_phenotyping_2010"
"171","FR11T032","Prunus avium","26.34","Sweet_cherry_CRS_phenotyping_2011"
"172","FR11T032","Prunus avium","29.5","Sweet_cherry_CRS_phenotyping_2010"
"173","FR11T032","Prunus avium","31.58","Sweet_cherry_CRS_phenotyping_2012"
"174","FR12T001","Prunus avium","22.43","Sweet_cherry_CRS_phenotyping_2011"
"175","FR12T001","Prunus avium","29.7","Sweet_cherry_CRS_phenotyping_2012"
"176","FR12T003","Prunus avium","20.99","Sweet_cherry_CRS_phenotyping_2012"
"177","FR12T004","Prunus avium","24.17","Sweet_cherry_CRS_phenotyping_2011"
"178","FR12T004","Prunus avium","27.68","Sweet_cherry_CRS_phenotyping_2012"
"179","FR12T006","Prunus avium","24.7","Sweet_cherry_CRS_phenotyping_2012"
"180","FR12T006","Prunus avium","25.38","Sweet_cherry_CRS_phenotyping_2011"
"181","FR12T009","Prunus avium","27.62","Sweet_cherry_CRS_phenotyping_2011"
"182","FR12T009","Prunus avium","29.05","Sweet_cherry_CRS_phenotyping_2012"
"183","FR12T011","Prunus avium","22.95","Sweet_cherry_CRS_phenotyping_2010"
"184","FR12T011","Prunus avium","27.45","Sweet_cherry_CRS_phenotyping_2012"
"185","FR12T012","Prunus avium","23.39","Sweet_cherry_CRS_phenotyping_2011"
"186","FR12T012","Prunus avium","23.54","Sweet_cherry_CRS_phenotyping_2012"
"187","FR12T056","Prunus avium","26.38","Sweet_cherry_CRS_phenotyping_2011"
"188","FR12T056","Prunus avium","27.08","Sweet_cherry_CRS_phenotyping_2012"
"189","FR12T057","Prunus avium","28.41","Sweet_cherry_CRS_phenotyping_2012"
"190","FR12T058","Prunus avium","24.45","Sweet_cherry_CRS_phenotyping_2011"
"191","FR12T058","Prunus avium","27.48","Sweet_cherry_CRS_phenotyping_2012"
"192","FR12T063","Prunus avium","26.41","Sweet_cherry_CRS_phenotyping_2011"
"193","FR12T063","Prunus avium","28.21","Sweet_cherry_CRS_phenotyping_2012"
"194","FR12T066","Prunus avium","21.87","Sweet_cherry_CRS_phenotyping_2011"
"195","FR12T066","Prunus avium","26.68","Sweet_cherry_CRS_phenotyping_2012"
"196","FR12T067","Prunus avium","26.79","Sweet_cherry_CRS_phenotyping_2011"
"197","FR12T067","Prunus avium","29.06","Sweet_cherry_CRS_phenotyping_2012"
"198","FR12T068","Prunus avium","21.63","Sweet_cherry_CRS_phenotyping_2011"
"199","FR12T068","Prunus avium","25.64","Sweet_cherry_CRS_phenotyping_2012"
"200","FR12T069","Prunus avium","27.07","Sweet_cherry_CRS_phenotyping_2012"
"201","FR12T071","Prunus avium","25.8","Sweet_cherry_CRS_phenotyping_2011"
"202","FR12T071","Prunus avium","26.39","Sweet_cherry_CRS_phenotyping_2012"
"203","FR12T072","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"204","FR12T072","Prunus avium","21.64","Sweet_cherry_CRS_phenotyping_2012"
"205","FR12T073","Prunus avium","24.49","Sweet_cherry_CRS_phenotyping_2011"
"206","FR12T073","Prunus avium","24.82","Sweet_cherry_CRS_phenotyping_2012"
"207","FR12T074","Prunus avium","24.82","Sweet_cherry_CRS_phenotyping_2012"
"208","FR12T076","Prunus avium","24.63","Sweet_cherry_CRS_phenotyping_2011"
"209","FR12T076","Prunus avium","27.25","Sweet_cherry_CRS_phenotyping_2012"
"210","FR12T077","Prunus avium","27.57","Sweet_cherry_CRS_phenotyping_2011"
"211","FR12T077","Prunus avium","27.9","Sweet_cherry_CRS_phenotyping_2010"
"212","FR12T077","Prunus avium","29.35","Sweet_cherry_CRS_phenotyping_2012"
"213","FR12T080","Prunus avium","23.98","Sweet_cherry_CRS_phenotyping_2011"
"214","FR12T080","Prunus avium","28.21","Sweet_cherry_CRS_phenotyping_2012"
"215","FR12T091","Prunus avium","27.55","Sweet_cherry_CRS_phenotyping_2012"
"216","FR12T091","Prunus avium","30.09","Sweet_cherry_CRS_phenotyping_2011"
"217","FR12T093","Prunus avium","27.47","Sweet_cherry_CRS_phenotyping_2012"
"218","FR12T093","Prunus avium","27.56","Sweet_cherry_CRS_phenotyping_2011"
"219","FR12T094","Prunus avium","28.04","Sweet_cherry_CRS_phenotyping_2012"
"220","FR13T058","Prunus avium","24.62","Sweet_cherry_CRS_phenotyping_2011"
"221","FR13T058","Prunus avium","27.26","Sweet_cherry_CRS_phenotyping_2012"
"222","FR13T061","Prunus avium","23.93","Sweet_cherry_CRS_phenotyping_2011"
"223","FR13T061","Prunus avium","28.37","Sweet_cherry_CRS_phenotyping_2012"
"224","FR14T056","Prunus avium","27.71","Sweet_cherry_CRS_phenotyping_2011"
"225","FR14T056","Prunus avium","30.35","Sweet_cherry_CRS_phenotyping_2012"
"226","FR14T057","Prunus avium","23.66","Sweet_cherry_CRS_phenotyping_2011"
"227","FR14T057","Prunus avium","25.49","Sweet_cherry_CRS_phenotyping_2012"
"228","FR14T060","Prunus avium","23.58","Sweet_cherry_CRS_phenotyping_2011"
"229","FR14T060","Prunus avium","26.52","Sweet_cherry_CRS_phenotyping_2012"
"230","FR14T075","Prunus avium","21.04","Sweet_cherry_CRS_phenotyping_2011"
"231","FR14T075","Prunus avium","24.06","Sweet_cherry_CRS_phenotyping_2012"
"232","FR14T076","Prunus avium","20.43","Sweet_cherry_CRS_phenotyping_2011"
"233","FR14T076","Prunus avium","24.56","Sweet_cherry_CRS_phenotyping_2012"
"234","FR14T078","Prunus avium","22.89","Sweet_cherry_CRS_phenotyping_2011"
"235","FR14T078","Prunus avium","27.71","Sweet_cherry_CRS_phenotyping_2012"
"236","FR14T079","Prunus avium","21.69","Sweet_cherry_CRS_phenotyping_2011"
"237","FR14T079","Prunus avium","23.8","Sweet_cherry_CRS_phenotyping_2012"
"238","FR14T080","Prunus avium","26.27","Sweet_cherry_CRS_phenotyping_2012"
"239","FR14T080","Prunus avium","26.45","Sweet_cherry_CRS_phenotyping_2011"
"240","FR14T081","Prunus avium","24.16","Sweet_cherry_CRS_phenotyping_2011"
"241","FR14T081","Prunus avium","28.33","Sweet_cherry_CRS_phenotyping_2012"
"242","FR14T082","Prunus avium","26.54","Sweet_cherry_CRS_phenotyping_2011"
"243","FR14T082","Prunus avium","28.88","Sweet_cherry_CRS_phenotyping_2012"
"244","FR14T084","Prunus avium","21.31","Sweet_cherry_CRS_phenotyping_2011"
"245","FR14T084","Prunus avium","25.95","Sweet_cherry_CRS_phenotyping_2012"
"246","FR14T086","Prunus avium","24.69","Sweet_cherry_CRS_phenotyping_2011"
"247","FR14T086","Prunus avium","26.82","Sweet_cherry_CRS_phenotyping_2012"
"248","FR16T001","Prunus avium","22.94","Sweet_cherry_CRS_phenotyping_2012"
"249","FR16T024","Prunus avium","22.89","Sweet_cherry_CRS_phenotyping_2011"
"250","FR16T024","Prunus avium","25.83","Sweet_cherry_CRS_phenotyping_2012"
"251","FR16T040","Prunus avium","18.36","Sweet_cherry_CRS_phenotyping_2012"
"252","FR16T041","Prunus avium","29.68","Sweet_cherry_CRS_phenotyping_2012"
"253","FR17T006","Prunus avium","19.81","Sweet_cherry_CRS_phenotyping_2011"
"254","FR17T006","Prunus avium","21.35","Sweet_cherry_CRS_phenotyping_2012"
"255","FR17T051","Prunus avium","19.48","Sweet_cherry_CRS_phenotyping_2011"
"256","FR17T062","Prunus avium","29.95","Sweet_cherry_CRS_phenotyping_2012"
"257","FR18T017","Prunus avium","24.93","Sweet_cherry_CRS_phenotyping_2011"
"258","FR18T017","Prunus avium","25.01","Sweet_cherry_CRS_phenotyping_2012"
"259","FR18T018","Prunus avium","23.79","Sweet_cherry_CRS_phenotyping_2011"
"260","FR18T018","Prunus avium","25.12","Sweet_cherry_CRS_phenotyping_2012"
"261","FR18T019","Prunus avium","23.2","Sweet_cherry_CRS_phenotyping_2011"
"262","FR18T019","Prunus avium","28.46","Sweet_cherry_CRS_phenotyping_2012"
"263","FR18T020","Prunus avium","32.59","Sweet_cherry_CRS_phenotyping_2012"
"264","FR18T041","Prunus avium","21.13","Sweet_cherry_CRS_phenotyping_2011"
"265","FR18T042","Prunus avium","28.22","Sweet_cherry_CRS_phenotyping_2012"
"266","FR18T043","Prunus avium","25.41","Sweet_cherry_CRS_phenotyping_2011"
"267","FR18T043","Prunus avium","29.1","Sweet_cherry_CRS_phenotyping_2012"
"268","FR18T044","Prunus avium","23.56","Sweet_cherry_CRS_phenotyping_2011"
"269","FR18T044","Prunus avium","27.76","Sweet_cherry_CRS_phenotyping_2012"
"270","FR18T045","Prunus avium","21.58","Sweet_cherry_CRS_phenotyping_2012"
"271","FR18T048","Prunus avium","22.25","Sweet_cherry_CRS_phenotyping_2011"
"272","FR18T048","Prunus avium","26.29","Sweet_cherry_CRS_phenotyping_2012"
"273","FR18T052","Prunus avium","26.31","Sweet_cherry_CRS_phenotyping_2012"
"274","FR18T071","Prunus avium","20.71","Sweet_cherry_CRS_phenotyping_2011"
"275","FR18T071","Prunus avium","22.56","Sweet_cherry_CRS_phenotyping_2012"
"276","FR1T027","Prunus avium","26","Sweet_cherry_CRS_phenotyping_2011"
"277","FR1T027","Prunus avium","27.77","Sweet_cherry_CRS_phenotyping_2012"
"278","FR1T028","Prunus avium","26.32","Sweet_cherry_CRS_phenotyping_2011"
"279","FR1T028","Prunus avium","29.48","Sweet_cherry_CRS_phenotyping_2012"
"280","FR1T029","Prunus avium","24.74","Sweet_cherry_CRS_phenotyping_2011"
"281","FR1T029","Prunus avium","25.59","Sweet_cherry_CRS_phenotyping_2010"
"282","FR1T029","Prunus avium","27.89","Sweet_cherry_CRS_phenotyping_2012"
"283","FR1T030","Prunus avium","20.25","Sweet_cherry_CRS_phenotyping_2011"
"284","FR1T030","Prunus avium","24.65","Sweet_cherry_CRS_phenotyping_2010"
"285","FR1T030","Prunus avium","24.86","Sweet_cherry_CRS_phenotyping_2012"
"286","FR1T031","Prunus avium","24.19","Sweet_cherry_CRS_phenotyping_2011"
"287","FR1T031","Prunus avium","24.95","Sweet_cherry_CRS_phenotyping_2012"
"288","FR1T031","Prunus avium","25.93","Sweet_cherry_CRS_phenotyping_2010"
"289","FR1T032","Prunus avium","26.17","Sweet_cherry_CRS_phenotyping_2011"
"290","FR1T032","Prunus avium","27.6","Sweet_cherry_CRS_phenotyping_2010"
"291","FR1T032","Prunus avium","27.64","Sweet_cherry_CRS_phenotyping_2012"
"292","FR1T033","Prunus avium","24.1","Sweet_cherry_CRS_phenotyping_2011"
"293","FR1T033","Prunus avium","25.69","Sweet_cherry_CRS_phenotyping_2010"
"294","FR1T033","Prunus avium","26.92","Sweet_cherry_CRS_phenotyping_2012"
"295","FR1T037","Prunus avium","25.76","Sweet_cherry_CRS_phenotyping_2011"
"296","FR1T037","Prunus avium","27.12","Sweet_cherry_CRS_phenotyping_2010"
"297","FR1T037","Prunus avium","29.44","Sweet_cherry_CRS_phenotyping_2012"
"298","FR1T038","Prunus avium","24.53","Sweet_cherry_CRS_phenotyping_2011"
"299","FR1T038","Prunus avium","27.04","Sweet_cherry_CRS_phenotyping_2010"
"300","FR1T038","Prunus avium","27.22","Sweet_cherry_CRS_phenotyping_2012"
"301","FR1T039","Prunus avium","26.71","Sweet_cherry_CRS_phenotyping_2010"
"302","FR1T039","Prunus avium","27.36","Sweet_cherry_CRS_phenotyping_2011"
"303","FR1T039","Prunus avium","27.97","Sweet_cherry_CRS_phenotyping_2012"
"304","FR1T040","Prunus avium","26.44","Sweet_cherry_CRS_phenotyping_2011"
"305","FR1T040","Prunus avium","28.3","Sweet_cherry_CRS_phenotyping_2010"
"306","FR1T040","Prunus avium","28.81","Sweet_cherry_CRS_phenotyping_2012"
"307","FR1T041","Prunus avium","22.47","Sweet_cherry_CRS_phenotyping_2010"
"308","FR1T041","Prunus avium","24.52","Sweet_cherry_CRS_phenotyping_2011"
"309","FR1T041","Prunus avium","25.56","Sweet_cherry_CRS_phenotyping_2012"
"310","FR1T042","Prunus avium","24.03","Sweet_cherry_CRS_phenotyping_2011"
"311","FR1T042","Prunus avium","26.05","Sweet_cherry_CRS_phenotyping_2010"
"312","FR1T042","Prunus avium","27.42","Sweet_cherry_CRS_phenotyping_2012"
"313","FR1T054","Prunus avium","23.87","Sweet_cherry_CRS_phenotyping_2011"
"314","FR1T054","Prunus avium","27.12","Sweet_cherry_CRS_phenotyping_2010"
"315","FR1T054","Prunus avium","28.28","Sweet_cherry_CRS_phenotyping_2012"
"316","FR1T056","Prunus avium","25.85","Sweet_cherry_CRS_phenotyping_2011"
"317","FR1T056","Prunus avium","28.53","Sweet_cherry_CRS_phenotyping_2010"
"318","FR1T056","Prunus avium","30.7","Sweet_cherry_CRS_phenotyping_2012"
"319","FR1T065","Prunus avium","27.56","Sweet_cherry_CRS_phenotyping_2011"
"320","FR1T065","Prunus avium","30.23","Sweet_cherry_CRS_phenotyping_2010"
"321","FR1T065","Prunus avium","30.71","Sweet_cherry_CRS_phenotyping_2012"
"322","FR1T073","Prunus avium","27.63","Sweet_cherry_CRS_phenotyping_2011"
"323","FR1T073","Prunus avium","30.21","Sweet_cherry_CRS_phenotyping_2010"
"324","FR1T073","Prunus avium","30.63","Sweet_cherry_CRS_phenotyping_2012"
"325","FR21T037","Prunus avium","26.14","Sweet_cherry_CRS_phenotyping_2012"
