"#","Germplasm","Species","Spec_Skin_Color_a","Dataset"
"82","PC 9819-005","Prunus avium","14.45","Sweet_cherry_CRS_phenotyping_2010"
"83","PC 9819-038","Prunus avium","11.94","Sweet_cherry_CRS_phenotyping_2010"
"84","PC 9814-025","Prunus avium","14.95","Sweet_cherry_CRS_phenotyping_2010"
"85","PC 9814-103","Prunus avium","23.24","Sweet_cherry_CRS_phenotyping_2010"
"86","PC 9814-105","Prunus avium","24.55","Sweet_cherry_CRS_phenotyping_2010"
"87","PC 9814-028","Prunus avium","30.26","Sweet_cherry_CRS_phenotyping_2010"
"88","PC 9814-062","Prunus avium","25.11","Sweet_cherry_CRS_phenotyping_2010"
"89","PC 9814-063","Prunus avium","11.39","Sweet_cherry_CRS_phenotyping_2010"
"90","PC 9814-071","Prunus avium","24.42","Sweet_cherry_CRS_phenotyping_2010"
"91","PC 9814-076","Prunus avium","16.53","Sweet_cherry_CRS_phenotyping_2010"
"92","PC 9819-034","Prunus avium","15.94","Sweet_cherry_CRS_phenotyping_2010"
"93","Unk15-Sdlg","Prunus avium","4.75","Sweet_cherry_CRS_phenotyping_2010"
"94","Unk17-Sdlg","Prunus avium","14.74","Sweet_cherry_CRS_phenotyping_2010"
