"","Germplasm","Species","Dataset","Bloom_Days","TA","Fruit_Dim","Flesh_C","Spec_Flesh_Color_b","Spec_Flesh_Color_a","Bulked_Fruit_SSC","Pull_Force","Pit_Lh","Spec_Skin_Color_a","Skin_C_mahogany","Spec_Skin_Color_b","Spec_Skin_Color_L","Bulked_Fruit_Firmness","FreeStone","Perc_Cracking","Fruit_Wt","SSC","Perc_Pitting","Spec_Flesh_Color_L","Pit_Wt","Fruit_Wd2","Pit_Wd1","Harvest_Time","Stem_length","Foliar_PM","Bloom_Time","Fruit_L","Bulked_Fruit_Wt","Harvest_Days","Skin_C_blush","Firmness_1","pH","Fruit_Shape","Harvest_Date","Bloom_Date"
"30","Emperor Francis","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",108,0.76,0.29,1,NA,NA,NA,686.3,10.7,NA,NA,NA,NA,284.1,3,NA,9.15,21.44,NA,NA,0.68,25.42,9.52,952.33,NA,3,178.25,23.78,NA,183,3.4,240.4,NA,NA,"7/2/2012","4/18/2012"
"31","FR10T098","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,NA,-3.29,5,NA,NA,NA,551.7,9.82,NA,7,NA,NA,130.8,4,NA,3.85,29.1,NA,NA,0.35,17.54,8.97,921.94,NA,0,202.94,14.25,NA,181,NA,130.8,NA,3,"6/30/2012","4/21/2012"
"32","FR10T099","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",116,0.9,-0.62,4,NA,NA,18.9,861.7,12.38,NA,6,NA,NA,NA,3.8,0,9.37,17.33,11.11,NA,0.5,20.9,9.39,796.25,45.47,0,187.92,23.63,5.56,181,NA,271,NA,5,"7/1/2011","4/27/2011"
"33","FR10T099","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",114,0.73,-0.15,4,NA,NA,NA,520.1,12.41,NA,6,NA,NA,210.5,5,NA,7.4,22.88,NA,NA,0.48,22.54,9.39,952.33,NA,1,246.19,24.34,NA,183,NA,226.1,NA,4.4,"7/2/2012","4/24/2012"
"34","FR10T101","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",104,0.44,-0.39,4,NA,NA,22.5,757.6,12.35,NA,5,NA,NA,255.1,3,NA,8.9,21.5,NA,NA,0.58,23.48,8.87,796.25,27.36,0,155.08,22.36,8.5,181,NA,250.7,NA,5,"7/1/2011","4/15/2011"
"35","FR10T101","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,1,1.12,4.8,NA,NA,NA,725,11.89,NA,5.6,NA,NA,243.4,4.2,NA,10.23,26.14,NA,NA,0.56,28.47,10.31,NA,NA,1,202.94,24.85,NA,NA,NA,260.4,NA,5,NA,"4/21/2012"
"36","FR11T015","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,0.9,-0.44,2.7,8.19,23.93,19.2,1281.8,9.4,18.72,5,3.12,28.41,NA,3,33.33,10.59,18.85,0,22.98,0.3,24.6,9.4,1147.69,29.63,NA,NA,21.09,6.9,193,NA,319.2,4.33,NA,"7/13/2010",NA
"37","FR11T015","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",109,0.85,-0.13,2,NA,NA,19.3,1151.3,10.72,NA,3,NA,NA,309.7,3,0,10.55,19.3,NA,NA,0.48,25.77,9.22,944.14,35.12,3,165.36,21.49,9.45,191,NA,332.1,NA,5,"7/11/2011","4/20/2011"
"38","FR11T015","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,0.74,0.31,4,NA,NA,NA,1080.9,10,NA,4.8,NA,NA,220.9,5,NA,9.4,21.08,NA,NA,0.4,27.82,9.72,1101.94,NA,4,202.94,21.7,NA,192,NA,306.9,NA,5,"7/11/2012","4/21/2012"
"39","FR11T016","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",115,NA,0.79,1,NA,NA,NA,976.9,11.73,NA,NA,NA,NA,309,2.7,NA,12.54,20.2,NA,NA,0.5,26.16,9.28,902.86,52.85,2,184.83,25.4,12.52,188,2,280.2,NA,2,"7/8/2011","4/26/2011"
"40","FR11T016","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,1.04,0.69,1,NA,NA,NA,940.2,10.51,NA,NA,NA,NA,218.4,4,NA,11.12,25,NA,NA,0.42,28.3,10.46,1101.94,NA,4,217,23,NA,192,3,267.6,NA,3,"7/11/2012","4/22/2012"
"41","FR11T017","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,NA,1.12,1,30.33,2.15,NA,907.5,10.51,13.18,NA,33.98,59.09,NA,4,0,11.4,19.7,0,48.6,0.37,29.2,9.28,1123.72,33.31,NA,NA,24.22,10.93,191,1,253.8,NA,NA,"7/11/2010",NA
"42","FR11T017","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,0.88,1.09,1,NA,NA,16.5,849.4,11.5,NA,NA,NA,NA,271.5,4.2,0,11.5,21,11.11,NA,0.42,26.29,8.81,944.14,41.41,2,NA,26.69,10.34,191,1.2,298.6,NA,5,"7/11/2011",NA
"43","FR11T017","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",NA,0.64,1.46,1,NA,NA,NA,914.7,11.57,NA,NA,NA,NA,239.8,4,NA,12.13,22.32,NA,NA,0.42,29.96,10.42,952.33,NA,3,NA,25.12,NA,183,2.8,244.5,NA,5,"7/2/2012",NA
"44","FR11T018","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,0.8,-0.51,3.2,3.9,15.22,17.3,1036,10.51,19.19,4,4.22,27.54,NA,3.6,50,8.57,19.15,0,21.17,0.41,25.75,10.07,1046.92,36.88,NA,NA,19.77,7.72,187,NA,288.6,3.82,NA,"7/7/2010",NA
"45","FR11T018","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,0.97,0.32,3,NA,NA,NA,645.5,10.02,NA,3.8,NA,NA,246,4,NA,9.41,21.52,NA,NA,0.36,27.77,9.58,1101.94,NA,4,217,21.77,NA,192,NA,258.6,NA,5,"7/11/2012","4/22/2012"
"46","FR11T019","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",107,0.91,0.07,1,NA,NA,NA,941.2,10.73,NA,NA,NA,NA,NA,3.8,0,8.47,15.8,11.11,NA,0.34,26.58,10.06,902.86,38.38,2,162.86,21.68,8.98,188,1.8,274.6,NA,5,"7/8/2011","4/18/2011"
"47","FR11T019","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",110,0.89,0.4,1,NA,NA,NA,645.5,9.92,NA,NA,NA,NA,198.7,5,NA,9.66,23.94,NA,NA,0.3,27.45,9.42,952.33,NA,3,192.19,22.44,NA,183,3.2,214.9,NA,2,"7/2/2012","4/20/2012"
"48","FR11T025","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,0.88,-0.89,1.5,4,14.1,23.9,NA,10.3,12.27,3.3,0.71,26.49,NA,3,50,8.05,19.25,25,16.36,0.45,23.83,9.39,1105.08,53.22,NA,NA,19.7,6.99,190,NA,257.7,4.6,NA,"7/10/2010",NA
"49","FR11T025","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",107,0.71,0.15,1.6,NA,NA,NA,1044.2,11.03,NA,2.8,NA,NA,397.9,4,0,8.35,15.25,NA,NA,0.5,26.37,9.87,902.86,46.29,2,162.86,22.27,8.66,188,NA,340.4,NA,3.8,"7/8/2011","4/18/2011"
"50","FR11T025","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",110,0.82,1.45,4,NA,NA,NA,613.9,10.59,NA,5,NA,NA,356.8,4,NA,11.26,21.92,NA,NA,0.36,30.48,9.98,1004.44,NA,4,192.19,24.57,NA,187,NA,356.8,NA,4,"7/6/2012","4/20/2012"
"51","FR11T026","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",113,1.07,0.62,4,NA,NA,NA,564.9,10.06,NA,6,NA,NA,238.2,4,NA,9.82,23.34,NA,NA,0.4,27.69,9.66,963.06,NA,4,233.25,23.23,NA,184,NA,240.9,NA,5,"7/3/2012","4/23/2012"
"52","FR11T027","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,0.7,-1.43,2,4.58,16.96,20.4,NA,11.52,20.07,3.6,3.45,28.34,NA,3,28.57,11,21.6,0,21.01,0.44,21.32,8.64,1123.72,42.33,NA,NA,19.47,6.13,191,NA,235.5,4.13,NA,"7/11/2010",NA
"53","FR11T027","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",105,0.84,-0.85,2,NA,NA,17.8,816.8,12.34,NA,3.6,NA,NA,280.4,3,0,11,20.4,NA,NA,0.5,22.32,8.58,958.81,41.26,2,160.83,21.28,7.11,192,NA,277,NA,2.8,"7/12/2011","4/16/2011"
"54","FR11T027","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",110,0.71,0.13,3.6,NA,NA,NA,641.4,11.79,NA,4.6,NA,NA,245.3,4,NA,10.8,25.4,NA,NA,0.46,25.42,9.42,1101.94,NA,4,192.19,23.01,NA,192,NA,239.9,NA,5,"7/11/2012","4/20/2012"
"55","FR11T028","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,0.81,-0.08,1,23.43,1.85,22.7,NA,9.77,20.34,NA,22.56,49.26,NA,3.6,14.29,11.22,21.65,0,44.98,0.41,27.17,9.47,1065.64,35.7,NA,NA,20.45,9.91,188,3.2,318,3.97,NA,"7/8/2010",NA
"56","FR11T028","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",109,0.51,0.34,1,NA,NA,19.2,639.4,10.91,NA,NA,NA,NA,NA,2.6,0,11,21,0,NA,0.46,27.55,10.04,902.86,26.17,1,165.36,22.08,7.99,188,2.4,323.3,NA,5,"7/8/2011","4/20/2011"
"57","FR11T028","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",110,0.7,0.84,1,NA,NA,NA,557.8,11.05,NA,NA,NA,NA,269.6,4,NA,10.15,21.28,NA,NA,0.4,27.87,9.56,952.33,NA,5,192.19,24.1,NA,183,3,296.3,NA,5,"7/2/2012","4/20/2012"
"58","FR11T029","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,NA,-0.1,1,28.1,4.45,NA,962.6,11.33,22.21,NA,25.71,49.31,NA,3,50,10.42,18.5,50,43.9,0.41,24.98,9.51,1105.08,48.31,NA,NA,22.37,7.91,190,2,264.4,NA,NA,"7/10/2010",NA
"59","FR11T029","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",105,0.42,-0.34,1,NA,NA,16.6,833.1,10.7,NA,NA,NA,NA,333.5,4,0,10.94,20.5,NA,NA,0.38,24.22,8.83,958.81,39.92,3,160.83,21.94,7.99,192,2,325,NA,2.8,"7/12/2011","4/16/2011"
"60","FR11T029","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,0.65,0.06,1,NA,NA,NA,798.4,10.62,NA,NA,NA,NA,311.8,4,NA,9.48,20.66,NA,NA,0.36,26.02,9.89,NA,NA,4,202.94,22.14,NA,NA,3.8,329.2,NA,2,NA,"4/21/2012"
"61","FR11T030","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,0.9,-0.66,1,24.83,16.53,16.2,731.1,10.42,22.93,NA,28.73,53.87,NA,2.8,25,10.31,16.7,0,37,0.47,25,9.66,1123.72,49.91,NA,NA,19.73,7.14,191,1,264.4,3.57,NA,"7/11/2010",NA
"62","FR11T030","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,1.11,0.22,1,NA,NA,NA,895.3,10.47,NA,NA,NA,NA,233.4,4,NA,8.78,22.52,NA,NA,0.42,26.05,9.57,963.06,NA,3,217,22.85,NA,184,2.2,238.3,NA,2,"7/3/2012","4/22/2012"
"63","FR11T031","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,0.9,0.5,1,25.48,4.64,20.1,948.3,10.27,16.8,NA,24.3,54.88,NA,2.8,25,11.92,19.28,0,40.68,0.51,29.2,9.58,1137.31,37.09,NA,NA,21.32,9.96,192,3,297.3,3.79,NA,"7/12/2010",NA
"64","FR11T031","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",NA,0.9,0.2,1,NA,NA,20.5,1006.5,11.39,NA,NA,NA,NA,281,3,0,11.1,20.5,NA,NA,0.5,26.71,9,958.81,35.44,1,NA,22.18,9.95,192,2.2,306.2,NA,2,"7/12/2011",NA
"65","FR11T031","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",NA,1.02,0.94,1,NA,NA,NA,722,10.31,NA,NA,NA,NA,191.3,4,NA,10.46,23.86,NA,NA,0.44,28.39,9.77,1190.28,NA,4,NA,24.08,NA,197,3.8,294.8,NA,2.6,"7/16/2012",NA
"66","FR11T032","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,0.61,0.63,3.4,7.37,18.05,16.2,1105.4,10.4,16.2,5.2,2.21,27.15,NA,3.2,0,11.55,18.55,0,20.03,0.34,29.5,9.85,1137.31,26.34,NA,NA,21.65,8.66,192,NA,262.5,4.23,NA,"7/12/2010",NA
"67","FR11T032","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",104,0.56,1.05,3,NA,NA,17.7,759.7,11.38,NA,3.8,NA,NA,268,4,0,12.1,17.05,NA,NA,0.4,26.34,9.19,958.81,38.53,1,155.08,26.47,11.53,192,NA,285.7,NA,2.6,"7/12/2011","4/15/2011"
"68","FR11T032","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",110,0.69,1.8,3,NA,NA,NA,866.8,10.97,NA,5,NA,NA,254.1,5,NA,13.48,18.76,NA,NA,0.35,31.58,10.47,NA,NA,3,192.19,25.21,NA,NA,NA,285.4,NA,5,NA,"4/20/2012"
"69","FR12T001","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",103,NA,-0.94,3,NA,NA,20.7,564.9,10.27,NA,6,NA,NA,NA,3,0,9.48,24.5,0,NA,0.3,22.43,8.11,812.03,32.15,2,152.33,20.75,7.03,182,NA,266,NA,3,"7/2/2011","4/14/2011"
"70","FR12T001","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",109,1.18,1.43,4,NA,NA,NA,663.8,11.01,NA,5,NA,NA,335.9,4,NA,11.42,21.46,NA,NA,0.5,29.7,9.73,937.25,NA,1,181.58,25.19,NA,182,NA,235.8,NA,5,"7/1/2012","4/19/2012"
"71","FR12T003","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,NA,-1.39,5,NA,NA,NA,553.7,10.32,NA,7,NA,NA,244,4,NA,NA,27.6,NA,NA,0.3,20.99,8.9,872.83,NA,0,217,19.97,NA,178,NA,244,NA,2,"6/27/2012","4/22/2012"
"72","FR12T004","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",107,NA,-0.63,2.2,NA,NA,NA,999.3,11.51,NA,3.4,NA,NA,NA,2,0,9.53,24.17,0,NA,0.5,24.17,10.03,760.03,36.3,0,162.86,20.6,5.85,178,NA,251,NA,4.2,"6/28/2011","4/18/2011"
"73","FR12T004","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,1.15,0.55,5,NA,NA,NA,509.9,11.18,NA,7,NA,NA,280.6,3,NA,9.69,26.62,NA,NA,0.52,27.68,10.17,952.33,NA,0,217,22.95,NA,183,NA,276.4,NA,5,"7/2/2012","4/22/2012"
"74","FR12T006","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",103,NA,-0.22,5,NA,NA,NA,489.5,11.12,NA,7,NA,NA,125.8,4,0,8.64,16.23,NA,NA,0.4,25.38,9.66,760.03,38.24,0,152.33,21.41,8.5,178,NA,123.9,NA,4.4,"6/28/2011","4/14/2011"
"75","FR12T006","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",104,0.46,-0.36,5,NA,NA,NA,534.3,10.34,NA,6,NA,NA,114.5,4,NA,7.48,20.84,NA,NA,0.44,24.7,9.34,784.14,NA,0,158.97,21.41,NA,171,NA,127.5,NA,3.4,"6/20/2012","4/14/2012"
"76","FR12T009","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",104,0.78,0.74,2,NA,NA,NA,1165.5,11.54,NA,3.4,NA,NA,253.1,4.2,0,9.72,16.05,NA,NA,0.5,27.62,9.9,760.03,33.22,0,155.08,23.89,9.32,178,NA,238.4,NA,2,"6/28/2011","4/15/2011"
"77","FR12T009","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",108,0.75,1,4,NA,NA,NA,1041.1,10.4,NA,4,NA,NA,261.9,5,NA,10.37,23.22,NA,NA,0.44,29.05,10.39,872.83,NA,0,178.25,23.77,NA,178,NA,256.9,NA,1,"6/27/2012","4/18/2012"
"78","FR12T011","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",NA,NA,-1.17,NA,3.09,14.96,19.5,NA,10.33,21.39,4,4.12,25.14,NA,NA,0,10.35,19.85,0,15.59,0.4,22.95,9.76,944.92,29.22,NA,NA,19.23,NA,179,NA,245,NA,NA,"6/29/2010",NA
"79","FR12T011","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",107,0.79,0.6,4,NA,NA,NA,569,11.19,NA,4,NA,NA,292.1,3,NA,9.4,24.42,NA,NA,0.58,27.45,9.97,862.47,NA,4,172.72,23.38,NA,177,NA,273.6,NA,2,"6/26/2012","4/17/2012"
"80","FR12T012","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",106,NA,-0.48,3,NA,NA,NA,420.1,12.13,NA,5,NA,NA,NA,3,0,10.35,15.8,0,NA,0.4,23.39,9.39,760.03,27.82,1,161.72,22.03,7.35,178,NA,173,NA,5,"6/28/2011","4/17/2011"
"81","FR12T012","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",110,NA,-0.44,5,NA,NA,NA,828,11.16,NA,6,NA,NA,68.6,4,NA,NA,21.5,NA,NA,0.3,23.54,9.05,784.14,NA,4,192.19,22.05,NA,171,NA,168.6,NA,3,"6/20/2012","4/20/2012"
