"#","Germplasm","Species","pH","Dataset"
"73","PC 9816-041","Prunus avium","3.82","Sweet_cherry_CRS_phenotyping_2010"
"74","PC 9816-059","Prunus avium","3.99","Sweet_cherry_CRS_phenotyping_2010"
"75","PC 9816-083","Prunus avium","3.73","Sweet_cherry_CRS_phenotyping_2010"
"76","PC 9816-103","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"77","PC 9816-105","Prunus avium","3.86","Sweet_cherry_CRS_phenotyping_2010"
"78","PC 9816-106","Prunus avium","3.83","Sweet_cherry_CRS_phenotyping_2010"
"79","PC 9816-078","Prunus avium","3.63","Sweet_cherry_CRS_phenotyping_2010"
"80","PC 9819-005","Prunus avium","3.92","Sweet_cherry_CRS_phenotyping_2010"
"81","PC 9819-038","Prunus avium","3.94","Sweet_cherry_CRS_phenotyping_2010"
"82","PC 9814-025","Prunus avium","3.81","Sweet_cherry_CRS_phenotyping_2010"
"83","PC 9814-105","Prunus avium","3.84","Sweet_cherry_CRS_phenotyping_2010"
"84","PC 9814-028","Prunus avium","7.08","Sweet_cherry_CRS_phenotyping_2010"
"85","PC 9814-062","Prunus avium","3.98","Sweet_cherry_CRS_phenotyping_2010"
"86","PC 9814-071","Prunus avium","3.71","Sweet_cherry_CRS_phenotyping_2010"
"87","PC 9819-034","Prunus avium","3.93","Sweet_cherry_CRS_phenotyping_2010"
"88","Unk15-Sdlg","Prunus avium","3.82","Sweet_cherry_CRS_phenotyping_2010"
"89","Unk17-Sdlg","Prunus avium","4.07","Sweet_cherry_CRS_phenotyping_2010"
"90","Index","Prunus avium","3.93","Sweet_cherry_CRS_phenotyping_2010"
