"","var","pollinated_by_rangedala","pollinated_by_splendor","label","label_aka","nr","type","zone","zone_extended","pollinated_by_sveriges_tradgardsmastare","pollinated_by_table","pollinated_by_plantagen","temp","pollinated_by_plantagen_num","pollinated_by_splendor_num","pollinated_by_rangedala_num","pollinated_by_concat","pollinated_by_concordance_num","pollinated_by_plantagen_chr"
"11","hedelfinger","allm_gulrod, buttners_rote, merton_glory, merton_premier, sam, van","allm_gulrod, buttners_rote, merton_glory, van","Hedelfinger","",11,"sweet",3,NA,"1,3,5,6,7,12,13,20","Lapins","Allm. gulröd bigarrå, Almore, Büttners Späte Rote, Merton Glory, Sam, Van","allm_gulrod, almore, buttners_rote, merton_glory, sam, van","1,2,5,17,21,29","1,5,17,29","1,5,17,18,21,29","1,5,17,18,21,29;1,2,5,17,21,29;1,5,17,29;1,3,5,6,7,12,13,20","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","allm_gulrod,almore,buttners_rote,merton_glory,sam,van"
"12","heidi","merton_glory","merton_glory, stor_svart","Heidi","",12,"sweet",4,NA,"12,13,17","Merton Glory","Merton Glory, Stor svart bigarrå","merton_glory, stor_svart","17,24","17,24","17","17;17,24;17,24;12,13,17","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","merton_glory,stor_svart"
"13","kelleris",NA,NA,"Kelleris 16","",13,"sour",4,NA,"13","Merton Premier","","",NA,NA,NA,"NA;NA;NA;13","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"14","kirsa",NA,NA,"Kirsa","",14,"sour",6,NA,"14","Ostheimer","","",NA,NA,NA,"NA;NA;NA;14","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"15","kauffs_kirsche",NA,NA,"Knauffs Kirsche","",15,"sweet",2,NA,"1,3,5,12,20","Sam","","",NA,NA,NA,"NA;NA;NA;1,3,5,12,20","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"16","lapins","sjalvfertil","sjalvfertil","Lapins","",16,"sweet",3,NA,"16","Skuggmorell","Självfertil","sjalvfertil","16","16","16","16;16;16;16","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","lapins"
"17","merton_glory","allm_gulrod, buttners_rote, hedelfinger, sam, stella, stor_svart, van","allm_gulrod, buttners_rote, hedelfinger, sam, stella, sunburst, van","Merton Glory","",17,"sweet",3,NA,"1,3,8","Stor svart bigarrå","Allm. gulröd bigarrå, Almore, Büttners Späte Rote, Hedelfinger, Sam, Stella, Stor svart bigarrå, Van, Victor","allm_gulrod, almore, buttners_rote, hedelfinger, sam, stella, stor_svart, van, victor","1,2,5,11,21,23,24,29,33","1,5,11,21,23,26,29","1,5,11,21,23,24,29","1,5,11,21,23,24,29;1,2,5,11,21,23,24,29,33;1,5,11,21,23,26,29;1,3,8","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","allm_gulrod,almore,buttners_rote,hedelfinger,sam,stella,stor_svart,van,victor"
"18","merton_premier","buttners_rote, hedelfinger, merton_glory, van",NA,"Merton Premier","",18,"sweet",3,NA,"5,8,12,20","Stora klarbär","","",NA,NA,"5,11,17,29","5,11,17,29;NA;NA;5,8,12,20","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"19","nordia",NA,NA,"Nordia","",19,"sour",6,NA,"19","Triaux","","",NA,NA,NA,"NA;NA;NA;19","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"20","ostheimer",NA,NA,"Ostheimer","",20,"sour",5,6,"6,7,16,17,18","Van","","",NA,NA,NA,"NA;NA;NA;6,7,16,17,18","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"21","sam","allm_gulrod, buttners_rote, hedelfinger, merton_glory, stella","allm_gulrod, buttners_rote, hedelfinger, van","Sam","",21,"sweet",3,NA,"1,2,9,10,12,17,20","","Allm. gulröd bigarrå, Almore, Büttners Späte Rote, Hedelfinger, Heidi, Merton Glory, Stella, Stor svart bigarrå, Van","allm_gulrod, almore, buttners_rote, hedelfinger, heidi, merton_glory, stella, stor_svart, van","1,2,5,11,12,17,23,24,29","1,5,11,29","1,5,11,17,23","1,5,11,17,23;1,2,5,11,12,17,23,24,29;1,5,11,29;1,2,9,10,12,17,20","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","allm_gulrod,almore,buttners_rote,hedelfinger,heidi,merton_glory,stella,stor_svart,van"
"22","skuggmorell",NA,NA,"Skuggmorell","",22,"sour",5,6,"22","","","",NA,NA,NA,"NA;NA;NA;22","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"23","stella","buttners_rote, merton_glory, sam, sjalvfertil, van","sjalvfertil","Stella","",23,"sweet",4,NA,"23","","Självfertil samt Büttners Späte Rote, Merton Glory, Sam, Van","sjalvfertil, buttners_rote, merton_glory, sam, van","23,5,17,21,29","23","5,17,21,23,29","5,17,21,23,29;23,5,17,21,29;23;23","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","stella,buttners_rote,merton_glory,sam,van"
"24","stor_svart","merton_glory","merton_glory","Stor svart bigarrå","",24,"sweet",3,NA,"6,12","","Merton Glory","merton_glory","17","17","17","17;17;17;6,12","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","merton_glory"
"25","stora_klarbar",NA,NA,"Stora klarbär","",25,"sour",5,NA,"25,7,14,16,18","","","",NA,NA,NA,"NA;NA;NA;25,7,14,16,18","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"26","sunburst","sjalvfertil","sjalvfertil","Sunburst","",26,"sweet",4,NA,"26","","Självfertil","sjalvfertil","26","26","26","26;26;26;26","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","sunburst"
"27","triaux",NA,NA,"Triaux","",27,"sour",4,NA,"27","","","",NA,NA,NA,"NA;NA;NA;27","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"28","tschernokorka",NA,NA,"Tschernokorka","",28,"sour",3,NA,"28","","","",NA,NA,NA,"NA;NA;NA;28","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"29","van","allm_gulrod, buttners_rote, hedelfinger, merton_glory, merton_premier, sam, stella","allm_gulrod, buttners_rote, merton_glory","Van","",29,"sweet",4,NA,"1,5,6,12,13","","Allm. gulröd bigarrå, Almore, Büttners Späte Rote, Hedelfinger, Merton Glory, Sam, Stella","allm_gulrod, almore, buttners_rote, hedelfinger, merton_glory, sam, stella","1,2,5,11,17,21,23","1,5,17","1,5,11,17,18,21,23","1,5,11,17,18,21,23;1,2,5,11,17,21,23;1,5,17;1,5,6,12,13","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","allm_gulrod,almore,buttners_rote,hedelfinger,merton_glory,sam,stella"
"30","donissen",NA,NA,"Dönissen","",30,"",NA,NA,NA,"Büttners Späte Rote, Merton Glory, Stella, Van","","",NA,NA,NA,"NA;NA;NA;NA","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"31","kordia",NA,NA,"Kordia","",31,"",NA,NA,NA,"Büttners Späte Rote, Lapins, Merton Glory, Regina, Stella","","",NA,NA,NA,"NA;NA;NA;NA","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"32","regina",NA,NA,"Regina","",32,"",NA,NA,NA,"","Büttners Späte Rote, Kordia, Lapins, Merton Glory, Sam, Stella, Van","buttners_rote, kordia, lapins, merton_glory, sam, stella, van","5,31,16,17,21,23,29",NA,NA,"NA;5,31,16,17,21,23,29;NA;NA","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","buttners_rote,kordia,lapins,merton_glory,sam,stella,van"
"33","victor","allm_gulrod, merton_glory",NA,"Victor","",33,"",NA,NA,NA,"","Almore, Büttners Späte Rote, Merton Glory, Stella, Van","almore, buttners_rote, merton_glory, stella, van","2,5,17,23,29",NA,"1,17","1,17;2,5,17,23,29;NA;NA","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)","almore,buttners_rote,merton_glory,stella,van"
"34","allm_klarbar",NA,NA,"Allmänt klarbär","",34,"sour",6,NA,NA,"","","",NA,NA,NA,"NA;NA;NA;NA","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"35","grosse_schwarze",NA,NA,"Grosse Schwarze Knorpelkirsche","Stor svart bigarrå",35,"sweet",3,NA,NA,"","","",NA,NA,NA,"NA;NA;NA;NA","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
"36","lettisk_lag",NA,NA,"Lettisk låg","",36,"sour",7,NA,NA,"","","",NA,NA,NA,"NA;NA;NA;NA","5 (25%), 11 (75%), 17 (75%), 24 (50%), 21 (25%), 29 (25%), 25 (50%), 3 (25%), 6 (25%), 7 (25%), 8 (25%), 12 (25%), 18 (25%)",NA
