"#","Germplasm","Species","Pit_Wd1","Dataset"
"78","FR1T036","Prunus avium","11.14","Sweet_cherry_CRS_phenotyping_2012"
"79","FR1T036","Prunus avium","11.82","Sweet_cherry_CRS_phenotyping_2010"
"80","FR1T074","Prunus avium","9.48","Sweet_cherry_CRS_phenotyping_2011"
"81","FR1T074","Prunus avium","10.17","Sweet_cherry_CRS_phenotyping_2012"
"82","FR1T074","Prunus avium","10.79","Sweet_cherry_CRS_phenotyping_2010"
"83","FR2T063","Prunus avium","10.44","Sweet_cherry_CRS_phenotyping_2012"
"84","FR2T030","Prunus avium","8.92","Sweet_cherry_CRS_phenotyping_2011"
"85","FR2T030","Prunus avium","9.98","Sweet_cherry_CRS_phenotyping_2010"
"86","FR2T030","Prunus avium","10.15","Sweet_cherry_CRS_phenotyping_2012"
"87","FR14T012","Prunus avium","9.96","Sweet_cherry_CRS_phenotyping_2012"
"88","FR3T070","Prunus avium","9.09","Sweet_cherry_CRS_phenotyping_2011"
"89","FR3T070","Prunus avium","10.1","Sweet_cherry_CRS_phenotyping_2010"
"90","FR3T070","Prunus avium","10.73","Sweet_cherry_CRS_phenotyping_2012"
"91","FR1T035","Prunus avium","8.59","Sweet_cherry_CRS_phenotyping_2011"
"92","FR1T035","Prunus avium","9.62","Sweet_cherry_CRS_phenotyping_2012"
"93","FR1T035","Prunus avium","9.93","Sweet_cherry_CRS_phenotyping_2010"
"94","FR1T066","Prunus avium","8.69","Sweet_cherry_CRS_phenotyping_2011"
"95","FR1T066","Prunus avium","9.26","Sweet_cherry_CRS_phenotyping_2010"
"96","FR1T066","Prunus avium","9.97","Sweet_cherry_CRS_phenotyping_2012"
"97","FR1T069","Prunus avium","9.62","Sweet_cherry_CRS_phenotyping_2011"
"98","FR1T069","Prunus avium","10.26","Sweet_cherry_CRS_phenotyping_2010"
"99","FR1T069","Prunus avium","10.55","Sweet_cherry_CRS_phenotyping_2012"
"100","FR2T058","Prunus avium","9.15","Sweet_cherry_CRS_phenotyping_2011"
"101","FR2T058","Prunus avium","9.88","Sweet_cherry_CRS_phenotyping_2012"
"102","FR2T058","Prunus avium","10.17","Sweet_cherry_CRS_phenotyping_2010"
"103","FR14T100","Prunus avium","8.55","Sweet_cherry_CRS_phenotyping_2011"
"104","FR14T100","Prunus avium","9.29","Sweet_cherry_CRS_phenotyping_2012"
"105","FR20T045","Prunus avium","11.05","Sweet_cherry_CRS_phenotyping_2012"
"106","FR21T040","Prunus avium","8.82","Sweet_cherry_CRS_phenotyping_2011"
"107","FR21T040","Prunus avium","10.11","Sweet_cherry_CRS_phenotyping_2012"
"108","FR31T016","Prunus avium","9.98","Sweet_cherry_CRS_phenotyping_2012"
"109","FR23T097","Prunus avium","8.28","Sweet_cherry_CRS_phenotyping_2012"
"110","FR27T018","Prunus avium","8.03","Sweet_cherry_CRS_phenotyping_2011"
"111","FR27T018","Prunus avium","9.26","Sweet_cherry_CRS_phenotyping_2012"
"112","FR28T001","Prunus avium","9.37","Sweet_cherry_CRS_phenotyping_2012"
"113","FR28T100","Prunus avium","7.38","Sweet_cherry_CRS_phenotyping_2011"
"114","FR28T100","Prunus avium","8.85","Sweet_cherry_CRS_phenotyping_2012"
"115","FR28T101","Prunus avium","7.52","Sweet_cherry_CRS_phenotyping_2011"
"116","FR28T101","Prunus avium","8.75","Sweet_cherry_CRS_phenotyping_2012"
"117","FR28T102","Prunus avium","7.74","Sweet_cherry_CRS_phenotyping_2012"
"118","FR28T104","Prunus avium","7.08","Sweet_cherry_CRS_phenotyping_2011"
"119","FR28T104","Prunus avium","8.38","Sweet_cherry_CRS_phenotyping_2012"
"120","FR28T105","Prunus avium","7.65","Sweet_cherry_CRS_phenotyping_2011"
"121","FR28T105","Prunus avium","9.87","Sweet_cherry_CRS_phenotyping_2012"
"122","FR28T106","Prunus avium","8.08","Sweet_cherry_CRS_phenotyping_2011"
"123","FR28T106","Prunus avium","9.06","Sweet_cherry_CRS_phenotyping_2012"
"124","FR28T107","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2011"
"125","FR28T107","Prunus avium","8.52","Sweet_cherry_CRS_phenotyping_2012"
"126","FR28T108","Prunus avium","7.61","Sweet_cherry_CRS_phenotyping_2011"
"127","FR28T108","Prunus avium","8.77","Sweet_cherry_CRS_phenotyping_2012"
"128","FR29T074","Prunus avium","9.65","Sweet_cherry_CRS_phenotyping_2012"
"129","FR29T075","Prunus avium","7.64","Sweet_cherry_CRS_phenotyping_2011"
"130","FR29T075","Prunus avium","9.27","Sweet_cherry_CRS_phenotyping_2012"
"131","FR29T076","Prunus avium","8.34","Sweet_cherry_CRS_phenotyping_2011"
"132","FR29T076","Prunus avium","8.96","Sweet_cherry_CRS_phenotyping_2012"
"133","FR29T077","Prunus avium","8.64","Sweet_cherry_CRS_phenotyping_2011"
"134","FR29T077","Prunus avium","9.95","Sweet_cherry_CRS_phenotyping_2012"
"135","FR10T098","Prunus avium","8.97","Sweet_cherry_CRS_phenotyping_2012"
"136","FR10T099","Prunus avium","9.39","Sweet_cherry_CRS_phenotyping_2011"
"137","FR10T099","Prunus avium","9.39","Sweet_cherry_CRS_phenotyping_2012"
"138","FR10T101","Prunus avium","8.87","Sweet_cherry_CRS_phenotyping_2011"
"139","FR10T101","Prunus avium","10.31","Sweet_cherry_CRS_phenotyping_2012"
"140","FR11T015","Prunus avium","9.22","Sweet_cherry_CRS_phenotyping_2011"
"141","FR11T015","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2010"
"142","FR11T015","Prunus avium","9.72","Sweet_cherry_CRS_phenotyping_2012"
"143","FR11T016","Prunus avium","9.28","Sweet_cherry_CRS_phenotyping_2011"
"144","FR11T016","Prunus avium","10.46","Sweet_cherry_CRS_phenotyping_2012"
"145","FR11T017","Prunus avium","8.81","Sweet_cherry_CRS_phenotyping_2011"
"146","FR11T017","Prunus avium","9.28","Sweet_cherry_CRS_phenotyping_2010"
"147","FR11T017","Prunus avium","10.42","Sweet_cherry_CRS_phenotyping_2012"
"148","FR11T018","Prunus avium","9.58","Sweet_cherry_CRS_phenotyping_2012"
"149","FR11T018","Prunus avium","10.07","Sweet_cherry_CRS_phenotyping_2010"
"150","FR11T019","Prunus avium","9.42","Sweet_cherry_CRS_phenotyping_2012"
"151","FR11T019","Prunus avium","10.06","Sweet_cherry_CRS_phenotyping_2011"
"152","FR11T025","Prunus avium","9.39","Sweet_cherry_CRS_phenotyping_2010"
"153","FR11T025","Prunus avium","9.87","Sweet_cherry_CRS_phenotyping_2011"
"154","FR11T025","Prunus avium","9.98","Sweet_cherry_CRS_phenotyping_2012"
"155","FR11T026","Prunus avium","9.66","Sweet_cherry_CRS_phenotyping_2012"
"156","FR11T027","Prunus avium","8.58","Sweet_cherry_CRS_phenotyping_2011"
"157","FR11T027","Prunus avium","8.64","Sweet_cherry_CRS_phenotyping_2010"
"158","FR11T027","Prunus avium","9.42","Sweet_cherry_CRS_phenotyping_2012"
"159","FR11T028","Prunus avium","9.47","Sweet_cherry_CRS_phenotyping_2010"
"160","FR11T028","Prunus avium","9.56","Sweet_cherry_CRS_phenotyping_2012"
"161","FR11T028","Prunus avium","10.04","Sweet_cherry_CRS_phenotyping_2011"
"162","FR11T029","Prunus avium","8.83","Sweet_cherry_CRS_phenotyping_2011"
"163","FR11T029","Prunus avium","9.51","Sweet_cherry_CRS_phenotyping_2010"
"164","FR11T029","Prunus avium","9.89","Sweet_cherry_CRS_phenotyping_2012"
"165","FR11T030","Prunus avium","9.57","Sweet_cherry_CRS_phenotyping_2012"
"166","FR11T030","Prunus avium","9.66","Sweet_cherry_CRS_phenotyping_2010"
"167","FR11T031","Prunus avium","9","Sweet_cherry_CRS_phenotyping_2011"
"168","FR11T031","Prunus avium","9.58","Sweet_cherry_CRS_phenotyping_2010"
"169","FR11T031","Prunus avium","9.77","Sweet_cherry_CRS_phenotyping_2012"
"170","FR11T032","Prunus avium","9.19","Sweet_cherry_CRS_phenotyping_2011"
"171","FR11T032","Prunus avium","9.85","Sweet_cherry_CRS_phenotyping_2010"
"172","FR11T032","Prunus avium","10.47","Sweet_cherry_CRS_phenotyping_2012"
"173","FR12T001","Prunus avium","8.11","Sweet_cherry_CRS_phenotyping_2011"
"174","FR12T001","Prunus avium","9.73","Sweet_cherry_CRS_phenotyping_2012"
"175","FR12T003","Prunus avium","8.9","Sweet_cherry_CRS_phenotyping_2012"
"176","FR12T004","Prunus avium","10.03","Sweet_cherry_CRS_phenotyping_2011"
"177","FR12T004","Prunus avium","10.17","Sweet_cherry_CRS_phenotyping_2012"
"178","FR12T006","Prunus avium","9.34","Sweet_cherry_CRS_phenotyping_2012"
"179","FR12T006","Prunus avium","9.66","Sweet_cherry_CRS_phenotyping_2011"
"180","FR12T009","Prunus avium","9.9","Sweet_cherry_CRS_phenotyping_2011"
"181","FR12T009","Prunus avium","10.39","Sweet_cherry_CRS_phenotyping_2012"
"182","FR12T011","Prunus avium","9.76","Sweet_cherry_CRS_phenotyping_2010"
"183","FR12T011","Prunus avium","9.97","Sweet_cherry_CRS_phenotyping_2012"
"184","FR12T012","Prunus avium","9.05","Sweet_cherry_CRS_phenotyping_2012"
"185","FR12T012","Prunus avium","9.39","Sweet_cherry_CRS_phenotyping_2011"
"186","FR12T056","Prunus avium","9.64","Sweet_cherry_CRS_phenotyping_2011"
"187","FR12T056","Prunus avium","10.02","Sweet_cherry_CRS_phenotyping_2012"
"188","FR12T057","Prunus avium","11.05","Sweet_cherry_CRS_phenotyping_2012"
"189","FR12T058","Prunus avium","8.3","Sweet_cherry_CRS_phenotyping_2011"
"190","FR12T058","Prunus avium","10.62","Sweet_cherry_CRS_phenotyping_2012"
"191","FR12T063","Prunus avium","9.7","Sweet_cherry_CRS_phenotyping_2011"
"192","FR12T063","Prunus avium","10.18","Sweet_cherry_CRS_phenotyping_2012"
"193","FR12T066","Prunus avium","9.67","Sweet_cherry_CRS_phenotyping_2011"
"194","FR12T066","Prunus avium","9.94","Sweet_cherry_CRS_phenotyping_2012"
"195","FR12T067","Prunus avium","9.16","Sweet_cherry_CRS_phenotyping_2011"
"196","FR12T067","Prunus avium","9.84","Sweet_cherry_CRS_phenotyping_2012"
"197","FR12T068","Prunus avium","8.51","Sweet_cherry_CRS_phenotyping_2011"
"198","FR12T068","Prunus avium","9.88","Sweet_cherry_CRS_phenotyping_2012"
"199","FR12T069","Prunus avium","9.63","Sweet_cherry_CRS_phenotyping_2012"
"200","FR12T071","Prunus avium","9.31","Sweet_cherry_CRS_phenotyping_2011"
"201","FR12T072","Prunus avium","7.25","Sweet_cherry_CRS_phenotyping_2011"
"202","FR12T072","Prunus avium","8.63","Sweet_cherry_CRS_phenotyping_2012"
"203","FR12T073","Prunus avium","9.27","Sweet_cherry_CRS_phenotyping_2012"
"204","FR12T073","Prunus avium","9.76","Sweet_cherry_CRS_phenotyping_2011"
"205","FR12T074","Prunus avium","9.69","Sweet_cherry_CRS_phenotyping_2012"
"206","FR12T076","Prunus avium","8.83","Sweet_cherry_CRS_phenotyping_2012"
"207","FR12T076","Prunus avium","9.09","Sweet_cherry_CRS_phenotyping_2011"
"208","FR12T077","Prunus avium","9.71","Sweet_cherry_CRS_phenotyping_2010"
"209","FR12T077","Prunus avium","9.96","Sweet_cherry_CRS_phenotyping_2011"
"210","FR12T077","Prunus avium","9.98","Sweet_cherry_CRS_phenotyping_2012"
"211","FR12T080","Prunus avium","8.5","Sweet_cherry_CRS_phenotyping_2011"
"212","FR12T080","Prunus avium","10.14","Sweet_cherry_CRS_phenotyping_2012"
"213","FR12T091","Prunus avium","9.55","Sweet_cherry_CRS_phenotyping_2012"
"214","FR12T091","Prunus avium","10.2","Sweet_cherry_CRS_phenotyping_2011"
"215","FR12T093","Prunus avium","9.56","Sweet_cherry_CRS_phenotyping_2011"
"216","FR12T093","Prunus avium","9.62","Sweet_cherry_CRS_phenotyping_2012"
"217","FR12T094","Prunus avium","10.2","Sweet_cherry_CRS_phenotyping_2012"
"218","FR13T058","Prunus avium","10.41","Sweet_cherry_CRS_phenotyping_2011"
"219","FR13T058","Prunus avium","10.45","Sweet_cherry_CRS_phenotyping_2012"
"220","FR13T061","Prunus avium","8.7","Sweet_cherry_CRS_phenotyping_2011"
"221","FR13T061","Prunus avium","10.32","Sweet_cherry_CRS_phenotyping_2012"
"222","FR14T056","Prunus avium","10.86","Sweet_cherry_CRS_phenotyping_2011"
"223","FR14T056","Prunus avium","11.1","Sweet_cherry_CRS_phenotyping_2012"
"224","FR14T057","Prunus avium","9.38","Sweet_cherry_CRS_phenotyping_2011"
"225","FR14T057","Prunus avium","10.01","Sweet_cherry_CRS_phenotyping_2012"
"226","FR14T060","Prunus avium","10.05","Sweet_cherry_CRS_phenotyping_2011"
"227","FR14T060","Prunus avium","10.54","Sweet_cherry_CRS_phenotyping_2012"
"228","FR14T075","Prunus avium","9.06","Sweet_cherry_CRS_phenotyping_2012"
"229","FR14T075","Prunus avium","9.69","Sweet_cherry_CRS_phenotyping_2011"
"230","FR14T076","Prunus avium","9.2","Sweet_cherry_CRS_phenotyping_2011"
"231","FR14T076","Prunus avium","9.57","Sweet_cherry_CRS_phenotyping_2012"
"232","FR14T078","Prunus avium","9.62","Sweet_cherry_CRS_phenotyping_2011"
"233","FR14T078","Prunus avium","9.86","Sweet_cherry_CRS_phenotyping_2012"
"234","FR14T079","Prunus avium","9.55","Sweet_cherry_CRS_phenotyping_2012"
"235","FR14T079","Prunus avium","10.24","Sweet_cherry_CRS_phenotyping_2011"
"236","FR14T080","Prunus avium","9.49","Sweet_cherry_CRS_phenotyping_2011"
"237","FR14T080","Prunus avium","10.58","Sweet_cherry_CRS_phenotyping_2012"
"238","FR14T081","Prunus avium","9.22","Sweet_cherry_CRS_phenotyping_2011"
"239","FR14T081","Prunus avium","10.13","Sweet_cherry_CRS_phenotyping_2012"
"240","FR14T082","Prunus avium","9.89","Sweet_cherry_CRS_phenotyping_2012"
"241","FR14T082","Prunus avium","10.46","Sweet_cherry_CRS_phenotyping_2011"
"242","FR14T084","Prunus avium","9.99","Sweet_cherry_CRS_phenotyping_2011"
"243","FR14T084","Prunus avium","10.15","Sweet_cherry_CRS_phenotyping_2012"
"244","FR14T086","Prunus avium","10.12","Sweet_cherry_CRS_phenotyping_2012"
"245","FR14T086","Prunus avium","10.13","Sweet_cherry_CRS_phenotyping_2011"
"246","FR16T001","Prunus avium","9.17","Sweet_cherry_CRS_phenotyping_2012"
"247","FR16T024","Prunus avium","9.79","Sweet_cherry_CRS_phenotyping_2012"
"248","FR16T024","Prunus avium","9.9","Sweet_cherry_CRS_phenotyping_2011"
"249","FR16T040","Prunus avium","9.1","Sweet_cherry_CRS_phenotyping_2012"
"250","FR16T041","Prunus avium","10.27","Sweet_cherry_CRS_phenotyping_2012"
"251","FR17T006","Prunus avium","7.71","Sweet_cherry_CRS_phenotyping_2011"
"252","FR17T006","Prunus avium","9.2","Sweet_cherry_CRS_phenotyping_2012"
"253","FR17T051","Prunus avium","8.31","Sweet_cherry_CRS_phenotyping_2011"
"254","FR17T062","Prunus avium","10.45","Sweet_cherry_CRS_phenotyping_2012"
"255","FR18T017","Prunus avium","9.22","Sweet_cherry_CRS_phenotyping_2011"
"256","FR18T017","Prunus avium","9.27","Sweet_cherry_CRS_phenotyping_2012"
"257","FR18T018","Prunus avium","8.43","Sweet_cherry_CRS_phenotyping_2011"
"258","FR18T018","Prunus avium","8.63","Sweet_cherry_CRS_phenotyping_2012"
"259","FR18T019","Prunus avium","8.23","Sweet_cherry_CRS_phenotyping_2011"
"260","FR18T019","Prunus avium","10.11","Sweet_cherry_CRS_phenotyping_2012"
"261","FR18T020","Prunus avium","10.07","Sweet_cherry_CRS_phenotyping_2012"
"262","FR18T041","Prunus avium","8.32","Sweet_cherry_CRS_phenotyping_2011"
"263","FR18T042","Prunus avium","9.67","Sweet_cherry_CRS_phenotyping_2012"
"264","FR18T043","Prunus avium","10.21","Sweet_cherry_CRS_phenotyping_2011"
"265","FR18T043","Prunus avium","11.67","Sweet_cherry_CRS_phenotyping_2012"
"266","FR18T044","Prunus avium","9.1","Sweet_cherry_CRS_phenotyping_2011"
"267","FR18T044","Prunus avium","10.03","Sweet_cherry_CRS_phenotyping_2012"
"268","FR18T045","Prunus avium","7.9","Sweet_cherry_CRS_phenotyping_2012"
"269","FR18T048","Prunus avium","8.7","Sweet_cherry_CRS_phenotyping_2011"
"270","FR18T048","Prunus avium","9.61","Sweet_cherry_CRS_phenotyping_2012"
"271","FR18T052","Prunus avium","9.24","Sweet_cherry_CRS_phenotyping_2012"
"272","FR18T071","Prunus avium","8.31","Sweet_cherry_CRS_phenotyping_2011"
"273","FR18T071","Prunus avium","9.16","Sweet_cherry_CRS_phenotyping_2012"
"274","FR1T027","Prunus avium","8.61","Sweet_cherry_CRS_phenotyping_2011"
"275","FR1T027","Prunus avium","9.7","Sweet_cherry_CRS_phenotyping_2012"
"276","FR1T028","Prunus avium","8.68","Sweet_cherry_CRS_phenotyping_2011"
"277","FR1T028","Prunus avium","9.9","Sweet_cherry_CRS_phenotyping_2012"
"278","FR1T029","Prunus avium","8.59","Sweet_cherry_CRS_phenotyping_2011"
"279","FR1T029","Prunus avium","10.07","Sweet_cherry_CRS_phenotyping_2012"
"280","FR1T029","Prunus avium","10.43","Sweet_cherry_CRS_phenotyping_2010"
"281","FR1T030","Prunus avium","8.35","Sweet_cherry_CRS_phenotyping_2011"
"282","FR1T030","Prunus avium","9.57","Sweet_cherry_CRS_phenotyping_2012"
"283","FR1T030","Prunus avium","9.88","Sweet_cherry_CRS_phenotyping_2010"
"284","FR1T031","Prunus avium","8.75","Sweet_cherry_CRS_phenotyping_2011"
"285","FR1T031","Prunus avium","10","Sweet_cherry_CRS_phenotyping_2012"
"286","FR1T031","Prunus avium","10.58","Sweet_cherry_CRS_phenotyping_2010"
"287","FR1T032","Prunus avium","9.31","Sweet_cherry_CRS_phenotyping_2011"
"288","FR1T032","Prunus avium","10.1","Sweet_cherry_CRS_phenotyping_2012"
"289","FR1T032","Prunus avium","11.08","Sweet_cherry_CRS_phenotyping_2010"
"290","FR1T033","Prunus avium","8.26","Sweet_cherry_CRS_phenotyping_2011"
"291","FR1T033","Prunus avium","9.31","Sweet_cherry_CRS_phenotyping_2012"
"292","FR1T033","Prunus avium","9.76","Sweet_cherry_CRS_phenotyping_2010"
"293","FR1T037","Prunus avium","9.68","Sweet_cherry_CRS_phenotyping_2011"
"294","FR1T037","Prunus avium","10.42","Sweet_cherry_CRS_phenotyping_2010"
"295","FR1T037","Prunus avium","10.77","Sweet_cherry_CRS_phenotyping_2012"
"296","FR1T038","Prunus avium","8.9","Sweet_cherry_CRS_phenotyping_2011"
"297","FR1T038","Prunus avium","9.78","Sweet_cherry_CRS_phenotyping_2012"
"298","FR1T038","Prunus avium","9.94","Sweet_cherry_CRS_phenotyping_2010"
"299","FR1T039","Prunus avium","9.91","Sweet_cherry_CRS_phenotyping_2011"
"300","FR1T039","Prunus avium","10.88","Sweet_cherry_CRS_phenotyping_2010"
"301","FR1T039","Prunus avium","11.2","Sweet_cherry_CRS_phenotyping_2012"
"302","FR1T040","Prunus avium","9.2","Sweet_cherry_CRS_phenotyping_2011"
"303","FR1T040","Prunus avium","10.47","Sweet_cherry_CRS_phenotyping_2012"
"304","FR1T040","Prunus avium","10.82","Sweet_cherry_CRS_phenotyping_2010"
"305","FR1T041","Prunus avium","8.93","Sweet_cherry_CRS_phenotyping_2011"
"306","FR1T041","Prunus avium","9.94","Sweet_cherry_CRS_phenotyping_2010"
"307","FR1T041","Prunus avium","10.31","Sweet_cherry_CRS_phenotyping_2012"
"308","FR1T042","Prunus avium","8.83","Sweet_cherry_CRS_phenotyping_2011"
"309","FR1T042","Prunus avium","10.41","Sweet_cherry_CRS_phenotyping_2012"
"310","FR1T042","Prunus avium","10.5","Sweet_cherry_CRS_phenotyping_2010"
"311","FR1T054","Prunus avium","8.87","Sweet_cherry_CRS_phenotyping_2011"
"312","FR1T054","Prunus avium","10.17","Sweet_cherry_CRS_phenotyping_2012"
"313","FR1T054","Prunus avium","10.37","Sweet_cherry_CRS_phenotyping_2010"
"314","FR1T056","Prunus avium","9.09","Sweet_cherry_CRS_phenotyping_2011"
"315","FR1T056","Prunus avium","10.46","Sweet_cherry_CRS_phenotyping_2010"
"316","FR1T056","Prunus avium","10.92","Sweet_cherry_CRS_phenotyping_2012"
"317","FR1T065","Prunus avium","9.39","Sweet_cherry_CRS_phenotyping_2011"
"318","FR1T065","Prunus avium","10.64","Sweet_cherry_CRS_phenotyping_2010"
"319","FR1T065","Prunus avium","10.76","Sweet_cherry_CRS_phenotyping_2012"
"320","FR1T073","Prunus avium","8.74","Sweet_cherry_CRS_phenotyping_2012"
"321","FR1T073","Prunus avium","9.83","Sweet_cherry_CRS_phenotyping_2011"
"322","FR1T073","Prunus avium","10.86","Sweet_cherry_CRS_phenotyping_2010"
"323","FR21T037","Prunus avium","10.25","Sweet_cherry_CRS_phenotyping_2012"
"324","FR21T063","Prunus avium","11.93","Sweet_cherry_CRS_phenotyping_2012"
"325","FR22T001","Prunus avium","10.55","Sweet_cherry_CRS_phenotyping_2012"
