"#","Germplasm","Species","Skin_C_blush","Dataset"
"92","FR27T013","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"93","FR27T014","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2012"
"94","FR27T014","Prunus avium","3.3","Sweet_cherry_CRS_phenotyping_2011"
"95","FR27T015","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"96","FR27T015","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"97","FR27T017","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"98","FR27T052","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"99","FR27T052","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"100","FR27T053","Prunus avium","1.4","Sweet_cherry_CRS_phenotyping_2012"
"101","FR27T053","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"102","FR27T099","Prunus avium","1.3","Sweet_cherry_CRS_phenotyping_2011"
"103","FR27T099","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"104","FR27T102","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"105","FR29T118","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"106","FR29T120","Prunus avium","1.3","Sweet_cherry_CRS_phenotyping_2011"
"107","FR29T120","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"108","FR29T122","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"109","FR29T122","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"110","FR29T126","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"111","FR2T037","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2012"
"112","FR2T037","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"113","FR2T037","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"114","FR2T038","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"115","FR2T038","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"116","FR2T038","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2010"
"117","FR2T046","Prunus avium","1.8","Sweet_cherry_CRS_phenotyping_2011"
"118","FR2T046","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2010"
"119","FR30T102","Prunus avium","2.7","Sweet_cherry_CRS_phenotyping_2011"
"120","FR31T007","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"121","FR31T007","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"122","FR33T004","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"123","FR33T004","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"124","FR33T005","Prunus avium","1.5","Sweet_cherry_CRS_phenotyping_2011"
"125","FR33T005","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"126","FR33T006","Prunus avium","2.5","Sweet_cherry_CRS_phenotyping_2011"
"127","FR33T006","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"128","FR33T007","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"129","FR35T104","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2011"
"130","FR35T104","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2012"
"131","FR35T108","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"132","FR35T108","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"133","FR3T008","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"134","FR3T008","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2012"
"135","FR9T031","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"136","FR9T031","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2012"
"137","Unk10-Sdlg","Prunus avium","1.8","Sweet_cherry_CRS_phenotyping_2011"
"138","Unk10-Sdlg","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2012"
"139","Unk12-Sdlg","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"140","Unk17-Sdlg","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2010"
"141","Unk1-Sdlg","Prunus avium","2.5","Sweet_cherry_CRS_phenotyping_2012"
"142","Emperor Francis","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"143","Emperor Francis","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"144","Venus","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
