"#","Germplasm","Species","Spec_Flesh_Color_b","Dataset"
"31","FR11T031","Prunus avium","25.48","Sweet_cherry_CRS_phenotyping_2010"
"32","FR11T032","Prunus avium","7.37","Sweet_cherry_CRS_phenotyping_2010"
"33","FR12T011","Prunus avium","3.09","Sweet_cherry_CRS_phenotyping_2010"
"34","FR1T029","Prunus avium","7.51","Sweet_cherry_CRS_phenotyping_2010"
"35","FR1T030","Prunus avium","3.58","Sweet_cherry_CRS_phenotyping_2010"
"36","FR1T031","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2010"
"37","FR1T032","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2010"
"38","FR1T033","Prunus avium","1.46","Sweet_cherry_CRS_phenotyping_2010"
"39","FR1T037","Prunus avium","4.34","Sweet_cherry_CRS_phenotyping_2010"
"40","FR1T038","Prunus avium","1.22","Sweet_cherry_CRS_phenotyping_2010"
"41","FR1T039","Prunus avium","26.6","Sweet_cherry_CRS_phenotyping_2010"
"42","FR1T040","Prunus avium","26.8","Sweet_cherry_CRS_phenotyping_2010"
"43","FR1T041","Prunus avium","3.97","Sweet_cherry_CRS_phenotyping_2010"
"44","FR1T042","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2010"
"45","FR1T054","Prunus avium","25.04","Sweet_cherry_CRS_phenotyping_2010"
"46","FR1T056","Prunus avium","3.85","Sweet_cherry_CRS_phenotyping_2010"
"47","FR1T065","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2010"
"48","FR1T073","Prunus avium","4.25","Sweet_cherry_CRS_phenotyping_2010"
"49","FR2T035","Prunus avium","3.02","Sweet_cherry_CRS_phenotyping_2010"
"50","FR2T037","Prunus avium","21.61","Sweet_cherry_CRS_phenotyping_2010"
"51","FR2T038","Prunus avium","23.63","Sweet_cherry_CRS_phenotyping_2010"
"52","FR2T040","Prunus avium","4.83","Sweet_cherry_CRS_phenotyping_2010"
"53","FR2T045","Prunus avium","2.64","Sweet_cherry_CRS_phenotyping_2010"
"54","FR2T046","Prunus avium","11.36","Sweet_cherry_CRS_phenotyping_2010"
"55","FR2T049","Prunus avium","2.61","Sweet_cherry_CRS_phenotyping_2010"
"56","FR2T050","Prunus avium","6.05","Sweet_cherry_CRS_phenotyping_2010"
"57","FR2T054","Prunus avium","6.74","Sweet_cherry_CRS_phenotyping_2010"
"58","FR2T057","Prunus avium","2.65","Sweet_cherry_CRS_phenotyping_2010"
"59","FR2T079","Prunus avium","9.04","Sweet_cherry_CRS_phenotyping_2010"
"60","FR2T080","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2010"
"61","FR3T002","Prunus avium","4.53","Sweet_cherry_CRS_phenotyping_2010"
"62","FR3T004","Prunus avium","5.88","Sweet_cherry_CRS_phenotyping_2010"
"63","FR3T018","Prunus avium","3.52","Sweet_cherry_CRS_phenotyping_2010"
"64","FR3T020","Prunus avium","4.41","Sweet_cherry_CRS_phenotyping_2010"
"65","FR3T021","Prunus avium","8.1","Sweet_cherry_CRS_phenotyping_2010"
"66","FR3T025","Prunus avium","-0.55","Sweet_cherry_CRS_phenotyping_2010"
"67","FR3T029","Prunus avium","4.91","Sweet_cherry_CRS_phenotyping_2010"
"68","FR3T043","Prunus avium","8.12","Sweet_cherry_CRS_phenotyping_2010"
"69","FR3T050","Prunus avium","2.19","Sweet_cherry_CRS_phenotyping_2010"
"70","FR3T056","Prunus avium","-0.76","Sweet_cherry_CRS_phenotyping_2010"
"71","FR3T057","Prunus avium","-0.88","Sweet_cherry_CRS_phenotyping_2010"
"72","FR5T021","Prunus avium","8.1","Sweet_cherry_CRS_phenotyping_2010"
"73","PC 9816-005","Prunus avium","2.57","Sweet_cherry_CRS_phenotyping_2010"
"74","PC 9816-023","Prunus avium","1.25","Sweet_cherry_CRS_phenotyping_2010"
"75","PC 9816-041","Prunus avium","0.96","Sweet_cherry_CRS_phenotyping_2010"
"76","PC 9816-059","Prunus avium","6.52","Sweet_cherry_CRS_phenotyping_2010"
"77","PC 9816-083","Prunus avium","1.94","Sweet_cherry_CRS_phenotyping_2010"
"78","PC 9816-103","Prunus avium","4.05","Sweet_cherry_CRS_phenotyping_2010"
"79","PC 9816-105","Prunus avium","1.64","Sweet_cherry_CRS_phenotyping_2010"
"80","PC 9816-106","Prunus avium","6.77","Sweet_cherry_CRS_phenotyping_2010"
"81","PC 9816-078","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2010"
"82","PC 9819-005","Prunus avium","1.04","Sweet_cherry_CRS_phenotyping_2010"
"83","PC 9819-038","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"84","PC 9814-025","Prunus avium","0.97","Sweet_cherry_CRS_phenotyping_2010"
"85","PC 9814-103","Prunus avium","1.95","Sweet_cherry_CRS_phenotyping_2010"
"86","PC 9814-105","Prunus avium","0.85","Sweet_cherry_CRS_phenotyping_2010"
"87","PC 9814-028","Prunus avium","7.44","Sweet_cherry_CRS_phenotyping_2010"
"88","PC 9814-062","Prunus avium","6.87","Sweet_cherry_CRS_phenotyping_2010"
"89","PC 9814-063","Prunus avium","3.67","Sweet_cherry_CRS_phenotyping_2010"
"90","PC 9814-071","Prunus avium","4.27","Sweet_cherry_CRS_phenotyping_2010"
"91","PC 9814-076","Prunus avium","0.18","Sweet_cherry_CRS_phenotyping_2010"
"92","PC 9819-034","Prunus avium","1.47","Sweet_cherry_CRS_phenotyping_2010"
"93","Unk15-Sdlg","Prunus avium","0.51","Sweet_cherry_CRS_phenotyping_2010"
"94","Unk17-Sdlg","Prunus avium","19.01","Sweet_cherry_CRS_phenotyping_2010"
