"#","Germplasm","Species","Spec_Flesh_Color_L","Dataset"
"78","PC 9816-103","Prunus avium","15.78","Sweet_cherry_CRS_phenotyping_2010"
"79","PC 9816-105","Prunus avium","16.18","Sweet_cherry_CRS_phenotyping_2010"
"80","PC 9816-106","Prunus avium","17.22","Sweet_cherry_CRS_phenotyping_2010"
"81","PC 9816-078","Prunus avium","11.22","Sweet_cherry_CRS_phenotyping_2010"
"82","PC 9819-005","Prunus avium","15.03","Sweet_cherry_CRS_phenotyping_2010"
"83","PC 9819-038","Prunus avium","13.71","Sweet_cherry_CRS_phenotyping_2010"
"84","PC 9814-025","Prunus avium","15.63","Sweet_cherry_CRS_phenotyping_2010"
"85","PC 9814-103","Prunus avium","16.66","Sweet_cherry_CRS_phenotyping_2010"
"86","PC 9814-105","Prunus avium","18.15","Sweet_cherry_CRS_phenotyping_2010"
"87","PC 9814-028","Prunus avium","19.65","Sweet_cherry_CRS_phenotyping_2010"
"88","PC 9814-062","Prunus avium","17.91","Sweet_cherry_CRS_phenotyping_2010"
"89","PC 9814-063","Prunus avium","17.08","Sweet_cherry_CRS_phenotyping_2010"
"90","PC 9814-071","Prunus avium","16.72","Sweet_cherry_CRS_phenotyping_2010"
"91","PC 9814-076","Prunus avium","18.22","Sweet_cherry_CRS_phenotyping_2010"
"92","PC 9819-034","Prunus avium","18.1","Sweet_cherry_CRS_phenotyping_2010"
"93","Unk15-Sdlg","Prunus avium","16.37","Sweet_cherry_CRS_phenotyping_2010"
"94","Unk17-Sdlg","Prunus avium","38.63","Sweet_cherry_CRS_phenotyping_2010"
